Date,Country,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (indoor),Meeting Friends/Family (outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and bars,Sports and leisure,Schools Closure,Temperature,Humidity,Nursing & Care Home Visit
04/03/2020,Spain,7173,7173,,,,,,,,,,,,,11.44,57.73,
04/04/2020,Spain,6489,13662,,0,,0,,,,,,,,,12.19,60.17,
04/05/2020,Spain,5288,18950,,0,,0,,,,,,,,,14.4,65.98,
04/06/2020,Spain,4803,23753,,0,,0,,,,,,,,,15.04,77.5,
04/07/2020,Spain,4819,28572,,0,,0,,,,,,,,,14.23,88.19,
04/08/2020,Spain,5513,34085,,0,,0,,,,,,,,,15.93,74.21,
04/09/2020,Spain,5288,39373,,0,,0,,,,,,,,,14.48,68.19,
04/10/2020,Spain,4944,44317,,0,,0,,,,,,,,,12.97,91.59,
04/11/2020,Spain,4329,48646,,0,,0,,,,,,,,,15.08,73.58,
04/12/2020,Spain,3826,52472,,0,,0,,,,,,,,,15.17,55.56,
4/13/2020,Spain,3348,55820,,0,,0,,,,,,,,,13.25,70.44,
4/14/2020,Spain,3524,59344,,0,,0,,,,,,,,,13.77,78.04,
4/15/2020,Spain,3786,63130,,0,,0,,,,,,,,,12.87,84.27,
4/16/2020,Spain,4021,67151,,0,,0,,,,,,,,,13.61,86.13,
4/17/2020,Spain,3825,70976,,0,,0,,,,,,,,,14.21,78.5,
4/18/2020,Spain,2313,73289,,0,,0,,,,,,,,,15.21,73.38,
4/19/2020,Spain,1781,75070,,0,,0,,,,,,,,,13.92,80.39,
4/20/2020,Spain,1485,76555,,0,,0,,,,,,,,,12.85,73.75,
4/21/2020,Spain,2494,79049,,0,,0,,,,,,,,,11.59,81.89,
4/22/2020,Spain,2726,81775,,0,,0,,,,,,,,,16.39,59.94,
4/23/2020,Spain,2447,84222,,0,,0,,,,,,,,,15.67,74.42,
4/24/2020,Spain,2512,86734,,0,,0,,,,,,,,,17.19,66.35,
4/25/2020,Spain,2087,88821,,0,,0,,,,,,,,,16.81,65.04,
4/26/2020,Spain,1936,90757,,0,,0,,,,,,,,,14.77,74.06,
4/27/2020,Spain,1609,92366,,0,,0,,,,,,,,,13,72.17,
4/28/2020,Spain,1344,93710,,0,,0,,,,,,,,,12.19,72.96,
4/29/2020,Spain,1204,94914,,0,,0,,,,,,,,,12.96,71.42,
4/30/2020,Spain,1158,96072,,0,,0,,,,,,,,,14.31,74.19,
05/01/2020,Spain,1288,97360,,0,,0,,,,,,,,,15.77,79.21,
05/02/2020,Spain,1185,98545,,0,,0,,,,,,,,,18.37,70.94,
05/03/2020,Spain,878,99423,,0,,0,,,,,,,,,20.71,60.88,
05/04/2020,Spain,814,100237,,0,,0,,,,,,,,,21.79,54.04,
05/05/2020,Spain,795,101032,,0,,0,,,,,,,,,17.7,50.13,
05/06/2020,Spain,946,101978,,0,,0,,,,,,,,,17.65,46.42,
05/07/2020,Spain,992,102970,,0,,0,,,,,,,,,20.52,47.94,
05/08/2020,Spain,945,103915,,0,,0,,,,,,,,,20.89,51.21,
05/09/2020,Spain,1778,105693,,0,,0,,,,,,,,,18.4,63.04,
05/10/2020,Spain,1517,107210,,0,,0,,,,,,,,,14.54,70.89,
05/11/2020,Spain,1430,108640,,0,,0,,,,,,,,,14.71,74.9,
05/12/2020,Spain,438,109078,,0,,0,,,,,,,,,12.6,90.96,
5/13/2020,Spain,590,109668,,0,,0,,,,,,,,,14.06,75.08,
5/14/2020,Spain,644,110312,,0,,0,,,,,,,,,12.48,81.72,
5/15/2020,Spain,669,110981,,0,,0,,,,,,,,,13.19,85.1,
5/16/2020,Spain,603,111584,,0,,0,,,,,,,,,15.1,72.31,
5/17/2020,Spain,475,112059,,0,,0,,,,,,,,,16.94,53.5,
5/18/2020,Spain,446,112505,,0,,0,,,,,,,,,19.67,50.56,
5/19/2020,Spain,402,112907,,0,,0,,,,,,,,,21.7,45.83,
5/20/2020,Spain,477,113384,,0,,0,,,,,,,,,23.13,40.23,
5/21/2020,Spain,929,114313,,0,,0,,,,,,,,,22.96,41.17,
5/22/2020,Spain,911,115224,,0,,0,,,,,,,,,24.12,47.83,
5/23/2020,Spain,912,116136,,0,,0,,,,,,,,,25.75,43.46,
5/24/2020,Spain,192,116328,,0,,0,,,,,,,,,24.1,48.04,
5/25/2020,Spain,323,116651,,0,,0,,,,,,,,,22.73,60.42,
5/26/2020,Spain,332,116983,,0,,0,,,,,,,,,21.81,63.02,
5/27/2020,Spain,836,117819,,0,,0,,,,,,,,,23.31,46.58,
5/28/2020,Spain,768,118587,,0,,0,,,,,,,,,22.73,40.56,
5/29/2020,Spain,820,119407,,0,,0,,,,,,,,,24,38.52,
5/30/2020,Spain,507,119914,,0,,0,,,,,,,,,24.96,36.61,
5/31/2020,Spain,358,120272,,0,,0,,,,,,,,,22.65,48.8,
06/01/2020,Spain,235,120507,,0,,0,,,,,,,,,23.98,50.73,
06/02/2020,Spain,299,120806,,0,,0,,,,,,,,,23.52,47.33,
06/03/2020,Spain,341,121147,,0,,0,,,,,,,,,22.36,50.98,
06/04/2020,Spain,348,121495,,0,,0,,,,,,,,,19.46,55.96,
06/05/2020,Spain,328,121823,,0,,0,,,,,,,,,20.88,45.54,
06/06/2020,Spain,297,122120,,0,,0,,,,,,,,,22,43.96,
06/07/2020,Spain,246,122366,,0,,0,,,,,,,,,19.69,53.02,
06/08/2020,Spain,219,122585,,0,,0,,,,,,,,,17.42,43.89,
