Total errors 18120

04/03/2020 | Meeting Friends/Family (indoor)          | Spain
04/03/2020 | Meeting Friends/Family (outdoor)         | Spain
04/03/2020 | Domestic Travel                          | Spain
04/03/2020 | Cafes and Restaurants                    | Spain
04/03/2020 | Pubs and bars                            | Spain
04/03/2020 | Sports and leisure                       | Spain
04/03/2020 | Schools Closure                          | Spain
04/04/2020 | Meeting Friends/Family (indoor)          | Spain
04/04/2020 | Meeting Friends/Family (outdoor)         | Spain
04/04/2020 | Domestic Travel                          | Spain
04/04/2020 | Cafes and Restaurants                    | Spain
04/04/2020 | Pubs and bars                            | Spain
04/04/2020 | Sports and leisure                       | Spain
04/04/2020 | Schools Closure                          | Spain
04/05/2020 | Meeting Friends/Family (indoor)          | Spain
04/05/2020 | Meeting Friends/Family (outdoor)         | Spain
04/05/2020 | Domestic Travel                          | Spain
04/05/2020 | Cafes and Restaurants                    | Spain
04/05/2020 | Pubs and bars                            | Spain
04/05/2020 | Sports and leisure                       | Spain
04/05/2020 | Schools Closure                          | Spain
04/06/2020 | Meeting Friends/Family (indoor)          | Spain
04/06/2020 | Meeting Friends/Family (outdoor)         | Spain
04/06/2020 | Domestic Travel                          | Spain
04/06/2020 | Cafes and Restaurants                    | Spain
04/06/2020 | Pubs and bars                            | Spain
04/06/2020 | Sports and leisure                       | Spain
04/06/2020 | Schools Closure                          | Spain
04/07/2020 | Meeting Friends/Family (indoor)          | Spain
04/07/2020 | Meeting Friends/Family (outdoor)         | Spain
04/07/2020 | Domestic Travel                          | Spain
04/07/2020 | Cafes and Restaurants                    | Spain
04/07/2020 | Pubs and bars                            | Spain
04/07/2020 | Sports and leisure                       | Spain
04/07/2020 | Schools Closure                          | Spain
04/08/2020 | Meeting Friends/Family (indoor)          | Spain
04/08/2020 | Meeting Friends/Family (outdoor)         | Spain
04/08/2020 | Domestic Travel                          | Spain
04/08/2020 | Cafes and Restaurants                    | Spain
04/08/2020 | Pubs and bars                            | Spain
04/08/2020 | Sports and leisure                       | Spain
04/08/2020 | Schools Closure                          | Spain
04/09/2020 | Meeting Friends/Family (indoor)          | Spain
04/09/2020 | Meeting Friends/Family (outdoor)         | Spain
04/09/2020 | Domestic Travel                          | Spain
04/09/2020 | Cafes and Restaurants                    | Spain
04/09/2020 | Pubs and bars                            | Spain
04/09/2020 | Sports and leisure                       | Spain
04/09/2020 | Schools Closure                          | Spain
04/10/2020 | Meeting Friends/Family (indoor)          | Spain
04/10/2020 | Meeting Friends/Family (outdoor)         | Spain
04/10/2020 | Domestic Travel                          | Spain
04/10/2020 | Cafes and Restaurants                    | Spain
04/10/2020 | Pubs and bars                            | Spain
04/10/2020 | Sports and leisure                       | Spain
04/10/2020 | Schools Closure                          | Spain
04/11/2020 | Meeting Friends/Family (indoor)          | Spain
04/11/2020 | Meeting Friends/Family (outdoor)         | Spain
04/11/2020 | Domestic Travel                          | Spain
04/11/2020 | Cafes and Restaurants                    | Spain
04/11/2020 | Pubs and bars                            | Spain
04/11/2020 | Sports and leisure                       | Spain
04/11/2020 | Schools Closure                          | Spain
04/12/2020 | Meeting Friends/Family (indoor)          | Spain
04/12/2020 | Meeting Friends/Family (outdoor)         | Spain
04/12/2020 | Domestic Travel                          | Spain
04/12/2020 | Cafes and Restaurants                    | Spain
04/12/2020 | Pubs and bars                            | Spain
04/12/2020 | Sports and leisure                       | Spain
04/12/2020 | Schools Closure                          | Spain
04/13/2020 | Meeting Friends/Family (indoor)          | Spain
04/13/2020 | Meeting Friends/Family (outdoor)         | Spain
04/13/2020 | Domestic Travel                          | Spain
04/13/2020 | Cafes and Restaurants                    | Spain
04/13/2020 | Pubs and bars                            | Spain
04/13/2020 | Sports and leisure                       | Spain
04/13/2020 | Schools Closure                          | Spain
04/14/2020 | Meeting Friends/Family (indoor)          | Spain
04/14/2020 | Meeting Friends/Family (outdoor)         | Spain
04/14/2020 | Domestic Travel                          | Spain
04/14/2020 | Cafes and Restaurants                    | Spain
04/14/2020 | Pubs and bars                            | Spain
04/14/2020 | Sports and leisure                       | Spain
04/14/2020 | Schools Closure                          | Spain
04/15/2020 | Meeting Friends/Family (indoor)          | Spain
04/15/2020 | Meeting Friends/Family (outdoor)         | Spain
04/15/2020 | Domestic Travel                          | Spain
04/15/2020 | Cafes and Restaurants                    | Spain
04/15/2020 | Pubs and bars                            | Spain
04/15/2020 | Sports and leisure                       | Spain
04/15/2020 | Schools Closure                          | Spain
04/16/2020 | Meeting Friends/Family (indoor)          | Spain
04/16/2020 | Meeting Friends/Family (outdoor)         | Spain
04/16/2020 | Domestic Travel                          | Spain
04/16/2020 | Cafes and Restaurants                    | Spain
04/16/2020 | Pubs and bars                            | Spain
04/16/2020 | Sports and leisure                       | Spain
04/16/2020 | Schools Closure                          | Spain
04/17/2020 | Meeting Friends/Family (indoor)          | Spain
04/17/2020 | Meeting Friends/Family (outdoor)         | Spain
04/17/2020 | Domestic Travel                          | Spain
04/17/2020 | Cafes and Restaurants                    | Spain
04/17/2020 | Pubs and bars                            | Spain
04/17/2020 | Sports and leisure                       | Spain
04/17/2020 | Schools Closure                          | Spain
04/18/2020 | Meeting Friends/Family (indoor)          | Spain
04/18/2020 | Meeting Friends/Family (outdoor)         | Spain
04/18/2020 | Domestic Travel                          | Spain
04/18/2020 | Cafes and Restaurants                    | Spain
04/18/2020 | Pubs and bars                            | Spain
04/18/2020 | Sports and leisure                       | Spain
04/18/2020 | Schools Closure                          | Spain
04/19/2020 | Meeting Friends/Family (indoor)          | Spain
04/19/2020 | Meeting Friends/Family (outdoor)         | Spain
04/19/2020 | Domestic Travel                          | Spain
04/19/2020 | Cafes and Restaurants                    | Spain
04/19/2020 | Pubs and bars                            | Spain
04/19/2020 | Sports and leisure                       | Spain
04/19/2020 | Schools Closure                          | Spain
04/20/2020 | Meeting Friends/Family (indoor)          | Spain
04/20/2020 | Meeting Friends/Family (outdoor)         | Spain
04/20/2020 | Domestic Travel                          | Spain
04/20/2020 | Cafes and Restaurants                    | Spain
04/20/2020 | Pubs and bars                            | Spain
04/20/2020 | Sports and leisure                       | Spain
04/20/2020 | Schools Closure                          | Spain
04/21/2020 | Meeting Friends/Family (indoor)          | Spain
04/21/2020 | Meeting Friends/Family (outdoor)         | Spain
04/21/2020 | Domestic Travel                          | Spain
04/21/2020 | Cafes and Restaurants                    | Spain
04/21/2020 | Pubs and bars                            | Spain
04/21/2020 | Sports and leisure                       | Spain
04/21/2020 | Schools Closure                          | Spain
04/22/2020 | Meeting Friends/Family (indoor)          | Spain
04/22/2020 | Meeting Friends/Family (outdoor)         | Spain
04/22/2020 | Domestic Travel                          | Spain
04/22/2020 | Cafes and Restaurants                    | Spain
04/22/2020 | Pubs and bars                            | Spain
04/22/2020 | Sports and leisure                       | Spain
04/22/2020 | Schools Closure                          | Spain
04/23/2020 | Meeting Friends/Family (indoor)          | Spain
04/23/2020 | Meeting Friends/Family (outdoor)         | Spain
04/23/2020 | Domestic Travel                          | Spain
04/23/2020 | Cafes and Restaurants                    | Spain
04/23/2020 | Pubs and bars                            | Spain
04/23/2020 | Sports and leisure                       | Spain
04/23/2020 | Schools Closure                          | Spain
