Total errors 48773

04/03/2020 | Date                                     | Spain
04/03/2020 | Country                                  | Spain
04/03/2020 | Cases                                    | Spain
04/03/2020 | Cumulative Cases                         | Spain
04/03/2020 | Deaths                                   | Spain
04/03/2020 | Cumulative Deaths                        | Spain
04/03/2020 | Tests                                    | Spain
04/03/2020 | Cumulative Tests                         | Spain
04/03/2020 | Meeting Friends/Family (indoor)          | Spain
04/03/2020 | Meeting Friends/Family (outdoor)         | Spain
04/03/2020 | Domestic Travel                          | Spain
04/03/2020 | International Travel                     | Spain
04/03/2020 | Cafes and Restaurants                    | Spain
04/03/2020 | Pubs and bars                            | Spain
04/03/2020 | Sports and leisure                       | Spain
04/03/2020 | Schools Closure                          | Spain
04/03/2020 | Temperature                              | Spain
04/03/2020 | Humidity                                 | Spain
04/03/2020 | Nursing & Care Home Visit                | Spain
04/04/2020 | Date                                     | Spain
04/04/2020 | Country                                  | Spain
04/04/2020 | Cases                                    | Spain
04/04/2020 | Cumulative Cases                         | Spain
04/04/2020 | Deaths                                   | Spain
04/04/2020 | Cumulative Deaths                        | Spain
04/04/2020 | Tests                                    | Spain
04/04/2020 | Cumulative Tests                         | Spain
04/04/2020 | Meeting Friends/Family (indoor)          | Spain
04/04/2020 | Meeting Friends/Family (outdoor)         | Spain
04/04/2020 | Domestic Travel                          | Spain
04/04/2020 | International Travel                     | Spain
04/04/2020 | Cafes and Restaurants                    | Spain
04/04/2020 | Pubs and bars                            | Spain
04/04/2020 | Sports and leisure                       | Spain
04/04/2020 | Schools Closure                          | Spain
04/04/2020 | Temperature                              | Spain
04/04/2020 | Humidity                                 | Spain
04/04/2020 | Nursing & Care Home Visit                | Spain
04/05/2020 | Date                                     | Spain
04/05/2020 | Country                                  | Spain
04/05/2020 | Cases                                    | Spain
04/05/2020 | Cumulative Cases                         | Spain
04/05/2020 | Deaths                                   | Spain
04/05/2020 | Cumulative Deaths                        | Spain
04/05/2020 | Tests                                    | Spain
04/05/2020 | Cumulative Tests                         | Spain
04/05/2020 | Meeting Friends/Family (indoor)          | Spain
04/05/2020 | Meeting Friends/Family (outdoor)         | Spain
04/05/2020 | Domestic Travel                          | Spain
04/05/2020 | International Travel                     | Spain
04/05/2020 | Cafes and Restaurants                    | Spain
04/05/2020 | Pubs and bars                            | Spain
04/05/2020 | Sports and leisure                       | Spain
04/05/2020 | Schools Closure                          | Spain
04/05/2020 | Temperature                              | Spain
04/05/2020 | Humidity                                 | Spain
04/05/2020 | Nursing & Care Home Visit                | Spain
04/06/2020 | Date                                     | Spain
