Date,Country,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (indoor),Meeting Friends/Family (outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and bars,Sports and leisure,Schools Closure,Temperature,Humidity,Nursing & Care Home Visit
04/03/2020,15,7173,7173,,,,,,,,,,,,,2,1,
04/04/2020,15,6489,13662,,0,,0,,,,,,,,,2,1,
04/05/2020,15,5288,18950,,0,,0,,,,,,,,,2,1,
04/06/2020,15,4803,23753,,0,,0,,,,,,,,,2,1,
04/07/2020,15,4819,28572,,0,,0,,,,,,,,,2,2,
04/08/2020,15,5513,34085,,0,,0,,,,,,,,,2,1,
04/09/2020,15,5288,39373,,0,,0,,,,,,,,,2,1,
04/10/2020,15,4944,44317,,0,,0,,,,,,,,,2,2,
04/11/2020,15,4329,48646,,0,,0,,,,,,,,,2,1,
04/12/2020,15,3826,52472,,0,,0,,,,,,,,,2,1,
4/13/2020,15,3348,55820,,0,,0,,,,,,,,,2,1,
4/14/2020,15,3524,59344,,0,,0,,,,,,,,,2,1,
4/15/2020,15,3786,63130,,0,,0,,,,,,,,,2,2,
4/16/2020,15,4021,67151,,0,,0,,,,,,,,,2,2,
4/17/2020,15,3825,70976,,0,,0,,,,,,,,,2,1,
4/18/2020,15,2313,73289,,0,,0,,,,,,,,,2,1,
4/19/2020,15,1781,75070,,0,,0,,,,,,,,,2,2,
4/20/2020,15,1485,76555,,0,,0,,,,,,,,,2,1,
4/21/2020,15,2494,79049,,0,,0,,,,,,,,,2,2,
4/22/2020,15,2726,81775,,0,,0,,,,,,,,,2,1,
4/23/2020,15,2447,84222,,0,,0,,,,,,,,,2,1,
4/24/2020,15,2512,86734,,0,,0,,,,,,,,,2,1,
4/25/2020,15,2087,88821,,0,,0,,,,,,,,,2,1,
4/26/2020,15,1936,90757,,0,,0,,,,,,,,,2,1,
4/27/2020,15,1609,92366,,0,,0,,,,,,,,,2,1,
4/28/2020,15,1344,93710,,0,,0,,,,,,,,,2,1,
4/29/2020,15,1204,94914,,0,,0,,,,,,,,,2,1,
4/30/2020,15,1158,96072,,0,,0,,,,,,,,,2,1,
05/01/2020,15,1288,97360,,0,,0,,,,,,,,,2,1,
05/02/2020,15,1185,98545,,0,,0,,,,,,,,,2,1,
05/03/2020,15,878,99423,,0,,0,,,,,,,,,3,1,
05/04/2020,15,814,100237,,0,,0,,,,,,,,,3,1,
05/05/2020,15,795,101032,,0,,0,,,,,,,,,2,1,
05/06/2020,15,946,101978,,0,,0,,,,,,,,,2,1,
05/07/2020,15,992,102970,,0,,0,,,,,,,,,3,1,
05/08/2020,15,945,103915,,0,,0,,,,,,,,,3,1,
05/09/2020,15,1778,105693,,0,,0,,,,,,,,,2,1,
05/10/2020,15,1517,107210,,0,,0,,,,,,,,,2,1,
05/11/2020,15,1430,108640,,0,,0,,,,,,,,,2,1,
05/12/2020,15,438,109078,,0,,0,,,,,,,,,2,2,
5/13/2020,15,590,109668,,0,,0,,,,,,,,,2,1,
5/14/2020,15,644,110312,,0,,0,,,,,,,,,2,2,
5/15/2020,15,669,110981,,0,,0,,,,,,,,,2,2,
5/16/2020,15,603,111584,,0,,0,,,,,,,,,2,1,
5/17/2020,15,475,112059,,0,,0,,,,,,,,,2,1,
5/18/2020,15,446,112505,,0,,0,,,,,,,,,2,1,
5/19/2020,15,402,112907,,0,,0,,,,,,,,,3,1,
5/20/2020,15,477,113384,,0,,0,,,,,,,,,3,1,
5/21/2020,15,929,114313,,0,,0,,,,,,,,,3,1,
5/22/2020,15,911,115224,,0,,0,,,,,,,,,3,1,
5/23/2020,15,912,116136,,0,,0,,,,,,,,,3,1,
5/24/2020,15,192,116328,,0,,0,,,,,,,,,3,1,
5/25/2020,15,323,116651,,0,,0,,,,,,,,,3,1,
5/26/2020,15,332,116983,,0,,0,,,,,,,,,3,1,
5/27/2020,15,836,117819,,0,,0,,,,,,,,,3,1,
5/28/2020,15,768,118587,,0,,0,,,,,,,,,3,1,
5/29/2020,15,820,119407,,0,,0,,,,,,,,,3,0,
5/30/2020,15,507,119914,,0,,0,,,,,,,,,3,0,
5/31/2020,15,358,120272,,0,,0,,,,,,,,,3,1,
06/01/2020,15,235,120507,,0,,0,,,,,,,,,3,1,
06/02/2020,15,299,120806,,0,,0,,,,,,,,,3,1,
06/03/2020,15,341,121147,,0,,0,,,,,,,,,3,1,
06/04/2020,15,348,121495,,0,,0,,,,,,,,,2,1,
06/05/2020,15,328,121823,,0,,0,,,,,,,,,3,1,
06/06/2020,15,297,122120,,0,,0,,,,,,,,,3,1,
06/07/2020,15,246,122366,,0,,0,,,,,,,,,2,1,
06/08/2020,15,219,122585,,0,,0,,,,,,,,,2,1,
06/09/2020,15,243,122828,,0,,0,,,,,,,,,2,1,
06/10/2020,15,330,123158,,0,,0,,,,,,,,,2,0,
06/11/2020,15,415,123573,,0,,0,,,,,,,,,2,1,
06/12/2020,15,441,124014,,0,,0,,,,,,,,,2,1,
6/13/2020,15,407,124421,,0,,0,,,,,,,,,2,1,
6/14/2020,15,300,124721,,0,,0,,,,,,,,,2,1,
6/15/2020,15,241,124962,,0,,0,,,,,,,,,3,1,
6/16/2020,15,252,125214,,0,,0,,,,,,,,,3,1,
6/17/2020,15,386,125600,,0,,0,,,,,,,,,3,1,
6/18/2020,15,416,126016,,0,,0,,,,,,,,,3,0,
6/19/2020,15,418,126434,,0,,0,,,,,,,,,3,1,
6/20/2020,15,335,126769,,0,,0,,,,,,,,,3,0,
6/21/2020,15,310,127079,,0,,0,,,,,,,,,3,0,
6/22/2020,15,271,127350,,0,,0,,,,,,,,,3,0,
6/23/2020,15,271,127621,,0,,0,,,,,,,,,3,0,
6/24/2020,15,328,127949,,0,,0,,,,,,,,,3,0,
6/25/2020,15,384,128333,,0,,0,,,,,,,,,3,0,
6/26/2020,15,461,128794,,0,,0,,,,,,,,,3,0,
6/27/2020,15,428,129222,,0,,0,,,,,,,,,3,0,
6/28/2020,15,355,129577,,0,,0,,,,,,,,,3,0,
6/29/2020,15,267,129844,,0,,0,,,,,,,,,3,0,
6/30/2020,15,297,130141,,0,,0,,,,,,,,,3,0,
07/01/2020,15,377,130518,,0,,0,,,,,,,,,3,0,
07/02/2020,15,425,130943,,0,,0,,,,,,,,,3,0,
07/03/2020,15,295,131238,,0,,0,,,,,,,,,3,0,
07/04/2020,15,148,131386,,0,,0,,,,,,,,,3,0,
07/05/2020,15,414,131800,,0,,0,,,,,,,,,3,0,
07/06/2020,15,529,132329,,0,,0,,,,,,,,,3,0,
