Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
1,1,0,-2,-2,-2,2,2,2,3,-2,-2,2
1,2,-2,-2,-2,2,2,2,3,-2,-2,2,0
1,3,-2,-2,2,2,2,3,-2,-2,2,0,-2
1,4,-2,2,2,2,3,-2,-2,2,0,-2,-2
1,5,2,2,2,3,-2,-2,2,0,-2,-2,-2
1,6,2,2,3,-2,-2,2,0,-2,-2,-2,-2
1,7,2,3,-2,-2,2,0,-2,-2,-2,-2,1
1,8,3,-2,-2,2,0,-2,-2,-2,-2,1,-2
1,9,-2,-2,2,0,-2,-2,-2,-2,1,-2,-2
1,10,-2,2,0,-2,-2,-2,-2,1,-2,-2,-2
1,11,2,0,-2,-2,-2,-2,1,-2,-2,-2,-2
1,12,0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2
1,13,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2
1,14,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-3
1,15,-2,-2,1,-2,-2,-2,-2,-2,-2,-3,0
1,16,-2,1,-2,-2,-2,-2,-2,-2,-3,0,-2
1,17,1,-2,-2,-2,-2,-2,-2,-3,0,-2,-2
1,18,-2,-2,-2,-2,-2,-2,-3,0,-2,-2,-1
1,19,-2,-2,-2,-2,-2,-3,0,-2,-2,-1,1
1,20,-2,-2,-2,-2,-3,0,-2,-2,-1,1,1
1,21,-2,-2,-2,-3,0,-2,-2,-1,1,1,2
1,22,-2,-2,-3,0,-2,-2,-1,1,1,2,1
1,23,-2,-3,0,-2,-2,-1,1,1,2,1,0
1,24,-3,0,-2,-2,-1,1,1,2,1,0,-2
1,25,0,-2,-2,-1,1,1,2,1,0,-2,-2
1,26,-2,-2,-1,1,1,2,1,0,-2,-2,-2
1,27,-2,-1,1,1,2,1,0,-2,-2,-2,-2
1,28,-1,1,1,2,1,0,-2,-2,-2,-2,-2
1,29,1,1,2,1,0,-2,-2,-2,-2,-2,-3
1,30,1,2,1,0,-2,-2,-2,-2,-2,-3,-2
1,31,2,1,0,-2,-2,-2,-2,-2,-3,-2,-2
1,32,1,0,-2,-2,-2,-2,-2,-3,-2,-2,-3
1,33,0,-2,-2,-2,-2,-2,-3,-2,-2,-3,2
1,34,-2,-2,-2,-2,-2,-3,-2,-2,-3,2,3
1,35,-2,-2,-2,-2,-3,-2,-2,-3,2,3,-2
1,36,-2,-2,-2,-3,-2,-2,-3,2,3,-2,-2
1,37,-2,-2,-3,-2,-2,-3,2,3,-2,-2,-2
1,38,-2,-3,-2,-2,-3,2,3,-2,-2,-2,-2
1,39,-3,-2,-2,-3,2,3,-2,-2,-2,-2,2
1,40,-2,-2,-3,2,3,-2,-2,-2,-2,2,1
1,41,-2,-3,2,3,-2,-2,-2,-2,2,1,2
1,42,-3,2,3,-2,-2,-2,-2,2,1,2,2
1,43,2,3,-2,-2,-2,-2,2,1,2,2,2
1,44,3,-2,-2,-2,-2,2,1,2,2,2,-1
1,45,-2,-2,-2,-2,2,1,2,2,2,-1,-2
1,46,-2,-2,-2,2,1,2,2,2,-1,-2,-2
1,47,-2,-2,2,1,2,2,2,-1,-2,-2,-2
1,48,-2,2,1,2,2,2,-1,-2,-2,-2,-2
1,49,2,1,2,2,2,-1,-2,-2,-2,-2,-2
1,50,1,2,2,2,-1,-2,-2,-2,-2,-2,-2
1,51,2,2,2,-1,-2,-2,-2,-2,-2,-2,2
1,52,2,2,-1,-2,-2,-2,-2,-2,-2,2,2
1,53,2,-1,-2,-2,-2,-2,-2,-2,2,2,3
1,54,-1,-2,-2,-2,-2,-2,-2,2,2,3,-2
1,55,-2,-2,-2,-2,-2,-2,2,2,3,-2,2
1,56,-2,-2,-2,-2,-2,2,2,3,-2,2,-2
1,57,-2,-2,-2,-2,2,2,3,-2,2,-2,-1
1,58,-2,-2,-2,2,2,3,-2,2,-2,-1,-2
1,59,-2,-2,2,2,3,-2,2,-2,-1,-2,2
1,60,-2,2,2,3,-2,2,-2,-1,-2,2,2
1,61,2,2,3,-2,2,-2,-1,-2,2,2,2
1,62,2,3,-2,2,-2,-1,-2,2,2,2,2
1,63,3,-2,2,-2,-1,-2,2,2,2,2,2
1,64,-2,2,-2,-1,-2,2,2,2,2,2,2
1,65,2,-2,-1,-2,2,2,2,2,2,2,-2
1,66,-2,-1,-2,2,2,2,2,2,2,-2,-2
1,67,-1,-2,2,2,2,2,2,2,-2,-2,0
1,68,-2,2,2,2,2,2,2,-2,-2,0,1
1,69,2,2,2,2,2,2,-2,-2,0,1,1
1,70,2,2,2,2,2,-2,-2,0,1,1,1
1,71,2,2,2,2,-2,-2,0,1,1,1,-1
1,72,2,2,2,-2,-2,0,1,1,1,-1,-2
1,73,2,2,-2,-2,0,1,1,1,-1,-2,-2
1,74,2,-2,-2,0,1,1,1,-1,-2,-2,-2
1,75,-2,-2,0,1,1,1,-1,-2,-2,-2,0
