Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action to Next Point
1,1,0,-2,-2,-2,2,2,3,1,2,1,2,0,-2,-2,-2,-2
1,2,-2,-2,-2,2,2,3,1,2,1,2,0,-2,-2,-2,-2,0
1,3,-2,-2,2,2,3,1,2,1,2,0,-2,-2,-2,-2,0,-2
1,4,-2,2,2,3,1,2,1,2,0,-2,-2,-2,-2,0,-2,-2
1,5,2,2,3,1,2,1,2,0,-2,-2,-2,-2,0,-2,-2,-2
1,6,2,3,1,2,1,2,0,-2,-2,-2,-2,0,-2,-2,-2,-3
1,7,3,1,2,1,2,0,-2,-2,-2,-2,0,-2,-2,-2,-3,2
1,8,1,2,1,2,0,-2,-2,-2,-2,0,-2,-2,-2,-3,2,-2
1,9,2,1,2,0,-2,-2,-2,-2,0,-2,-2,-2,-3,2,-2,-3
1,10,1,2,0,-2,-2,-2,-2,0,-2,-2,-2,-3,2,-2,-3,-2
1,11,2,0,-2,-2,-2,-2,0,-2,-2,-2,-3,2,-2,-3,-2,-2
1,12,0,-2,-2,-2,-2,0,-2,-2,-2,-3,2,-2,-3,-2,-2,-2
1,13,-2,-2,-2,-2,0,-2,-2,-2,-3,2,-2,-3,-2,-2,-2,-2
1,14,-2,-2,-2,0,-2,-2,-2,-3,2,-2,-3,-2,-2,-2,-2,1
1,15,-2,-2,0,-2,-2,-2,-3,2,-2,-3,-2,-2,-2,-2,1,2
1,16,-2,0,-2,-2,-2,-3,2,-2,-3,-2,-2,-2,-2,1,2,1
1,17,0,-2,-2,-2,-3,2,-2,-3,-2,-2,-2,-2,1,2,1,2
1,18,-2,-2,-2,-3,2,-2,-3,-2,-2,-2,-2,1,2,1,2,-1
1,19,-2,-2,-3,2,-2,-3,-2,-2,-2,-2,1,2,1,2,-1,-2
1,20,-2,-3,2,-2,-3,-2,-2,-2,-2,1,2,1,2,-1,-2,-3
1,21,-3,2,-2,-3,-2,-2,-2,-2,1,2,1,2,-1,-2,-3,-1
1,22,2,-2,-3,-2,-2,-2,-2,1,2,1,2,-1,-2,-3,-1,0
1,23,-2,-3,-2,-2,-2,-2,1,2,1,2,-1,-2,-3,-1,0,-2
1,24,-3,-2,-2,-2,-2,1,2,1,2,-1,-2,-3,-1,0,-2,-3
1,25,-2,-2,-2,-2,1,2,1,2,-1,-2,-3,-1,0,-2,-3,-3
1,26,-2,-2,-2,1,2,1,2,-1,-2,-3,-1,0,-2,-3,-3,-2
1,27,-2,-2,1,2,1,2,-1,-2,-3,-1,0,-2,-3,-3,-2,-2
1,28,-2,1,2,1,2,-1,-2,-3,-1,0,-2,-3,-3,-2,-2,0
1,29,1,2,1,2,-1,-2,-3,-1,0,-2,-3,-3,-2,-2,0,2
1,30,2,1,2,-1,-2,-3,-1,0,-2,-3,-3,-2,-2,0,2,1
1,31,1,2,-1,-2,-3,-1,0,-2,-3,-3,-2,-2,0,2,1,-1
1,32,2,-1,-2,-3,-1,0,-2,-3,-3,-2,-2,0,2,1,-1,-2
1,33,-1,-2,-3,-1,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1
1,34,-2,-3,-1,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2
1,35,-3,-1,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2
1,36,-1,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2
1,37,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2
1,38,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2
1,39,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0
1,40,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2
1,41,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2
1,42,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2
1,43,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3
1,44,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0
1,45,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1
1,46,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2
1,47,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3
1,48,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2
1,49,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2
1,50,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2
1,51,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2
1,52,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2
1,53,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1
1,54,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2
1,55,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2
1,56,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2
1,57,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2
1,58,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2
1,59,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2
1,60,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2
1,61,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2
1,62,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1
1,63,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2
1,64,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0
1,65,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1
1,66,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1
1,67,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2
1,68,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2
1,69,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2
1,70,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1
1,71,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2
1,72,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2
1,73,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3
1,74,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2
1,75,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3
1,76,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2
1,77,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2
1,78,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2
1,79,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3
