Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action to Next Point
1,1,0,-2,-3,2,-1,-2,-2,-1
1,2,-2,-3,2,-1,-2,-2,-1,2
1,3,-3,2,-1,-2,-2,-1,2,2
1,4,2,-1,-2,-2,-1,2,2,2
1,5,-1,-2,-2,-1,2,2,2,2
1,6,-2,-2,-1,2,2,2,2,-2
1,7,-2,-1,2,2,2,2,-2,-1
1,8,-1,2,2,2,2,-2,-1,-2
1,9,2,2,2,2,-2,-1,-2,-1
1,10,2,2,2,-2,-1,-2,-1,-1
1,11,2,2,-2,-1,-2,-1,-1,0
1,12,2,-2,-1,-2,-1,-1,0,2
1,13,-2,-1,-2,-1,-1,0,2,-2
1,14,-1,-2,-1,-1,0,2,-2,2
1,15,-2,-1,-1,0,2,-2,2,2
1,16,-1,-1,0,2,-2,2,2,2
1,17,-1,0,2,-2,2,2,2,2
1,18,0,2,-2,2,2,2,2,2
1,19,2,-2,2,2,2,2,2,-2
1,20,-2,2,2,2,2,2,-2,-2
1,21,2,2,2,2,2,-2,-2,1
1,22,2,2,2,2,-2,-2,1,2
1,23,2,2,2,-2,-2,1,2,0
1,24,2,2,-2,-2,1,2,0,2
1,25,2,-2,-2,1,2,0,2,3
1,26,-2,-2,1,2,0,2,3,0
1,27,-2,1,2,0,2,3,0,1
1,28,1,2,0,2,3,0,1,0
1,29,2,0,2,3,0,1,0,0
1,30,0,2,3,0,1,0,0,2
1,31,2,3,0,1,0,0,2,2
1,32,3,0,1,0,0,2,2,3
1,33,0,1,0,0,2,2,3,1
1,34,1,0,0,2,2,3,1,2
1,35,0,0,2,2,3,1,2,2
1,36,0,2,2,3,1,2,2,-2
1,37,2,2,3,1,2,2,-2,-2
1,38,2,3,1,2,2,-2,-2,1
1,39,3,1,2,2,-2,-2,1,2
1,40,1,2,2,-2,-2,1,2,-2
1,41,2,2,-2,-2,1,2,-2,-3
1,42,2,-2,-2,1,2,-2,-3,2
1,43,-2,-2,1,2,-2,-3,2,2
1,44,-2,1,2,-2,-3,2,2,2
1,45,1,2,-2,-3,2,2,2,1
1,46,2,-2,-3,2,2,2,1,-2
1,47,-2,-3,2,2,2,1,-2,-2
1,48,-3,2,2,2,1,-2,-2,-3
1,49,2,2,2,1,-2,-2,-3,1
1,50,2,2,1,-2,-2,-3,1,-2
1,51,2,1,-2,-2,-3,1,-2,0
1,52,1,-2,-2,-3,1,-2,0,2
1,53,-2,-2,-3,1,-2,0,2,2
1,54,-2,-3,1,-2,0,2,2,2
1,55,-3,1,-2,0,2,2,2,2
1,56,1,-2,0,2,2,2,2,0
1,57,-2,0,2,2,2,2,0,-2
1,58,0,2,2,2,2,0,-2,-2
1,59,2,2,2,2,0,-2,-2,-2
1,60,2,2,2,0,-2,-2,-2,-2
1,61,2,2,0,-2,-2,-2,-2,-1
1,62,2,0,-2,-2,-2,-2,-1,-1
1,63,0,-2,-2,-2,-2,-1,-1,0
1,64,-2,-2,-2,-2,-1,-1,0,2
1,65,-2,-2,-2,-1,-1,0,2,0
1,66,-2,-2,-1,-1,0,2,0,0
1,67,-2,-1,-1,0,2,0,0,-2
1,68,-1,-1,0,2,0,0,-2,-2
1,69,-1,0,2,0,0,-2,-2,-2
1,70,0,2,0,0,-2,-2,-2,-2
1,71,2,0,0,-2,-2,-2,-2,-2
1,72,0,0,-2,-2,-2,-2,-2,1
1,73,0,-2,-2,-2,-2,-2,1,-2
1,74,-2,-2,-2,-2,-2,1,-2,-2
1,75,-2,-2,-2,-2,1,-2,-2,-2
1,76,-2,-2,-2,1,-2,-2,-2,-2
1,77,-2,-2,1,-2,-2,-2,-2,-2
1,78,-2,1,-2,-2,-2,-2,-2,-2
1,79,1,-2,-2,-2,-2,-2,-2,0
1,80,-2,-2,-2,-2,-2,-2,0,2
1,81,-2,-2,-2,-2,-2,0,2,2
1,82,-2,-2,-2,-2,0,2,2,1
1,83,-2,-2,-2,0,2,2,1,-2
1,84,-2,-2,0,2,2,1,-2,-2
1,85,-2,0,2,2,1,-2,-2,-2
1,86,0,2,2,1,-2,-2,-2,-2
1,87,2,2,1,-2,-2,-2,-2,-2
