Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
1,1,1,-3,2,-2,-2,-2,-2,2,2,2,2
1,2,-3,2,-2,-2,-2,-2,2,2,2,2,1
1,3,2,-2,-2,-2,-2,2,2,2,2,1,-2
1,4,-2,-2,-2,-2,2,2,2,2,1,-2,-2
1,5,-2,-2,-2,2,2,2,2,1,-2,-2,-2
1,6,-2,-2,2,2,2,2,1,-2,-2,-2,0
1,7,-2,2,2,2,2,1,-2,-2,-2,0,0
1,8,2,2,2,2,1,-2,-2,-2,0,0,1
1,9,2,2,2,1,-2,-2,-2,0,0,1,1
1,10,2,2,1,-2,-2,-2,0,0,1,1,-1
1,11,2,1,-2,-2,-2,0,0,1,1,-1,2
1,12,1,-2,-2,-2,0,0,1,1,-1,2,2
1,13,-2,-2,-2,0,0,1,1,-1,2,2,2
1,14,-2,-2,0,0,1,1,-1,2,2,2,2
1,15,-2,0,0,1,1,-1,2,2,2,2,0
1,16,0,0,1,1,-1,2,2,2,2,0,-2
1,17,0,1,1,-1,2,2,2,2,0,-2,-1
1,18,1,1,-1,2,2,2,2,0,-2,-1,1
1,19,1,-1,2,2,2,2,0,-2,-1,1,2
1,20,-1,2,2,2,2,0,-2,-1,1,2,2
1,21,2,2,2,2,0,-2,-1,1,2,2,0
1,22,2,2,2,0,-2,-1,1,2,2,0,3
1,23,2,2,0,-2,-1,1,2,2,0,3,0
1,24,2,0,-2,-1,1,2,2,0,3,0,1
1,25,0,-2,-1,1,2,2,0,3,0,1,0
1,26,-2,-1,1,2,2,0,3,0,1,0,1
1,27,-1,1,2,2,0,3,0,1,0,1,0
1,28,1,2,2,0,3,0,1,0,1,0,2
1,29,2,2,0,3,0,1,0,1,0,2,3
1,30,2,0,3,0,1,0,1,0,2,3,2
1,31,0,3,0,1,0,1,0,2,3,2,2
1,32,3,0,1,0,1,0,2,3,2,2,1
1,33,0,1,0,1,0,2,3,2,2,1,-2
1,34,1,0,1,0,2,3,2,2,1,-2,-2
1,35,0,1,0,2,3,2,2,1,-2,-2,2
1,36,1,0,2,3,2,2,1,-2,-2,2,-2
1,37,0,2,3,2,2,1,-2,-2,2,-2,-2
1,38,2,3,2,2,1,-2,-2,2,-2,-2,-2
1,39,3,2,2,1,-2,-2,2,-2,-2,-2,-2
1,40,2,2,1,-2,-2,2,-2,-2,-2,-2,-2
1,41,2,1,-2,-2,2,-2,-2,-2,-2,-2,1
1,42,1,-2,-2,2,-2,-2,-2,-2,-2,1,-2
1,43,-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2
1,44,-2,2,-2,-2,-2,-2,-2,1,-2,-2,1
1,45,2,-2,-2,-2,-2,-2,1,-2,-2,1,-3
1,46,-2,-2,-2,-2,-2,1,-2,-2,1,-3,2
1,47,-2,-2,-2,-2,1,-2,-2,1,-3,2,-2
1,48,-2,-2,-2,1,-2,-2,1,-3,2,-2,0
1,49,-2,-2,1,-2,-2,1,-3,2,-2,0,2
1,50,-2,1,-2,-2,1,-3,2,-2,0,2,2
1,51,1,-2,-2,1,-3,2,-2,0,2,2,2
1,52,-2,-2,1,-3,2,-2,0,2,2,2,2
1,53,-2,1,-3,2,-2,0,2,2,2,2,-2
1,54,1,-3,2,-2,0,2,2,2,2,-2,-2
1,55,-3,2,-2,0,2,2,2,2,-2,-2,-2
1,56,2,-2,0,2,2,2,2,-2,-2,-2,-2
1,57,-2,0,2,2,2,2,-2,-2,-2,-2,-1
1,58,0,2,2,2,2,-2,-2,-2,-2,-1,-1
1,59,2,2,2,2,-2,-2,-2,-2,-1,-1,-1
1,60,2,2,2,-2,-2,-2,-2,-1,-1,-1,-1
1,61,2,2,-2,-2,-2,-2,-1,-1,-1,-1,2
1,62,2,-2,-2,-2,-2,-1,-1,-1,-1,2,1
1,63,-2,-2,-2,-2,-1,-1,-1,-1,2,1,-2
1,64,-2,-2,-2,-1,-1,-1,-1,2,1,-2,-2
1,65,-2,-2,-1,-1,-1,-1,2,1,-2,-2,-2
1,66,-2,-1,-1,-1,-1,2,1,-2,-2,-2,-2
1,67,-1,-1,-1,-1,2,1,-2,-2,-2,-2,-2
1,68,-1,-1,-1,2,1,-2,-2,-2,-2,-2,0
1,69,-1,-1,2,1,-2,-2,-2,-2,-2,0,1
1,70,-1,2,1,-2,-2,-2,-2,-2,0,1,-2
1,71,2,1,-2,-2,-2,-2,-2,0,1,-2,-2
1,72,1,-2,-2,-2,-2,-2,0,1,-2,-2,-2
1,73,-2,-2,-2,-2,-2,0,1,-2,-2,-2,-2
1,74,-2,-2,-2,-2,0,1,-2,-2,-2,-2,-2
1,75,-2,-2,-2,0,1,-2,-2,-2,-2,-2,-2
1,76,-2,-2,0,1,-2,-2,-2,-2,-2,-2,-1
1,77,-2,0,1,-2,-2,-2,-2,-2,-2,-1,2
1,78,0,1,-2,-2,-2,-2,-2,-2,-1,2,2
1,79,1,-2,-2,-2,-2,-2,-2,-1,2,2,-2
1,80,-2,-2,-2,-2,-2,-2,-1,2,2,-2,-2
1,81,-2,-2,-2,-2,-2,-1,2,2,-2,-2,-2
1,82,-2,-2,-2,-2,-1,2,2,-2,-2,-2,-2
1,83,-2,-2,-2,-1,2,2,-2,-2,-2,-2,-2
1,84,-2,-2,-1,2,2,-2,-2,-2,-2,-2,-1
1,85,-2,-1,2,2,-2,-2,-2,-2,-2,-1,-1
1,86,-1,2,2,-2,-2,-2,-2,-2,-1,-1,2
1,87,2,2,-2,-2,-2,-2,-2,-1,-1,2,2
1,88,2,-2,-2,-2,-2,-2,-1,-1,2,2,0
1,89,-2,-2,-2,-2,-2,-1,-1,2,2,0,-1
1,90,-2,-2,-2,-2,-1,-1,2,2,0,-1,-2
1,91,-2,-2,-2,-1,-1,2,2,0,-1,-2,-1
1,92,-2,-2,-1,-1,2,2,0,-1,-2,-1,-2
1,93,-2,-1,-1,2,2,0,-1,-2,-1,-2,-2
1,94,-1,-1,2,2,0,-1,-2,-1,-2,-2,1
1,95,-1,2,2,0,-1,-2,-1,-2,-2,1,1
1,96,2,2,0,-1,-2,-1,-2,-2,1,1,1
1,97,2,0,-1,-2,-1,-2,-2,1,1,1,1
1,98,0,-1,-2,-1,-2,-2,1,1,1,1,1
1,99,-1,-2,-1,-2,-2,1,1,1,1,1,2
1,100,-2,-1,-2,-2,1,1,1,1,1,2,2
1,101,-1,-2,-2,1,1,1,1,1,2,2,2
1,102,-2,-2,1,1,1,1,1,2,2,2,1
1,103,-2,1,1,1,1,1,2,2,2,1,0
1,104,1,1,1,1,1,2,2,2,1,0,-2
1,105,1,1,1,1,2,2,2,1,0,-2,-2
1,106,1,1,1,2,2,2,1,0,-2,-2,-2
1,107,1,1,2,2,2,1,0,-2,-2,-2,-2
1,108,1,2,2,2,1,0,-2,-2,-2,-2,0
1,109,2,2,2,1,0,-2,-2,-2,-2,0,-2
1,110,2,2,1,0,-2,-2,-2,-2,0,-2,-2
1,111,2,1,0,-2,-2,-2,-2,0,-2,-2,-1
1,112,1,0,-2,-2,-2,-2,0,-2,-2,-1,-2
1,113,0,-2,-2,-2,-2,0,-2,-2,-1,-2,-2
1,114,-2,-2,-2,-2,0,-2,-2,-1,-2,-2,2
1,115,-2,-2,-2,0,-2,-2,-1,-2,-2,2,-3
1,116,-2,-2,0,-2,-2,-1,-2,-2,2,-3,2
1,117,-2,0,-2,-2,-1,-2,-2,2,-3,2,-1
1,118,0,-2,-2,-1,-2,-2,2,-3,2,-1,1
1,119,-2,-2,-1,-2,-2,2,-3,2,-1,1,-2
1,120,-2,-1,-2,-2,2,-3,2,-1,1,-2,-2
1,121,-1,-2,-2,2,-3,2,-1,1,-2,-2,-2
1,122,-2,-2,2,-3,2,-1,1,-2,-2,-2,-2
1,123,-2,2,-3,2,-1,1,-2,-2,-2,-2,1
1,124,2,-3,2,-1,1,-2,-2,-2,-2,1,-3
1,125,-3,2,-1,1,-2,-2,-2,-2,1,-3,-2
1,126,2,-1,1,-2,-2,-2,-2,1,-3,-2,-1
1,127,-1,1,-2,-2,-2,-2,1,-3,-2,-1,1
1,128,1,-2,-2,-2,-2,1,-3,-2,-1,1,2
1,129,-2,-2,-2,-2,1,-3,-2,-1,1,2,2
1,130,-2,-2,-2,1,-3,-2,-1,1,2,2,2
1,131,-2,-2,1,-3,-2,-1,1,2,2,2,-1
1,132,-2,1,-3,-2,-1,1,2,2,2,-1,-1
1,133,1,-3,-2,-1,1,2,2,2,-1,-1,2
