Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action to Next Point
1,1,-1,-2,-2,-2,2,2,3,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2
1,2,-2,-2,-2,2,2,3,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2
1,3,-2,-2,2,2,3,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1
1,4,-2,2,2,3,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0
1,5,2,2,3,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2
1,6,2,3,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1
1,7,3,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2
1,8,2,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0
1,9,1,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2
1,10,2,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3
1,11,1,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2
1,12,-1,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2
1,13,-2,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2
1,14,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2
1,15,-2,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3
1,16,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3
1,17,1,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1
1,18,-1,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2
1,19,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2
1,20,-3,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1
1,21,-2,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2
1,22,-2,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2
1,23,-2,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1
1,24,-3,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2
1,25,-2,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2
