Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action to Next Point
1,1,1,-3,2,-2,-2,-2
1,2,-3,2,-2,-2,-2,-2
1,3,2,-2,-2,-2,-2,2
1,4,-2,-2,-2,-2,2,2
1,5,-2,-2,-2,2,2,2
1,6,-2,-2,2,2,2,2
1,7,-2,2,2,2,2,1
1,8,2,2,2,2,1,-2
1,9,2,2,2,1,-2,-2
1,10,2,2,1,-2,-2,-2
1,11,2,1,-2,-2,-2,0
1,12,1,-2,-2,-2,0,0
1,13,-2,-2,-2,0,0,1
1,14,-2,-2,0,0,1,1
1,15,-2,0,0,1,1,-1
1,16,0,0,1,1,-1,2
1,17,0,1,1,-1,2,2
1,18,1,1,-1,2,2,2
1,19,1,-1,2,2,2,2
1,20,-1,2,2,2,2,0
1,21,2,2,2,2,0,-2
1,22,2,2,2,0,-2,-1
1,23,2,2,0,-2,-1,1
1,24,2,0,-2,-1,1,2
1,25,0,-2,-1,1,2,2
1,26,-2,-1,1,2,2,0
1,27,-1,1,2,2,0,3
1,28,1,2,2,0,3,0
1,29,2,2,0,3,0,1
1,30,2,0,3,0,1,0
1,31,0,3,0,1,0,1
1,32,3,0,1,0,1,0
1,33,0,1,0,1,0,2
1,34,1,0,1,0,2,3
1,35,0,1,0,2,3,2
1,36,1,0,2,3,2,2
1,37,0,2,3,2,2,1
1,38,2,3,2,2,1,-2
1,39,3,2,2,1,-2,-2
1,40,2,2,1,-2,-2,2
1,41,2,1,-2,-2,2,-2
1,42,1,-2,-2,2,-2,-2
1,43,-2,-2,2,-2,-2,-2
1,44,-2,2,-2,-2,-2,-2
1,45,2,-2,-2,-2,-2,-2
1,46,-2,-2,-2,-2,-2,1
1,47,-2,-2,-2,-2,1,-2
1,48,-2,-2,-2,1,-2,-2
1,49,-2,-2,1,-2,-2,1
1,50,-2,1,-2,-2,1,-3
1,51,1,-2,-2,1,-3,2
1,52,-2,-2,1,-3,2,-2
1,53,-2,1,-3,2,-2,0
1,54,1,-3,2,-2,0,2
1,55,-3,2,-2,0,2,2
1,56,2,-2,0,2,2,2
1,57,-2,0,2,2,2,2
1,58,0,2,2,2,2,-2
1,59,2,2,2,2,-2,-2
1,60,2,2,2,-2,-2,-2
1,61,2,2,-2,-2,-2,-2
