Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action to Next Point
1,1,-1,-2,-2,-2,2,-1,3,-1
1,2,-2,-2,-2,2,-1,3,-1,1
1,3,-2,-2,2,-1,3,-1,1,2
1,4,-2,2,-1,3,-1,1,2,1
1,5,2,-1,3,-1,1,2,1,0
1,6,-1,3,-1,1,2,1,0,-2
1,7,3,-1,1,2,1,0,-2,-2
1,8,-1,1,2,1,0,-2,-2,-2
1,9,1,2,1,0,-2,-2,-2,-2
1,10,2,1,0,-2,-2,-2,-2,1
1,11,1,0,-2,-2,-2,-2,1,-1
1,12,0,-2,-2,-2,-2,1,-1,-2
1,13,-2,-2,-2,-2,1,-1,-2,2
1,14,-2,-2,-2,1,-1,-2,2,-3
1,15,-2,-2,1,-1,-2,2,-3,2
1,16,-2,1,-1,-2,2,-3,2,1
1,17,1,-1,-2,2,-3,2,1,-3
1,18,-1,-2,2,-3,2,1,-3,-1
1,19,-2,2,-3,2,1,-3,-1,-2
1,20,2,-3,2,1,-3,-1,-2,-1
1,21,-3,2,1,-3,-1,-2,-1,-1
1,22,2,1,-3,-1,-2,-1,-1,0
1,23,1,-3,-1,-2,-1,-1,0,2
1,24,-3,-1,-2,-1,-1,0,2,1
1,25,-1,-2,-1,-1,0,2,1,2
1,26,-2,-1,-1,0,2,1,2,-2
1,27,-1,-1,0,2,1,2,-2,-2
1,28,-1,0,2,1,2,-2,-2,-2
1,29,0,2,1,2,-2,-2,-2,-2
1,30,2,1,2,-2,-2,-2,-2,0
1,31,1,2,-2,-2,-2,-2,0,-3
1,32,2,-2,-2,-2,-2,0,-3,2
1,33,-2,-2,-2,-2,0,-3,2,-3
1,34,-2,-2,-2,0,-3,2,-3,-2
1,35,-2,-2,0,-3,2,-3,-2,-2
1,36,-2,0,-3,2,-3,-2,-2,2
1,37,0,-3,2,-3,-2,-2,2,2
1,38,-3,2,-3,-2,-2,2,2,2
1,39,2,-3,-2,-2,2,2,2,-2
1,40,-3,-2,-2,2,2,2,-2,-2
1,41,-2,-2,2,2,2,-2,-2,0
1,42,-2,2,2,2,-2,-2,0,2
1,43,2,2,2,-2,-2,0,2,2
1,44,2,2,-2,-2,0,2,2,2
1,45,2,-2,-2,0,2,2,2,2
1,46,-2,-2,0,2,2,2,2,2
1,47,-2,0,2,2,2,2,2,-2
1,48,0,2,2,2,2,2,-2,-2
1,49,2,2,2,2,2,-2,-2,-2
1,50,2,2,2,2,-2,-2,-2,-2
1,51,2,2,2,-2,-2,-2,-2,-2
1,52,2,2,-2,-2,-2,-2,-2,-2
1,53,2,-2,-2,-2,-2,-2,-2,-1
1,54,-2,-2,-2,-2,-2,-2,-1,2
1,55,-2,-2,-2,-2,-2,-1,2,-1
1,56,-2,-2,-2,-2,-1,2,-1,3
1,57,-2,-2,-2,-1,2,-1,3,0
1,58,-2,-2,-1,2,-1,3,0,2
1,59,-2,-1,2,-1,3,0,2,-2
1,60,-1,2,-1,3,0,2,-2,-1
1,61,2,-1,3,0,2,-2,-1,-1
1,62,-1,3,0,2,-2,-1,-1,2
1,63,3,0,2,-2,-1,-1,2,2
1,64,0,2,-2,-1,-1,2,2,2
1,65,2,-2,-1,-1,2,2,2,2
1,66,-2,-1,-1,2,2,2,2,2
1,67,-1,-1,2,2,2,2,2,1
1,68,-1,2,2,2,2,2,1,-2
1,69,2,2,2,2,2,1,-2,-2
1,70,2,2,2,2,1,-2,-2,-1
1,71,2,2,2,1,-2,-2,-1,2
1,72,2,2,1,-2,-2,-1,2,0
1,73,2,1,-2,-2,-1,2,0,1
1,74,1,-2,-2,-1,2,0,1,-1
1,75,-2,-2,-1,2,0,1,-1,-2
1,76,-2,-1,2,0,1,-1,-2,-2
1,77,-1,2,0,1,-1,-2,-2,-2
1,78,2,0,1,-1,-2,-2,-2,-1
1,79,0,1,-1,-2,-2,-2,-1,-2
1,80,1,-1,-2,-2,-2,-1,-2,-2
1,81,-1,-2,-2,-2,-1,-2,-2,1
1,82,-2,-2,-2,-1,-2,-2,1,-3
1,83,-2,-2,-1,-2,-2,1,-3,-2
1,84,-2,-1,-2,-2,1,-3,-2,-2
1,85,-1,-2,-2,1,-3,-2,-2,-1
1,86,-2,-2,1,-3,-2,-2,-1,-2
1,87,-2,1,-3,-2,-2,-1,-2,-1
1,88,1,-3,-2,-2,-1,-2,-1,-3
1,89,-3,-2,-2,-1,-2,-1,-3,-2
1,90,-2,-2,-1,-2,-1,-3,-2,-2
1,91,-2,-1,-2,-1,-3,-2,-2,-2
1,92,-1,-2,-1,-3,-2,-2,-2,-2
1,93,-2,-1,-3,-2,-2,-2,-2,1
1,94,-1,-3,-2,-2,-2,-2,1,1
1,95,-3,-2,-2,-2,-2,1,1,1
1,96,-2,-2,-2,-2,1,1,1,1
1,97,-2,-2,-2,1,1,1,1,2
1,98,-2,-2,1,1,1,1,2,2
1,99,-2,1,1,1,1,2,2,2
1,100,1,1,1,1,2,2,2,2
1,101,1,1,1,2,2,2,2,2
1,102,1,1,2,2,2,2,2,-1
1,103,1,2,2,2,2,2,-1,-2
1,104,2,2,2,2,2,-1,-2,-2
1,105,2,2,2,2,-1,-2,-2,-1
1,106,2,2,2,-1,-2,-2,-1,2
1,107,2,2,-1,-2,-2,-1,2,2
1,108,2,-1,-2,-2,-1,2,2,2
1,109,-1,-2,-2,-1,2,2,2,-2
1,110,-2,-2,-1,2,2,2,-2,3
1,111,-2,-1,2,2,2,-2,3,-2
1,112,-1,2,2,2,-2,3,-2,0
1,113,2,2,2,-2,3,-2,0,0
1,114,2,2,-2,3,-2,0,0,0
1,115,2,-2,3,-2,0,0,0,2
1,116,-2,3,-2,0,0,0,2,2
1,117,3,-2,0,0,0,2,2,2
1,118,-2,0,0,0,2,2,2,2
1,119,0,0,0,2,2,2,2,2
1,120,0,0,2,2,2,2,2,2
1,121,0,2,2,2,2,2,2,1
1,122,2,2,2,2,2,2,1,2
1,123,2,2,2,2,2,1,2,2
1,124,2,2,2,2,1,2,2,2
1,125,2,2,2,1,2,2,2,1
1,126,2,2,1,2,2,2,1,1
1,127,2,1,2,2,2,1,1,-2
1,128,1,2,2,2,1,1,-2,-2
1,129,2,2,2,1,1,-2,-2,1
1,130,2,2,1,1,-2,-2,1,2
1,131,2,1,1,-2,-2,1,2,2
1,132,1,1,-2,-2,1,2,2,2
1,133,1,-2,-2,1,2,2,2,2
1,134,-2,-2,1,2,2,2,2,-1
1,135,-2,1,2,2,2,2,-1,-2
1,136,1,2,2,2,2,-1,-2,2
1,137,2,2,2,2,-1,-2,2,2
1,138,2,2,2,-1,-2,2,2,-1
1,139,2,2,-1,-2,2,2,-1,3
1,140,2,-1,-2,2,2,-1,3,0
1,141,-1,-2,2,2,-1,3,0,2
1,142,-2,2,2,-1,3,0,2,2
1,143,2,2,-1,3,0,2,2,0
1,144,2,-1,3,0,2,2,0,3
1,145,-1,3,0,2,2,0,3,0
1,146,3,0,2,2,0,3,0,-1
1,147,0,2,2,0,3,0,-1,0
1,148,2,2,0,3,0,-1,0,2
1,149,2,0,3,0,-1,0,2,-2
1,150,0,3,0,-1,0,2,-2,0
1,151,3,0,-1,0,2,-2,0,-3
1,152,0,-1,0,2,-2,0,-3,-1
1,153,-1,0,2,-2,0,-3,-1,0
1,154,0,2,-2,0,-3,-1,0,0
1,155,2,-2,0,-3,-1,0,0,0
1,156,-2,0,-3,-1,0,0,0,-1
1,157,0,-3,-1,0,0,0,-1,-1
1,158,-3,-1,0,0,0,-1,-1,-2
1,159,-1,0,0,0,-1,-1,-2,-2
1,160,0,0,0,-1,-1,-2,-2,-2
1,161,0,0,-1,-1,-2,-2,-2,1
1,162,0,-1,-1,-2,-2,-2,1,1
1,163,-1,-1,-2,-2,-2,1,1,-1
1,164,-1,-2,-2,-2,1,1,-1,-2
1,165,-2,-2,-2,1,1,-1,-2,-1
1,166,-2,-2,1,1,-1,-2,-1,-1
1,167,-2,1,1,-1,-2,-1,-1,1
1,168,1,1,-1,-2,-1,-1,1,-1
1,169,1,-1,-2,-1,-1,1,-1,-2
1,170,-1,-2,-1,-1,1,-1,-2,1
1,171,-2,-1,-1,1,-1,-2,1,2
1,172,-1,-1,1,-1,-2,1,2,1
1,173,-1,1,-1,-2,1,2,1,-1
1,174,1,-1,-2,1,2,1,-1,2
1,175,-1,-2,1,2,1,-1,2,2
1,176,-2,1,2,1,-1,2,2,2
1,177,1,2,1,-1,2,2,2,2
1,178,2,1,-1,2,2,2,2,2
1,179,1,-1,2,2,2,2,2,-2
1,180,-1,2,2,2,2,2,-2,1
1,181,2,2,2,2,2,-2,1,2
1,182,2,2,2,2,-2,1,2,2
1,183,2,2,2,-2,1,2,2,2
1,184,2,2,-2,1,2,2,2,2
1,185,2,-2,1,2,2,2,2,2
1,186,-2,1,2,2,2,2,2,0
1,187,1,2,2,2,2,2,0,0
1,188,2,2,2,2,2,0,0,1
1,189,2,2,2,2,0,0,1,2
1,190,2,2,2,0,0,1,2,2
1,191,2,2,0,0,1,2,2,2
1,192,2,0,0,1,2,2,2,0
1,193,0,0,1,2,2,2,0,0
1,194,0,1,2,2,2,0,0,-2
1,195,1,2,2,2,0,0,-2,-2
1,196,2,2,2,0,0,-2,-2,2
1,197,2,2,0,0,-2,-2,2,2
1,198,2,0,0,-2,-2,2,2,0
1,199,0,0,-2,-2,2,2,0,-2
1,200,0,-2,-2,2,2,0,-2,-2
1,201,-2,-2,2,2,0,-2,-2,-2
1,202,-2,2,2,0,-2,-2,-2,-2
1,203,2,2,0,-2,-2,-2,-2,-2
1,204,2,0,-2,-2,-2,-2,-2,2
1,205,0,-2,-2,-2,-2,-2,2,2
1,206,-2,-2,-2,-2,-2,2,2,2
1,207,-2,-2,-2,-2,2,2,2,2
1,208,-2,-2,-2,2,2,2,2,2
1,209,-2,-2,2,2,2,2,2,2
1,210,-2,2,2,2,2,2,2,1
1,211,2,2,2,2,2,2,1,3
1,212,2,2,2,2,2,1,3,-2
1,213,2,2,2,2,1,3,-2,0
1,214,2,2,2,1,3,-2,0,-2
1,215,2,2,1,3,-2,0,-2,-2
1,216,2,1,3,-2,0,-2,-2,-1
1,217,1,3,-2,0,-2,-2,-1,0
1,218,3,-2,0,-2,-2,-1,0,-1
1,219,-2,0,-2,-2,-1,0,-1,-2
1,220,0,-2,-2,-1,0,-1,-2,-2
1,221,-2,-2,-1,0,-1,-2,-2,-2
1,222,-2,-1,0,-1,-2,-2,-2,-1
1,223,-1,0,-1,-2,-2,-2,-1,-1
1,224,0,-1,-2,-2,-2,-1,-1,-2
1,225,-1,-2,-2,-2,-1,-1,-2,-2
1,226,-2,-2,-2,-1,-1,-2,-2,1
1,227,-2,-2,-1,-1,-2,-2,1,-3
1,228,-2,-1,-1,-2,-2,1,-3,-1
1,229,-1,-1,-2,-2,1,-3,-1,-2
1,230,-1,-2,-2,1,-3,-1,-2,-1
1,231,-2,-2,1,-3,-1,-2,-1,1
1,232,-2,1,-3,-1,-2,-1,1,2
1,233,1,-3,-1,-2,-1,1,2,2
1,234,-3,-1,-2,-1,1,2,2,2
1,235,-1,-2,-1,1,2,2,2,2
1,236,-2,-1,1,2,2,2,2,2
1,237,-1,1,2,2,2,2,2,0
1,238,1,2,2,2,2,2,0,2
1,239,2,2,2,2,2,0,2,-1
1,240,2,2,2,2,0,2,-1,-2
1,241,2,2,2,0,2,-1,-2,2
1,242,2,2,0,2,-1,-2,2,-3
1,243,2,0,2,-1,-2,2,-3,-1
1,244,0,2,-1,-2,2,-3,-1,-2
1,245,2,-1,-2,2,-3,-1,-2,-1
1,246,-1,-2,2,-3,-1,-2,-1,-2
1,247,-2,2,-3,-1,-2,-1,-2,-1
1,248,2,-3,-1,-2,-1,-2,-1,0
1,249,-3,-1,-2,-1,-2,-1,0,-1
1,250,-1,-2,-1,-2,-1,0,-1,0
1,251,-2,-1,-2,-1,0,-1,0,0
1,252,-1,-2,-1,0,-1,0,0,2
2,1,0,0,0,2,2,2,1,3
2,2,0,0,2,2,2,1,3,1
2,3,0,2,2,2,1,3,1,2
2,4,2,2,2,1,3,1,2,2
2,5,2,2,1,3,1,2,2,-1
2,6,2,1,3,1,2,2,-1,0
2,7,1,3,1,2,2,-1,0,1
2,8,3,1,2,2,-1,0,1,-1
2,9,1,2,2,-1,0,1,-1,-2
2,10,2,2,-1,0,1,-1,-2,-1
2,11,2,-1,0,1,-1,-2,-1,0
2,12,-1,0,1,-1,-2,-1,0,2
2,13,0,1,-1,-2,-1,0,2,-1
2,14,1,-1,-2,-1,0,2,-1,3
2,15,-1,-2,-1,0,2,-1,3,0
2,16,-2,-1,0,2,-1,3,0,-2
2,17,-1,0,2,-1,3,0,-2,-2
2,18,0,2,-1,3,0,-2,-2,-1
2,19,2,-1,3,0,-2,-2,-1,1
2,20,-1,3,0,-2,-2,-1,1,-1
2,21,3,0,-2,-2,-1,1,-1,-2
2,22,0,-2,-2,-1,1,-1,-2,-2
2,23,-2,-2,-1,1,-1,-2,-2,2
2,24,-2,-1,1,-1,-2,-2,2,1
2,25,-1,1,-1,-2,-2,2,1,2
2,26,1,-1,-2,-2,2,1,2,2
2,27,-1,-2,-2,2,1,2,2,2
2,28,-2,-2,2,1,2,2,2,2
2,29,-2,2,1,2,2,2,2,0
2,30,2,1,2,2,2,2,0,-2
2,31,1,2,2,2,2,0,-2,-2
2,32,2,2,2,2,0,-2,-2,2
2,33,2,2,2,0,-2,-2,2,2
2,34,2,2,0,-2,-2,2,2,2
2,35,2,0,-2,-2,2,2,2,2
2,36,0,-2,-2,2,2,2,2,1
2,37,-2,-2,2,2,2,2,1,-2
2,38,-2,2,2,2,2,1,-2,-2
2,39,2,2,2,2,1,-2,-2,-2
2,40,2,2,2,1,-2,-2,-2,-2
2,41,2,2,1,-2,-2,-2,-2,-2
2,42,2,1,-2,-2,-2,-2,-2,-2
2,43,1,-2,-2,-2,-2,-2,-2,0
2,44,-2,-2,-2,-2,-2,-2,0,1
2,45,-2,-2,-2,-2,-2,0,1,-1
2,46,-2,-2,-2,-2,0,1,-1,2
2,47,-2,-2,-2,0,1,-1,2,-2
2,48,-2,-2,0,1,-1,2,-2,3
2,49,-2,0,1,-1,2,-2,3,-2
2,50,0,1,-1,2,-2,3,-2,0
2,51,1,-1,2,-2,3,-2,0,-3
2,52,-1,2,-2,3,-2,0,-3,1
2,53,2,-2,3,-2,0,-3,1,-2
2,54,-2,3,-2,0,-3,1,-2,-1
2,55,3,-2,0,-3,1,-2,-1,1
2,56,-2,0,-3,1,-2,-1,1,1
2,57,0,-3,1,-2,-1,1,1,2
