,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
0,-2,-2,2,1,-1,-2,-2,0,-1,-2,-2
1,-1,1,-1,-2,-2,2,1,2,2,2,2
2,-2,1,2,2,-1,3,-2,2,2,2,0
3,2,-1,-2,2,0,3,0,2,0,-2,0
4,2,2,2,0,2,-2,-2,-3,-2,-2,0
5,-1,0,-2,-2,-2,-2,-1,0,-2,-2,-2
6,-2,2,2,2,2,2,-1,-1,0,-3,0
7,-2,-2,-3,-2,-2,-1,-2,-1,-1,0,-1
8,1,0,-1,-2,-2,-2,0,-3,-1,-2,-1
9,2,1,-2,-2,-2,-2,-2,-2,0,1,-1
10,2,0,-2,-2,0,2,2,-2,-2,-1,-1
11,1,2,2,3,2,2,1,0,-2,-1,1
12,-2,0,-3,-2,0,2,1,3,2,2,2
13,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1
14,3,0,0,3,1,0,-2,-2,-1,0,-2
15,-2,2,1,2,2,2,2,0,-2,-2,2
16,2,2,2,2,2,-1,-2,-2,-1,2,0
17,0,-2,-1,1,-2,-1,2,3,2,1,-2
18,2,2,3,2,2,2,1,0,1,-1,-2
19,-1,1,-1,-2,1,2,1,-1,0,3,-1
20,-2,0,-1,-2,-2,-2,1,-1,0,-3,-2
21,-1,1,2,2,3,1,-1,-2,-1,1,-1
22,-1,0,2,2,2,2,2,2,-2,-2,-1
23,2,2,2,2,-1,-2,-2,-1,2,0,3
24,0,-2,-2,-2,-3,-2,-2,-2,0,2,-1
25,2,-2,-2,-1,-1,0,-3,1,-2,-2,0
26,1,-1,-2,-2,-2,-2,-2,2,-3,-3,-1
27,-2,-1,0,-2,-2,-2,-3,-2,-2,-2,0
28,1,1,-2,0,0,1,2,-2,-2,-2,-2
29,2,2,-2,-2,-3,2,-2,-2,1,2,3
30,-2,2,2,3,2,1,2,1,-1,-2,-2
31,-2,-2,-2,1,-1,1,-3,-2,-2,-2,-3
32,2,1,-1,-2,-2,0,-1,-2,-2,-2,1
33,2,2,0,3,0,0,1,2,2,2,1
34,2,3,2,2,-1,-2,-2,-2,2,1,-1
35,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1
36,1,2,2,2,2,2,-2,-2,-3,2,-2
37,1,3,2,-2,-2,-2,2,2,2,3,2
38,-2,1,2,1,-1,0,3,-1,2,-1,-2
39,0,2,-1,-2,-2,-3,-2,-2,-1,-2,-1
40,-3,-2,-2,-2,-1,0,2,1,2,0,-2
41,2,-2,1,-1,2,2,2,2,3,2,2
42,1,1,1,-1,-2,-2,-2,-2,-2,2,-3
43,3,2,2,2,2,-1,-1,-2,1,-3,1
44,2,2,2,0,-1,0,2,2,2,2,2
45,-2,-2,3,2,2,2,2,-1,-1,-2,1
46,-1,-2,-1,-3,-1,0,1,-2,-2,-2,-3
47,-2,-2,-3,-2,-2,-2,-1,0,2,1,2
48,2,1,1,-2,-2,0,1,3,2,-2,-2
49,-1,2,2,1,-2,-2,1,2,2,2,2
50,2,2,3,2,2,2,0,2,-2,-2,-3
51,1,-1,-2,-1,1,-1,-2,-2,2,1,2
52,2,1,1,1,-2,0,0,1,2,-2,-2
53,-1,-1,-2,1,-3,1,0,-1,-2,-2,-2
54,-2,-2,-2,-2,-2,3,2,2,2,2,-1
55,2,2,0,-1,0,2,2,2,2,2,2
56,2,3,2,2,2,1,0,1,-1,-2,-1
57,1,-2,1,-1,-2,-2,-2,-2,2,2,2
58,-1,2,2,2,2,3,2,2,2,1,0
59,1,0,3,-1,-2,0,-3,-2,-2,-1,0
60,-1,2,2,2,2,2,2,-1,-2,-2,-1
61,-1,-2,-2,-2,2,1,-1,-2,-2,0,-1
62,-2,-2,-2,2,2,2,3,2,2,2,3
63,-2,-3,-3,-1,2,2,1,-2,-2,1,2
64,-2,-2,-2,2,-3,-3,-1,-2,2,-2,-3
65,-2,-2,-2,-2,1,1,-1,-2,-1,-1,1
66,-1,1,1,2,3,2,2,-1,-2,-2,-2
67,-2,-1,0,2,1,2,0,-2,-3,-2,-2
68,-3,0,-2,0,2,2,2,2,0,-1,1
69,1,3,2,2,2,1,-2,1,2,2,-1
70,-2,-2,1,-1,0,-3,-2,0,2,1,1
71,-2,-2,-2,-2,1,1,-1,2,2,2,2
72,-2,1,-1,1,-3,-2,-2,-2,-3,-2,-2
73,2,2,-1,0,0,2,2,0,3,0,0
74,-3,-3,-1,2,2,1,-2,-2,1,2,2
75,2,2,3,2,1,2,1,-1,-2,-2,-2
76,0,3,2,2,2,-1,0,0,2,2,0
77,0,-2,0,2,2,2,2,0,-1,1,-2
78,1,-3,-2,-2,-2,-3,-2,-2,-2,-1,0
79,1,-1,-2,-1,1,2,2,3,1,-1,-2
80,-2,-1,-1,-1,1,1,2,3,2,2,-1
