Name,US $ TO AUSTRALIAN $ (WMR) - EXCHANGE RATE,CANADIAN $ TO US $ (WMR) - EXCHANGE RATE,SWISS FRANC TO US $ (WMR) - EXCHANGE RATE,DANISH KRONE TO US $ (WMR) - EXCHANGE RATE,US $ TO ECU/EURO (WMR) - EXCHANGE RATE,US $ TO UK £ (WMR) - EXCHANGE RATE,JAPANESE YEN TO US $ (WMR) - EXCHANGE RATE,NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE,US $ TO NEW ZEALAND $ (WMR) - EXCHANGE RATE,SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE,BRAZILIAN REAL TO US $ (WMR) - EXCHANGE RATE,CZECH KORUNA TO US $ (WMR) - EXCHANGE RATE,HUNGARIAN FORINT TO US $ (WMR) - EXCHANGE RATE,SOUTH KOREAN WON TO US $ (WMR) - EXCHANGE RATE,MEXICAN PESO TO US $ (WMR) - EXCHANGE RATE,POLISH ZLOTY TO US $ (WMR) - EXCHANGE RATE,SINGAPORE $ TO US $ (WMR) - EXCHANGE RATE,NEW TURKISH LIRA TO US $ (WMR) - EXCHANGE RATE,TAIWAN NEW $ TO US $ (WMR) - EXCHANGE RATE,SOUTH AFRICA RAND TO US $ (WMR) - EXCHANGE RATE,CHILEAN PESO TO US $ (WMR) - EXCHANGE RATE,CHINESE YUAN TO US $ (WMR) - EXCHANGE RATE,HONG KONG $ TO US $ (WMR) - EXCHANGE RATE,INDONESIAN RUPIAH TO US $ (WMR) - EXCHANGE RATE,ISRAELI SHEKEL TO US $ (WMR) - EXCHANGE RATE,INDIAN RUPEE TO US $ (WMR) - EXCHANGE RATE,MALAYSIAN RINGGIT TO US $ (WMR) - EXCHANGE RATE,PHILIPPINE PESO TO US $ (WMR) - EXCHANGE RATE,RUSSIAN ROUBLE TO US $ (WMR) - EXCHANGE RATE,THAI BAHT TO US $ (WMR) - EXCHANGE RATE,KUWAITI DINAR TO US $ (WMR) - EXCHANGE RATE,SAUDI RIYAL TO US $ (WMR) - EXCHANGE RATE,UAE DIRHAM TO US $ (WMR) - EXCHANGE RATE
31/12/1982,NA,NA,NA,NA,NA,1.6175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/01/1983,NA,NA,NA,NA,NA,1.6175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/01/1983,NA,NA,NA,NA,NA,1.6245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/01/1983,NA,NA,NA,NA,NA,1.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/01/1983,NA,NA,NA,NA,NA,1.6085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/01/1983,NA,NA,NA,NA,NA,1.6105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/01/1983,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/01/1983,NA,NA,NA,NA,NA,1.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/01/1983,NA,NA,NA,NA,NA,1.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/01/1983,NA,NA,NA,NA,NA,1.5795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/01/1983,NA,NA,NA,NA,NA,1.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/01/1983,NA,NA,NA,NA,NA,1.5885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/01/1983,NA,NA,NA,NA,NA,1.5765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/01/1983,NA,NA,NA,NA,NA,1.5745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/01/1983,NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/01/1983,NA,NA,NA,NA,NA,1.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/01/1983,NA,NA,NA,NA,NA,1.5405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/01/1983,NA,NA,NA,NA,NA,1.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/01/1983,NA,NA,NA,NA,NA,1.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/01/1983,NA,NA,NA,NA,NA,1.5375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/01/1983,NA,NA,NA,NA,NA,1.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/01/1983,NA,NA,NA,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
