,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,H6_Facial Covering_National,H6_Facial Covering_Regional,US_to_UK
0,01/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,02/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004539444
2,03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008873375
3,04/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00447094
4,05/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005961253
5,06/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678589
6,07/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003006033
7,08/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001640001
8,09/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003901026
9,10/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000957543
10,11/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001527828
11,12/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001490437
12,13/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006336792
13,14/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424244
14,15/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001152339
15,16/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003181237
16,17/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002682302
17,18/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550425
18,19/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349787
19,20/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,-0.002574103
20,21/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,0.004797093
21,22/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,0.00614494
22,23/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,-0.001599391
23,24/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,-0.003933179
24,25/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,0.000204123
25,26/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,-0.001776149
26,27/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,-0.000956993
27,28/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,-0.005645718
28,29/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,0.001539409
29,30/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.56,9.52,5.56,6.41,0,0,0,0.007623536
30,31/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,8.33,9.52,13.89,16.03,0,0,0,0.006125535
31,01/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,8.33,9.52,13.89,16.03,0,0,0,0.00509616
32,02/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,11.11,14.29,15.56,17.95,0,0,0,0.006281744
33,03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,26014287.82,0,0,8,0,11.11,14.29,15.56,17.95,0,0,0,-0.012864982
34,04/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,8,0,11.11,14.29,15.56,17.95,0,0,0,0.000844919
35,05/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,9,0,11.11,14.29,15.56,17.95,0,0,0,-0.003229902
36,06/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,9,0,11.11,14.29,15.56,17.95,0,0,0,-0.004052104
37,07/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,9,0,11.11,14.29,15.56,17.95,0,0,0,0.00065717
38,08/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,13,0,11.11,14.29,15.56,17.95,0,0,0,-0.002208279
39,09/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,14,0,11.11,14.29,15.56,17.95,0,0,0,-0.001867738
40,10/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,14,0,11.11,14.29,15.56,17.95,0,0,0,-0.001160003
41,11/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,15,0,11.11,14.29,15.56,17.95,0,0,0,0.001585001
42,12/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,16,0,11.11,14.29,15.56,17.95,0,0,0,0.002469137
43,13/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,17,0,11.11,14.29,15.56,17.95,0,0,0,0.005993103
44,14/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,18,0,11.11,14.29,15.56,17.95,0,0,0,-0.00303048
45,15/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,18,0,11.11,14.29,15.56,17.95,0,0,0,0.001810587
46,16/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,18,0,11.11,14.29,15.56,17.95,0,0,0,0.00159107
47,17/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,19,0,11.11,14.29,15.56,17.95,0,0,0,-0.000576446
48,18/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,19,0,11.11,14.29,15.56,17.95,0,0,0,0.002342146
49,19/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,20,0,11.11,14.29,15.56,17.95,0,0,0,-0.006618209
50,20/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,22,0,11.11,14.29,15.56,17.95,0,0,0,-0.005574712
51,21/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,23,0,11.11,14.29,15.56,17.95,0,0,0,0.006153627
