Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
1,1,0,3,3,2,1,1,0,-2,-2,-2,-3
1,2,3,3,2,1,1,0,-2,-2,-2,-3,-3
1,3,3,2,1,1,0,-2,-2,-2,-3,-3,-3
1,4,2,1,1,0,-2,-2,-2,-3,-3,-3,-2
1,5,1,1,0,-2,-2,-2,-3,-3,-3,-2,-2
1,6,1,0,-2,-2,-2,-3,-3,-3,-2,-2,0
1,7,0,-2,-2,-2,-3,-3,-3,-2,-2,0,0
1,8,-2,-2,-2,-3,-3,-3,-2,-2,0,0,2
1,9,-2,-2,-3,-3,-3,-2,-2,0,0,2,2
1,10,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,11,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,12,-3,-3,-2,-2,0,0,2,2,2,3,3
1,13,-3,-2,-2,0,0,2,2,2,3,3,3
1,14,-2,-2,0,0,2,2,2,3,3,3,3
1,15,-2,0,0,2,2,2,3,3,3,3,1
1,16,0,0,2,2,2,3,3,3,3,1,1
1,17,0,2,2,2,3,3,3,3,1,1,-1
1,18,2,2,2,3,3,3,3,1,1,-1,-1
1,19,2,2,3,3,3,3,1,1,-1,-1,-3
1,20,2,3,3,3,3,1,1,-1,-1,-3,-2
1,21,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,22,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,23,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,24,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,25,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,26,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
1,27,-1,-1,-3,-2,-3,-3,-3,-2,-2,0,0
1,28,-1,-3,-2,-3,-3,-3,-2,-2,0,0,2
1,29,-3,-2,-3,-3,-3,-2,-2,0,0,2,2
1,30,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,31,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,32,-3,-3,-2,-2,0,0,2,2,2,3,3
1,33,-3,-2,-2,0,0,2,2,2,3,3,3
1,34,-2,-2,0,0,2,2,2,3,3,3,3
1,35,-2,0,0,2,2,2,3,3,3,3,1
1,36,0,0,2,2,2,3,3,3,3,1,1
1,37,0,2,2,2,3,3,3,3,1,1,-1
1,38,2,2,2,3,3,3,3,1,1,-1,-1
1,39,2,2,3,3,3,3,1,1,-1,-1,-3
1,40,2,3,3,3,3,1,1,-1,-1,-3,-2
1,41,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,42,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,43,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,44,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,45,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,46,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
1,47,-1,-1,-3,-2,-3,-3,-3,-2,-2,0,0
1,48,-1,-3,-2,-3,-3,-3,-2,-2,0,0,2
1,49,-3,-2,-3,-3,-3,-2,-2,0,0,2,2
1,50,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,51,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,52,-3,-3,-2,-2,0,0,2,2,2,3,3
1,53,-3,-2,-2,0,0,2,2,2,3,3,3
1,54,-2,-2,0,0,2,2,2,3,3,3,3
1,55,-2,0,0,2,2,2,3,3,3,3,1
1,56,0,0,2,2,2,3,3,3,3,1,1
1,57,0,2,2,2,3,3,3,3,1,1,-1
1,58,2,2,2,3,3,3,3,1,1,-1,-1
1,59,2,2,3,3,3,3,1,1,-1,-1,-3
1,60,2,3,3,3,3,1,1,-1,-1,-3,-2
1,61,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,62,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,63,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,64,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,65,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,66,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
1,67,-1,-1,-3,-2,-3,-3,-3,-2,-2,0,0
1,68,-1,-3,-2,-3,-3,-3,-2,-2,0,0,2
1,69,-3,-2,-3,-3,-3,-2,-2,0,0,2,2
1,70,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,71,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,72,-3,-3,-2,-2,0,0,2,2,2,3,3
1,73,-3,-2,-2,0,0,2,2,2,3,3,3
1,74,-2,-2,0,0,2,2,2,3,3,3,3
1,75,-2,0,0,2,2,2,3,3,3,3,1
1,76,0,0,2,2,2,3,3,3,3,1,1
1,77,0,2,2,2,3,3,3,3,1,1,-1
1,78,2,2,2,3,3,3,3,1,1,-1,-1
1,79,2,2,3,3,3,3,1,1,-1,-1,-3
1,80,2,3,3,3,3,1,1,-1,-1,-3,-2
1,81,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,82,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,83,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,84,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,85,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,86,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
1,87,-1,-1,-3,-2,-3,-3,-3,-2,-2,0,0
1,88,-1,-3,-2,-3,-3,-3,-2,-2,0,0,2
1,89,-3,-2,-3,-3,-3,-2,-2,0,0,2,2
1,90,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,91,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,92,-3,-3,-2,-2,0,0,2,2,2,3,3
1,93,-3,-2,-2,0,0,2,2,2,3,3,3
1,94,-2,-2,0,0,2,2,2,3,3,3,3
1,95,-2,0,0,2,2,2,3,3,3,3,1
1,96,0,0,2,2,2,3,3,3,3,1,1
1,97,0,2,2,2,3,3,3,3,1,1,-1
1,98,2,2,2,3,3,3,3,1,1,-1,-1
1,99,2,2,3,3,3,3,1,1,-1,-1,-3
1,100,2,3,3,3,3,1,1,-1,-1,-3,-2
1,101,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,102,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,103,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,104,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,105,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,106,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
1,107,-1,-1,-3,-2,-3,-3,-3,-2,-2,0,0
1,108,-1,-3,-2,-3,-3,-3,-2,-2,0,0,2
1,109,-3,-2,-3,-3,-3,-2,-2,0,0,2,2
1,110,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,111,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,112,-3,-3,-2,-2,0,0,2,2,2,3,3
1,113,-3,-2,-2,0,0,2,2,2,3,3,3
1,114,-2,-2,0,0,2,2,2,3,3,3,3
1,115,-2,0,0,2,2,2,3,3,3,3,1
1,116,0,0,2,2,2,3,3,3,3,1,1
1,117,0,2,2,2,3,3,3,3,1,1,-1
1,118,2,2,2,3,3,3,3,1,1,-1,-1
1,119,2,2,3,3,3,3,1,1,-1,-1,-3
1,120,2,3,3,3,3,1,1,-1,-1,-3,-2
1,121,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,122,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,123,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,124,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,125,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,126,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
1,127,-1,-1,-3,-2,-3,-3,-3,-2,-2,0,0
1,128,-1,-3,-2,-3,-3,-3,-2,-2,0,0,2
1,129,-3,-2,-3,-3,-3,-2,-2,0,0,2,2
1,130,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,131,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,132,-3,-3,-2,-2,0,0,2,2,2,3,3
1,133,-3,-2,-2,0,0,2,2,2,3,3,3
1,134,-2,-2,0,0,2,2,2,3,3,3,3
1,135,-2,0,0,2,2,2,3,3,3,3,1
1,136,0,0,2,2,2,3,3,3,3,1,1
1,137,0,2,2,2,3,3,3,3,1,1,-1
1,138,2,2,2,3,3,3,3,1,1,-1,-1
1,139,2,2,3,3,3,3,1,1,-1,-1,-3
1,140,2,3,3,3,3,1,1,-1,-1,-3,-2
1,141,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,142,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,143,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,144,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,145,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,146,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
1,147,-1,-1,-3,-2,-3,-3,-3,-2,-2,0,0
1,148,-1,-3,-2,-3,-3,-3,-2,-2,0,0,2
1,149,-3,-2,-3,-3,-3,-2,-2,0,0,2,2
1,150,-2,-3,-3,-3,-2,-2,0,0,2,2,2
1,151,-3,-3,-3,-2,-2,0,0,2,2,2,3
1,152,-3,-3,-2,-2,0,0,2,2,2,3,3
1,153,-3,-2,-2,0,0,2,2,2,3,3,3
1,154,-2,-2,0,0,2,2,2,3,3,3,3
1,155,-2,0,0,2,2,2,3,3,3,3,1
1,156,0,0,2,2,2,3,3,3,3,1,1
1,157,0,2,2,2,3,3,3,3,1,1,-1
1,158,2,2,2,3,3,3,3,1,1,-1,-1
1,159,2,2,3,3,3,3,1,1,-1,-1,-3
1,160,2,3,3,3,3,1,1,-1,-1,-3,-2
1,161,3,3,3,3,1,1,-1,-1,-3,-2,-3
1,162,3,3,3,1,1,-1,-1,-3,-2,-3,-3
1,163,3,3,1,1,-1,-1,-3,-2,-3,-3,-3
1,164,3,1,1,-1,-1,-3,-2,-3,-3,-3,-2
1,165,1,1,-1,-1,-3,-2,-3,-3,-3,-2,-2
1,166,1,-1,-1,-3,-2,-3,-3,-3,-2,-2,0
