Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action to Next Point
1,1,0,3,3,2,1,1
1,2,3,3,2,1,1,0
1,3,3,2,1,1,0,-2
1,4,2,1,1,0,-2,-2
1,5,1,1,0,-2,-2,-2
1,6,1,0,-2,-2,-2,-3
1,7,0,-2,-2,-2,-3,-3
1,8,-2,-2,-2,-3,-3,-3
1,9,-2,-2,-3,-3,-3,-2
1,10,-2,-3,-3,-3,-2,-2
1,11,-3,-3,-3,-2,-2,0
1,12,-3,-3,-2,-2,0,0
1,13,-3,-2,-2,0,0,2
1,14,-2,-2,0,0,2,2
1,15,-2,0,0,2,2,2
1,16,0,0,2,2,2,3
1,17,0,2,2,2,3,3
1,18,2,2,2,3,3,3
1,19,2,2,3,3,3,3
1,20,2,3,3,3,3,1
1,21,3,3,3,3,1,1
1,22,3,3,3,1,1,-1
1,23,3,3,1,1,-1,-1
1,24,3,1,1,-1,-1,-3
1,25,1,1,-1,-1,-3,-2
1,26,1,-1,-1,-3,-2,-3
1,27,-1,-1,-3,-2,-3,-3
1,28,-1,-3,-2,-3,-3,-3
1,29,-3,-2,-3,-3,-3,-2
1,30,-2,-3,-3,-3,-2,-2
1,31,-3,-3,-3,-2,-2,0
1,32,-3,-3,-2,-2,0,0
1,33,-3,-2,-2,0,0,2
1,34,-2,-2,0,0,2,2
1,35,-2,0,0,2,2,2
1,36,0,0,2,2,2,3
1,37,0,2,2,2,3,3
1,38,2,2,2,3,3,3
1,39,2,2,3,3,3,3
1,40,2,3,3,3,3,1
1,41,3,3,3,3,1,1
1,42,3,3,3,1,1,-1
1,43,3,3,1,1,-1,-1
1,44,3,1,1,-1,-1,-3
1,45,1,1,-1,-1,-3,-2
1,46,1,-1,-1,-3,-2,-3
1,47,-1,-1,-3,-2,-3,-3
1,48,-1,-3,-2,-3,-3,-3
1,49,-3,-2,-3,-3,-3,-2
1,50,-2,-3,-3,-3,-2,-2
1,51,-3,-3,-3,-2,-2,0
1,52,-3,-3,-2,-2,0,0
1,53,-3,-2,-2,0,0,2
1,54,-2,-2,0,0,2,2
1,55,-2,0,0,2,2,2
1,56,0,0,2,2,2,3
1,57,0,2,2,2,3,3
1,58,2,2,2,3,3,3
1,59,2,2,3,3,3,3
1,60,2,3,3,3,3,1
1,61,3,3,3,3,1,1
1,62,3,3,3,1,1,-1
1,63,3,3,1,1,-1,-1
1,64,3,1,1,-1,-1,-3
1,65,1,1,-1,-1,-3,-2
1,66,1,-1,-1,-3,-2,-3
1,67,-1,-1,-3,-2,-3,-3
1,68,-1,-3,-2,-3,-3,-3
1,69,-3,-2,-3,-3,-3,-2
1,70,-2,-3,-3,-3,-2,-2
1,71,-3,-3,-3,-2,-2,0
1,72,-3,-3,-2,-2,0,0
1,73,-3,-2,-2,0,0,2
1,74,-2,-2,0,0,2,2
1,75,-2,0,0,2,2,2
1,76,0,0,2,2,2,3
1,77,0,2,2,2,3,3
1,78,2,2,2,3,3,3
1,79,2,2,3,3,3,3
1,80,2,3,3,3,3,1
1,81,3,3,3,3,1,1
1,82,3,3,3,1,1,-1
1,83,3,3,1,1,-1,-1
1,84,3,1,1,-1,-1,-3
1,85,1,1,-1,-1,-3,-2
1,86,1,-1,-1,-3,-2,-3
1,87,-1,-1,-3,-2,-3,-3
1,88,-1,-3,-2,-3,-3,-3
1,89,-3,-2,-3,-3,-3,-2
1,90,-2,-3,-3,-3,-2,-2
1,91,-3,-3,-3,-2,-2,0
1,92,-3,-3,-2,-2,0,0
1,93,-3,-2,-2,0,0,2
1,94,-2,-2,0,0,2,2
1,95,-2,0,0,2,2,2
1,96,0,0,2,2,2,3
1,97,0,2,2,2,3,3
1,98,2,2,2,3,3,3
1,99,2,2,3,3,3,3
1,100,2,3,3,3,3,1
1,101,3,3,3,3,1,1
1,102,3,3,3,1,1,-1
1,103,3,3,1,1,-1,-1
1,104,3,1,1,-1,-1,-3
1,105,1,1,-1,-1,-3,-2
1,106,1,-1,-1,-3,-2,-3
1,107,-1,-1,-3,-2,-3,-3
1,108,-1,-3,-2,-3,-3,-3
1,109,-3,-2,-3,-3,-3,-2
1,110,-2,-3,-3,-3,-2,-2
1,111,-3,-3,-3,-2,-2,0
1,112,-3,-3,-2,-2,0,0
1,113,-3,-2,-2,0,0,2
1,114,-2,-2,0,0,2,2
1,115,-2,0,0,2,2,2
1,116,0,0,2,2,2,3
1,117,0,2,2,2,3,3
1,118,2,2,2,3,3,3
1,119,2,2,3,3,3,3
