Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action to Next Point
1,1,0,3,3,2,1,1,-1,-1
1,2,3,3,2,1,1,-1,-1,-2
1,3,3,2,1,1,-1,-1,-2,-3
1,4,2,1,1,-1,-1,-2,-3,-3
1,5,1,1,-1,-1,-2,-3,-3,-3
1,6,1,-1,-1,-2,-3,-3,-3,-3
1,7,-1,-1,-2,-3,-3,-3,-3,-2
1,8,-1,-2,-3,-3,-3,-3,-2,-1
1,9,-2,-3,-3,-3,-3,-2,-1,-1
1,10,-3,-3,-3,-3,-2,-1,-1,1
1,11,-3,-3,-3,-2,-1,-1,1,1
1,12,-3,-3,-2,-1,-1,1,1,2
1,13,-3,-2,-1,-1,1,1,2,3
1,14,-2,-1,-1,1,1,2,3,3
1,15,-1,-1,1,1,2,3,3,3
1,16,-1,1,1,2,3,3,3,3
1,17,1,1,2,3,3,3,3,2
1,18,1,2,3,3,3,3,2,1
1,19,2,3,3,3,3,2,1,1
1,20,3,3,3,3,2,1,1,-1
1,21,3,3,3,2,1,1,-1,-1
1,22,3,3,2,1,1,-1,-1,-2
1,23,3,2,1,1,-1,-1,-2,-3
1,24,2,1,1,-1,-1,-2,-3,-3
1,25,1,1,-1,-1,-2,-3,-3,-3
1,26,1,-1,-1,-2,-3,-3,-3,-3
1,27,-1,-1,-2,-3,-3,-3,-3,-2
1,28,-1,-2,-3,-3,-3,-3,-2,-1
1,29,-2,-3,-3,-3,-3,-2,-1,-1
1,30,-3,-3,-3,-3,-2,-1,-1,1
1,31,-3,-3,-3,-2,-1,-1,1,1
1,32,-3,-3,-2,-1,-1,1,1,2
1,33,-3,-2,-1,-1,1,1,2,3
1,34,-2,-1,-1,1,1,2,3,3
1,35,-1,-1,1,1,2,3,3,3
1,36,-1,1,1,2,3,3,3,3
1,37,1,1,2,3,3,3,3,2
1,38,1,2,3,3,3,3,2,1
1,39,2,3,3,3,3,2,1,1
1,40,3,3,3,3,2,1,1,-1
1,41,3,3,3,2,1,1,-1,-1
1,42,3,3,2,1,1,-1,-1,-2
1,43,3,2,1,1,-1,-1,-2,-3
1,44,2,1,1,-1,-1,-2,-3,-3
1,45,1,1,-1,-1,-2,-3,-3,-3
1,46,1,-1,-1,-2,-3,-3,-3,-3
1,47,-1,-1,-2,-3,-3,-3,-3,-2
1,48,-1,-2,-3,-3,-3,-3,-2,-1
1,49,-2,-3,-3,-3,-3,-2,-1,-1
1,50,-3,-3,-3,-3,-2,-1,-1,1
1,51,-3,-3,-3,-2,-1,-1,1,1
1,52,-3,-3,-2,-1,-1,1,1,2
1,53,-3,-2,-1,-1,1,1,2,3
1,54,-2,-1,-1,1,1,2,3,3
1,55,-1,-1,1,1,2,3,3,3
1,56,-1,1,1,2,3,3,3,3
1,57,1,1,2,3,3,3,3,2
1,58,1,2,3,3,3,3,2,1
1,59,2,3,3,3,3,2,1,1
1,60,3,3,3,3,2,1,1,-1
1,61,3,3,3,2,1,1,-1,-1
1,62,3,3,2,1,1,-1,-1,-2
