,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
2130,3,3,3,2,1,1,-1,-1,-2,-3,-3
2708,2,3,3,3,3,2,1,1,-1,-1,-2
1398,2,3,3,3,3,2,1,1,-1,-1,-2
3392,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1347,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1705,-1,1,1,2,3,3,3,3,2,1,1
2115,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2099,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
3141,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2157,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
893,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2050,3,3,3,2,1,1,-1,-1,-2,-3,-3
94,-1,-1,1,1,2,3,3,3,3,2,1
1881,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2947,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
434,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1860,3,3,3,2,1,1,-1,-1,-2,-3,-3
1246,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
467,1,2,3,3,3,3,2,1,1,-1,-1
115,-1,1,1,2,3,3,3,3,2,1,1
1490,3,3,3,2,1,1,-1,-1,-2,-3,-3
897,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1922,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
862,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1697,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2650,3,3,3,2,1,1,-1,-1,-2,-3,-3
399,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1642,-3,-2,-1,-1,1,1,2,3,3,3,3
3105,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2505,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3394,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
64,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2150,3,3,3,2,1,1,-1,-1,-2,-3,-3
439,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1784,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1127,1,2,3,3,3,3,2,1,1,-1,-1
63,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3312,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1753,-2,-1,-1,1,1,2,3,3,3,3,2
2380,3,3,3,2,1,1,-1,-1,-2,-3,-3
1653,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
682,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1339,3,3,3,3,2,1,1,-1,-1,-2,-3
1410,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1041,-3,-3,-2,-1,-1,1,1,2,3,3,3
2978,2,3,3,3,3,2,1,1,-1,-1,-2
356,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
198,2,3,3,3,3,2,1,1,-1,-1,-2
1158,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
3110,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2657,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
285,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3213,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2418,2,3,3,3,3,2,1,1,-1,-1,-2
2211,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2710,3,3,3,2,1,1,-1,-1,-2,-3,-3
2792,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3182,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2927,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
552,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
604,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
105,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
879,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
696,1,1,2,3,3,3,3,2,1,1,-1
2476,1,1,2,3,3,3,3,2,1,1,-1
3467,1,2,3,3,3,3,2,1,1,-1,-1
2272,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3303,-2,-1,-1,1,1,2,3,3,3,3,2
1875,-1,1,1,2,3,3,3,3,2,1,1
3109,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
3344,-1,-1,1,1,2,3,3,3,3,2,1
88,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
