Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor),Meeting Friends/Family (Outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and Bars,Sports and Leisure,Hospitals/ Care and Nursing Home Visits,Non-Essential Shops,School Closure,Temperature,Humidity
1,2088,242591,81,7249,2088,242591,3,3,3,2,3,3,3,3,1,1,1,2
1,2055,240503,77,7168,2055,240503,3,3,3,2,3,3,3,3,1,1,1,2
1,2718,238448,85,7091,2718,238448,3,3,3,2,3,3,3,3,1,1,0,2
1,2801,235730,84,7006,2801,235730,3,3,3,2,3,3,3,3,1,1,1,2
1,2830,232929,96,6922,2830,232929,3,3,3,2,3,3,3,3,1,1,1,2
1,3251,230099,75,6826,3251,230099,3,3,3,2,3,3,3,3,1,1,1,2
1,3530,226848,80,6751,3530,226848,3,3,3,2,3,3,3,3,1,1,1,2
1,2157,223318,51,6671,2157,223318,3,3,3,2,3,3,3,3,1,1,1,2
1,2302,221161,83,6620,2302,221161,3,3,3,2,3,3,3,3,1,1,1,2
1,2799,218859,59,6537,2799,218859,3,3,3,2,3,3,3,3,1,1,1,2
1,2967,216060,50,6478,2967,216060,3,3,3,2,3,3,3,3,1,1,0,2
1,3189,213093,57,6428,3189,213093,3,3,3,2,3,3,3,3,1,1,1,2
1,3496,209904,64,6371,3496,209904,3,3,3,2,3,3,3,3,1,1,1,2
1,4282,206408,54,6307,4282,206408,3,3,3,2,3,3,3,3,1,1,1,2
1,2994,202126,44,6253,2994,202126,3,2,2,2,3,3,3,3,0,1,1,2
1,3402,199132,55,6209,3402,199132,3,2,2,2,3,3,3,3,0,1,1,2
1,1661,195730,45,6154,1661,195730,3,2,2,2,3,3,3,3,0,1,1,2
1,2974,194069,51,6109,2974,194069,3,2,2,2,3,3,3,3,0,1,0,2
1,3613,191095,55,6058,3613,191095,3,2,2,2,3,3,3,3,0,1,1,2
1,3962,187482,46,6003,3962,187482,3,2,2,2,3,3,3,3,0,1,1,2
1,2490,183520,31,5957,2490,183520,3,2,2,2,3,3,3,3,0,1,1,2
1,2392,181030,47,5926,2392,181030,3,2,2,2,3,3,3,3,0,1,1,2
1,1860,178638,49,5879,1860,178638,3,2,2,2,3,3,3,3,0,1,1,2
1,695,176778,44,5830,695,176778,3,2,2,2,3,3,3,3,0,1,1,1
1,1433,176083,33,5786,1433,176083,3,2,2,2,3,3,3,3,0,1,1,2
1,2010,174650,42,5753,2010,174650,3,2,2,2,3,3,3,3,0,1,1,2
1,2074,172640,48,5711,2074,172640,3,2,2,2,3,3,3,3,0,1,1,2
1,2390,170566,56,5663,2390,170566,3,2,2,2,3,3,3,3,0,1,1,2
1,1693,168176,48,5607,1693,168176,3,2,2,2,3,3,3,3,0,1,1,2
1,1333,166483,36,5559,1333,166483,3,2,2,2,3,3,3,2,0,0,1,2
1,1705,165150,59,5523,1705,165150,3,2,2,2,3,3,3,2,0,0,2,2
1,1680,163445,51,5464,1680,163445,3,2,2,2,3,3,3,2,0,0,1,2
1,1684,161765,41,5413,1684,161765,3,2,2,2,3,3,3,2,0,0,1,2
1,1720,160081,43,5372,1720,160081,3,2,2,2,3,3,3,2,0,0,1,2
1,2041,158361,56,5329,2041,158361,3,2,2,2,3,3,3,2,0,0,1,2
1,1045,156320,42,5273,1045,156320,3,2,2,2,3,3,3,2,0,0,1,2
1,1029,155275,52,5231,1029,155275,3,2,2,2,3,3,3,2,0,0,1,2
1,1432,154246,46,5179,1432,154246,3,2,2,2,3,3,3,2,0,0,1,2
1,1435,152814,41,5133,1435,152814,3,2,2,2,3,3,3,2,0,0,1,2
1,1413,151379,43,5092,1413,151379,3,2,2,2,3,3,3,2,0,0,1,2
1,1408,149966,33,5049,1408,149966,3,2,2,2,3,3,3,2,0,0,1,2
1,1567,148558,49,5016,1567,148558,3,2,2,2,3,3,3,2,0,0,1,2
1,955,146991,47,4967,955,146991,3,2,2,2,3,3,3,2,0,0,1,2
1,857,146036,44,4920,857,146036,3,2,2,2,3,3,3,2,0,0,1,2
1,1098,145179,50,4876,1098,145179,3,2,2,2,3,3,3,2,0,0,1,2
1,1239,144081,50,4826,1239,144081,3,2,2,2,3,3,3,2,0,0,1,2
1,1259,142842,49,4776,1259,142842,3,2,2,2,3,3,3,2,0,0,1,2
1,1271,141583,57,4727,1271,141583,3,3,3,2,3,3,3,2,1,0,1,1
1,1444,140261,44,4662,1444,140261,3,3,3,2,3,3,3,2,1,0,1,2
1,795,138817,45,4618,795,138817,3,3,3,2,3,3,3,2,1,0,1,2
1,873,138029,52,4573,873,138029,3,3,3,2,3,3,3,2,1,0,1,2
1,1122,137156,50,4521,1122,137156,3,3,3,2,3,3,3,2,1,0,1,2
1,1165,136034,51,4471,1165,136034,3,3,3,2,3,3,3,2,1,0,1,2
1,1343,134869,48,4420,1343,134869,3,3,3,2,3,3,3,2,1,0,1,2
1,1458,133526,50,4372,1458,133526,3,3,3,2,3,3,3,2,1,0,1,2
1,1629,132068,50,4322,1629,132068,3,3,3,2,3,3,3,2,1,0,1,2
1,1010,130439,56,4272,1010,130439,3,3,3,2,3,3,3,2,1,0,1,2
1,1095,129429,40,4216,1095,129429,3,3,3,2,3,3,3,2,1,0,2,2
1,1471,128334,44,4176,1471,128334,3,3,3,2,3,3,3,2,1,0,1,2
1,1495,126863,49,4132,1495,126863,3,3,3,2,3,3,3,2,1,0,1,1
1,1833,125368,56,4083,1833,125368,3,3,3,2,3,3,3,2,1,0,2,2
1,2109,123535,44,4027,2109,123535,3,3,3,2,3,3,3,2,1,0,2,2
1,2579,121426,46,3983,2579,121426,3,3,3,2,3,3,3,2,1,0,1,2
1,1409,118847,43,3937,1409,118847,3,3,3,2,3,3,3,2,1,0,1,2
1,1709,117438,45,3894,1709,117438,3,3,3,2,3,3,3,2,1,0,2,2
1,2148,115729,39,3849,2148,115729,3,3,3,2,3,3,3,2,1,0,1,2
1,2169,113581,43,3810,2169,113581,3,3,3,2,3,3,3,2,1,0,1,2
1,2650,111412,29,3767,2650,111412,3,3,3,2,3,3,3,2,1,0,2,2
1,2658,108762,35,3738,2658,108762,3,3,3,2,3,3,3,2,1,0,2,2
1,2993,106104,50,3703,2993,106104,3,3,3,2,3,3,3,2,1,0,2,2
1,2016,103111,44,3653,2016,103111,3,3,3,2,3,3,3,2,1,0,1,2
1,1751,101095,32,3609,1751,101095,3,3,3,2,3,3,3,2,1,0,1,2
1,2293,99344,33,3577,2293,99344,3,3,3,2,3,3,3,2,1,0,1,2
1,2197,97051,31,3544,2197,97051,2,2,1,2,2,2,1,2,0,1,1,2
1,2146,94854,36,3513,2146,94854,2,2,1,2,2,2,1,2,0,1,1,2
1,2360,92708,24,3477,2360,92708,2,2,1,2,2,2,1,2,0,1,1,1
1,3245,90348,36,3453,3245,90348,2,2,1,2,2,2,1,2,0,1,2,1
1,1230,87103,31,3417,1230,87103,2,2,1,2,2,2,1,2,0,1,2,2
1,1502,85862,30,3386,1502,85862,2,2,1,2,2,2,1,2,0,1,2,2
1,2060,84360,28,3356,2060,84360,2,2,1,2,2,2,1,2,0,1,2,2
1,2104,82300,20,3328,2104,82300,2,2,1,2,2,2,1,2,0,1,2,2
1,2142,80196,28,3308,2142,80196,2,2,1,2,2,2,1,2,0,1,1,2
1,2048,78054,24,3280,2048,78054,2,2,1,2,2,2,1,2,0,1,1,2
1,2353,76006,21,3256,2353,76006,2,2,1,2,2,2,1,2,0,1,1,2
1,1476,73653,22,3235,1476,73653,2,2,1,2,2,2,1,2,0,1,1,2
1,1460,72177,22,3213,1460,72177,2,2,1,2,2,2,1,2,0,1,1,2
1,1842,70717,22,3191,1842,70717,2,2,1,2,2,2,2,2,0,1,1,2
1,2124,68875,23,3169,2124,68875,2,2,1,2,2,2,2,2,0,1,1,2
1,2119,66751,12,3146,2119,66751,2,2,1,2,2,2,2,2,0,1,2,2
1,2124,64632,17,3134,2124,64632,2,2,1,2,2,2,2,2,0,1,2,2
1,2381,62508,9,3117,2381,62508,2,2,1,2,2,2,2,2,0,1,2,2
1,1082,60127,6,3108,1082,60127,2,2,1,2,2,2,2,2,0,0,1,2
1,1206,59045,17,3102,1206,59045,2,2,1,2,2,2,2,2,0,0,1,2
1,1292,57839,9,3085,1292,57839,2,2,1,2,2,2,2,2,0,0,1,2
1,1430,56547,14,3076,1430,56547,2,2,1,2,2,2,2,2,0,0,1,2
1,1795,55117,10,3062,1795,55117,2,2,1,2,2,2,2,2,0,0,1,2
1,1575,53322,10,3052,1575,53322,2,2,1,2,2,2,2,2,0,0,1,2
1,1767,51747,6,3042,1767,51747,2,2,1,2,2,2,2,2,0,0,1,2
1,1105,49980,7,3036,1105,49980,2,2,1,2,2,2,2,2,0,0,1,1
1,1127,48875,3,3029,1127,48875,2,2,1,2,2,2,2,2,0,0,1,2
1,1439,47748,6,3026,1439,47748,2,2,1,2,2,2,2,2,0,0,1,2
1,1935,46309,2,3020,1935,46309,2,2,1,2,2,2,2,2,0,0,2,2
1,1701,44374,5,3018,1701,44374,2,2,1,2,2,2,2,2,0,0,2,1
1,1502,42673,2,3013,1502,42673,2,2,1,2,2,2,2,2,0,0,2,2
1,1569,41171,3,3011,1569,41171,2,2,1,2,2,2,2,2,0,0,2,2
1,1158,39602,4,3008,1158,39602,2,2,1,2,2,2,2,2,0,0,2,2
1,1020,38444,7,3004,1020,38444,2,2,1,2,2,2,2,2,0,0,2,2
1,1201,37424,1,2997,1201,37424,2,2,1,2,2,2,2,2,0,0,2,2
1,1046,36223,2,2996,1046,36223,2,2,1,2,2,2,2,2,0,0,1,2
