Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity
1,2055,240514,77,7168,2055,240503,56,48,9,56,48,0,56,9,0,56,48,0,56,18,9,56,18,9,56,9,9,51,50,56,48,3,1,2
1,2718,238227,85,7091,2718,238448,55,48,9,55,48,0,55,9,0,55,48,0,55,18,9,55,18,9,55,9,9,51,50,55,48,3,0,2
1,2801,235702,84,7006,2801,235730,55,48,9,55,48,0,55,9,0,55,48,0,55,18,9,55,18,9,55,9,9,50,50,55,48,3,1,2
1,2830,232919,96,6922,2830,232929,55,48,9,55,48,0,55,9,0,55,48,0,55,18,9,55,18,9,55,9,9,50,50,55,48,3,1,2
1,3251,229958,75,6826,3251,230099,55,48,9,55,48,0,55,9,0,55,48,0,55,18,9,55,18,9,55,9,9,50,50,55,48,3,1,2
1,3530,226755,80,6751,3530,226848,55,48,9,55,48,0,55,9,0,55,48,0,55,18,9,55,18,9,55,9,9,50,50,55,48,3,1,2
1,2157,223775,51,6671,2157,223318,55,48,9,55,48,0,55,9,0,55,48,0,55,18,9,55,18,9,55,9,9,50,49,55,48,3,1,2
1,2302,221112,83,6620,2302,221161,54,48,9,54,48,0,54,9,0,54,48,0,54,18,9,54,18,9,54,9,9,50,49,54,48,3,1,2
1,2799,218693,59,6537,2799,218859,54,48,9,54,48,0,54,9,0,54,48,0,54,18,9,54,18,9,54,9,9,49,49,54,48,3,1,2
1,2967,216004,50,6478,2967,216060,54,48,9,54,48,0,54,9,0,54,48,0,54,15,9,54,15,9,54,9,9,49,49,54,48,3,0,2
1,3189,213019,57,6428,3189,213093,54,48,9,54,48,0,54,9,0,54,48,0,54,15,9,54,15,9,54,9,9,49,49,54,48,0,1,2
1,3496,209801,64,6371,3496,209904,54,48,9,54,48,0,54,9,0,54,48,0,54,15,9,54,15,9,54,9,9,49,49,54,48,0,1,2
1,4282,206146,54,6307,4282,206408,54,45,9,54,45,0,54,9,0,54,45,0,54,15,9,54,15,9,54,9,9,49,48,54,45,0,1,2
1,2994,202555,44,6253,2994,202126,53,45,9,53,45,0,53,9,0,53,45,0,53,15,9,53,15,9,53,15,9,49,48,53,45,0,1,2
1,3402,198996,55,6209,3402,199132,53,45,9,53,45,0,53,9,0,53,45,0,53,15,9,53,15,9,53,15,9,48,48,53,45,0,1,2
1,1661,196310,45,6154,1661,195730,53,45,9,53,45,0,53,9,0,53,45,0,53,15,9,53,15,9,53,15,9,48,48,53,45,0,1,2
1,2974,193631,51,6109,2974,194069,53,45,9,53,45,0,53,9,0,53,45,0,53,15,9,53,15,9,53,15,9,48,48,53,45,0,0,2
1,3613,190882,55,6058,3613,191095,53,45,9,53,45,0,53,9,0,53,45,0,53,15,9,53,15,9,53,15,9,48,48,53,45,0,1,2
1,3962,187365,46,6003,3962,187482,53,45,6,53,45,0,53,6,0,53,45,0,53,15,6,53,15,6,53,6,6,48,47,53,45,0,1,2
1,2490,184010,31,5957,2490,183520,52,45,6,52,45,0,52,6,0,52,45,0,52,15,6,52,15,6,52,6,6,48,47,52,45,0,1,2
1,2392,181062,47,5926,2392,181030,52,45,6,52,45,0,52,6,0,52,45,0,52,15,6,52,15,6,52,6,6,47,47,52,45,0,1,2
1,1860,178815,49,5879,1860,178638,52,45,6,52,45,0,52,6,0,52,45,0,52,15,6,52,15,6,52,6,6,47,47,52,45,0,1,2
1,695,177166,44,5830,695,176778,52,45,6,52,45,0,52,6,0,52,45,0,52,15,6,52,15,6,52,6,6,47,47,52,45,0,1,1
1,1433,175837,33,5786,1433,176083,52,45,6,52,45,0,52,6,0,52,45,0,52,15,6,52,15,6,52,6,6,47,47,52,45,0,1,2
1,2010,174457,42,5753,2010,174650,52,45,6,52,45,0,52,6,0,52,45,0,52,15,6,52,15,6,52,6,6,47,46,52,45,0,1,2
1,2074,172618,48,5711,2074,172640,51,45,6,51,45,0,51,6,0,51,45,0,51,15,6,51,15,6,51,6,6,47,46,51,45,0,1,2
1,2390,170460,56,5663,2390,170566,51,45,6,51,45,0,51,6,0,51,45,0,51,15,6,51,15,6,51,6,6,46,46,51,45,0,1,2
1,1693,168408,48,5607,1693,168176,51,45,6,51,45,0,51,6,0,51,45,0,51,12,6,51,12,6,51,6,6,46,46,51,45,0,1,2
1,1333,166603,36,5559,1333,166483,51,45,6,51,45,0,51,6,0,51,45,0,51,12,6,51,12,6,51,6,6,46,46,51,45,0,1,2
1,1705,165026,59,5523,1705,165150,51,45,6,51,45,0,51,6,0,51,45,0,51,12,6,51,12,6,51,6,6,46,46,51,45,0,2,2
1,1680,163453,51,5464,1680,163445,51,42,6,51,42,0,51,6,0,51,42,0,51,12,6,51,12,6,51,6,6,46,45,51,42,0,1,2
1,1684,161763,41,5413,1684,161765,50,42,6,50,42,0,50,6,0,50,42,0,50,12,6,50,12,6,50,12,6,46,45,50,42,0,1,2
1,1720,160069,43,5372,1720,160081,50,42,6,50,42,0,50,6,0,50,42,0,50,12,6,50,12,6,50,12,6,45,45,50,42,0,1,2
1,2041,158254,56,5329,2041,158361,50,42,6,50,42,0,50,6,0,50,42,0,50,12,6,50,12,6,50,12,6,45,45,50,42,0,1,2
1,1045,156652,42,5273,1045,156320,50,42,6,50,42,0,50,6,0,50,42,0,50,12,6,50,12,6,50,12,6,45,45,50,42,0,1,2
1,1029,155280,52,5231,1029,155275,50,42,6,50,42,0,50,6,0,50,42,0,50,12,6,50,12,6,50,12,6,45,45,50,42,0,1,2
1,1432,154111,46,5179,1432,154246,50,42,3,50,42,0,50,3,0,50,42,0,50,12,3,50,12,3,50,3,3,45,44,50,42,0,1,2
1,1435,152813,41,5133,1435,152814,49,42,3,49,42,0,49,3,0,49,42,0,49,12,3,49,12,3,49,3,3,45,44,49,42,0,1,2
1,1413,151386,43,5092,1413,151379,49,42,3,49,42,0,49,3,0,49,42,0,49,12,3,49,12,3,49,3,3,44,44,49,42,0,1,2
1,1408,149967,33,5049,1408,149966,49,42,3,49,42,0,49,3,0,49,42,0,49,12,3,49,12,3,49,3,3,44,44,49,42,0,1,2
1,1567,148505,49,5016,1567,148558,49,42,3,49,42,0,49,3,0,49,42,0,49,12,3,49,12,3,49,3,3,44,44,49,42,0,1,2
1,955,147195,47,4967,955,146991,49,42,3,49,42,0,49,3,0,49,42,0,49,12,3,49,12,3,49,3,3,44,44,49,42,0,1,2
1,857,146068,44,4920,857,146036,49,42,3,49,42,0,49,3,0,49,42,0,49,12,3,49,12,3,49,3,3,44,43,49,42,0,1,2
1,1098,145098,50,4876,1098,145179,48,42,3,48,42,0,48,3,0,48,42,0,48,12,3,48,12,3,48,3,3,44,43,48,42,0,1,2
1,1239,144034,50,4826,1239,144081,48,42,3,48,42,0,48,3,0,48,42,0,48,12,3,48,12,3,48,3,3,43,43,48,42,0,1,2
1,1259,142835,49,4776,1259,142842,48,42,3,48,42,0,48,3,0,48,42,0,48,9,3,48,9,3,48,3,3,43,43,48,42,0,1,2
