Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity,Rt
1,2525,238227,85,7091,2718,238448,55,50,12,55,50,2,55,12,2,55,50,0,55,20,12,55,20,12,55,12,12,5,2,55,50,5,0,2,0.859696204941786
1,2783,235702,84,7006,2801,235730,55,50,12,55,50,2,55,12,2,55,50,0,55,20,12,55,20,12,55,12,12,5,2,55,50,5,1,2,0.9455335719211235
1,2961,232919,96,6922,2830,232929,55,50,12,55,50,2,55,12,2,55,50,0,55,19,12,55,19,12,55,12,12,5,2,55,50,5,1,2,1.0056918579670722
1,3203,229958,75,6826,3251,230099,55,50,12,55,50,2,55,12,2,55,50,0,55,19,12,55,19,12,55,12,12,4,2,55,50,4,1,2,1.0056918579670722
1,2980,226755,80,6751,3530,226848,55,50,12,55,50,2,55,12,2,55,50,0,55,19,12,55,19,12,55,12,12,4,2,55,50,4,1,2,1.0006135426138465
1,2663,223775,51,6671,2157,223318,55,49,11,55,49,2,55,11,2,55,49,0,55,19,11,55,19,11,55,11,11,4,2,55,49,4,1,2,0.8840564054641878
1,2419,221112,83,6620,2302,221161,54,49,11,54,49,1,54,11,1,54,49,0,54,19,11,54,19,11,54,11,11,4,1,54,49,4,1,2,0.8840564054641878
1,2689,218693,59,6537,2799,218859,54,49,11,54,49,1,54,11,1,54,49,0,54,19,11,54,19,11,54,11,11,4,1,54,49,4,1,2,0.8967405973944469
1,2985,216004,50,6478,2967,216060,54,49,11,54,49,1,54,11,1,54,49,0,54,18,11,54,18,11,54,11,11,4,1,54,49,4,0,2,1.0203197633697547
1,3218,213019,57,6428,3189,213093,54,49,11,54,49,1,54,11,1,54,49,0,54,18,11,54,18,11,54,11,11,3,1,54,49,3,1,2,1.1419764912593298
1,3655,209801,64,6371,3496,209904,54,49,11,54,49,1,54,11,1,54,49,0,54,18,11,54,18,11,54,11,11,3,1,54,49,3,1,2,1.3598938190464243
1,3591,206146,54,6307,4282,206408,54,48,10,54,48,1,54,10,1,54,48,0,54,18,10,54,18,10,54,10,10,3,1,54,48,3,1,2,1.3997700233955024
1,3559,202555,44,6253,2994,202126,53,48,10,53,48,0,53,10,0,53,48,0,53,18,10,53,18,10,53,10,10,3,0,53,48,3,1,2,1.3997700233955024
1,2686,198996,55,6209,3402,199132,53,48,10,53,48,0,53,10,0,53,48,0,53,18,10,53,18,10,53,10,10,3,0,53,48,3,1,2,1.1990047128768802
1,2679,196310,45,6154,1661,195730,53,48,10,53,48,0,53,10,0,53,48,0,53,17,10,53,17,10,53,10,10,3,0,53,48,3,1,2,1.1990047128768802
1,2749,193631,51,6109,2974,194069,53,48,10,53,48,0,53,10,0,53,48,0,53,17,10,53,17,10,53,10,10,2,0,53,48,2,0,2,1.3219705928491472
1,3517,190882,55,6058,3613,191095,53,48,10,53,48,0,53,10,0,53,48,0,53,17,10,53,17,10,53,10,10,2,0,53,48,2,1,2,1.844308516211812
1,3355,187365,46,6003,3962,187482,53,47,9,53,47,0,53,9,0,53,47,0,53,17,9,53,17,9,53,9,9,2,0,53,47,2,1,2,1.844308516211812
1,2948,184010,31,5957,2490,183520,52,47,9,52,47,0,52,9,0,52,47,0,52,17,9,52,17,9,52,9,9,2,0,52,47,2,1,2,1.7287266907222532
1,2247,181062,47,5926,2392,181030,52,47,9,52,47,0,52,9,0,52,47,0,52,17,9,52,17,9,52,9,9,2,0,52,47,2,1,2,1.3295426301943567
1,1649,178815,49,5879,1860,178638,52,47,9,52,47,0,52,9,0,52,47,0,52,16,9,52,16,9,52,9,9,2,0,52,47,2,1,2,0.96814728315445
1,1329,177166,44,5830,695,176778,52,47,9,52,47,0,52,9,0,52,47,0,52,16,9,52,16,9,52,9,9,1,0,52,47,1,1,1,0.8158156916138067
1,1380,175837,33,5786,1433,176083,52,47,9,52,47,0,52,9,0,52,47,0,52,16,9,52,16,9,52,9,9,1,0,52,47,1,1,2,0.8158156916138067
1,1839,174457,42,5753,2010,174650,52,46,8,52,46,0,52,8,0,52,46,0,52,16,8,52,16,8,52,8,8,1,0,52,46,1,1,2,1.1215518501223358
1,2158,172618,48,5711,2074,172640,51,46,8,51,46,0,51,8,0,51,46,0,51,16,8,51,16,8,51,8,8,1,0,51,46,1,1,2,1.3383284409599934
1,2052,170460,56,5663,2390,170566,51,46,8,51,46,0,51,8,0,51,46,0,51,16,8,51,16,8,51,8,8,1,0,51,46,1,1,2,1.3383284409599934
1,1805,168408,48,5607,1693,168176,51,46,8,51,46,0,51,8,0,51,46,0,51,15,8,51,15,8,51,8,8,1,0,51,46,1,1,2,1.2032306655776797
1,1577,166603,36,5559,1333,166483,51,46,8,51,46,0,51,8,0,51,46,0,51,15,8,51,15,8,51,8,8,0,0,51,46,0,1,2,1.0989974749045373
1,1573,165026,59,5523,1705,165150,51,46,8,51,46,0,51,8,0,51,46,0,51,15,8,51,15,8,51,8,8,0,0,51,46,0,2,2,1.0989974749045373
1,1690,163453,51,5464,1680,163445,51,45,7,51,45,0,51,7,0,51,45,0,51,15,7,51,15,7,51,7,7,0,0,51,45,0,1,2,1.2210821528441977
1,1694,161763,41,5413,1684,161765,50,45,7,50,45,0,50,7,0,50,45,0,50,15,7,50,15,7,50,7,7,0,0,50,45,0,1,2,1.2663321838840378
1,1815,160069,43,5372,1720,160081,50,45,7,50,45,0,50,7,0,50,45,0,50,15,7,50,15,7,50,7,7,0,0,50,45,0,1,2,1.2663321838840378
1,1602,158254,56,5329,2041,158361,50,45,7,50,45,0,50,7,0,50,45,0,50,14,7,50,14,7,50,7,7,0,0,50,45,0,1,2,1.2553935987582558
1,1372,156652,42,5273,1045,156320,50,45,7,50,45,0,50,7,0,50,45,0,50,14,7,50,14,7,50,7,7,0,0,50,45,0,1,2,1.083934083987993
1,1169,155280,52,5231,1029,155275,50,45,7,50,45,0,50,7,0,50,45,0,50,14,7,50,14,7,50,7,7,0,0,50,45,0,1,2,1.0516184895091576
1,1298,154111,46,5179,1432,154246,50,44,6,50,44,0,50,6,0,50,44,0,50,14,6,50,14,6,50,6,6,0,0,50,44,0,1,2,1.0516184895091576
1,1427,152813,41,5133,1435,152814,49,44,6,49,44,0,49,6,0,49,44,0,49,14,6,49,14,6,49,6,6,0,0,49,44,0,1,2,1.1807601011738968
1,1419,151386,43,5092,1413,151379,49,44,6,49,44,0,49,6,0,49,44,0,49,14,6,49,14,6,49,6,6,0,0,49,44,0,1,2,1.1937625904998357
1,1462,149967,33,5049,1408,149966,49,44,6,49,44,0,49,6,0,49,44,0,49,13,6,49,13,6,49,6,6,0,0,49,44,0,1,2,1.1937625904998357
1,1310,148505,49,5016,1567,148558,49,44,6,49,44,0,49,6,0,49,44,0,49,13,6,49,13,6,49,6,6,0,0,49,44,0,1,2,1.1037464182582808
1,1127,147195,47,4967,955,146991,49,44,6,49,44,0,49,6,0,49,44,0,49,13,6,49,13,6,49,6,6,0,0,49,44,0,1,2,0.933829598733242
1,970,146068,44,4920,857,146036,49,43,5,49,43,0,49,5,0,49,43,0,49,13,5,49,13,5,49,5,5,0,0,49,43,0,1,2,0.8544029311854382
1,1064,145098,50,4876,1098,145179,48,43,5,48,43,0,48,5,0,48,43,0,48,13,5,48,13,5,48,5,5,0,0,48,43,0,1,2,0.8544029311854382
1,1199,144034,50,4826,1239,144081,48,43,5,48,43,0,48,5,0,48,43,0,48,13,5,48,13,5,48,5,5,0,0,48,43,0,1,2,0.9531734646453623
