Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity,Rt
12,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,1,2,1
12,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,1,2,1
12,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,1,1,1
12,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,1,2,1
12,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,1,2,1
12,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,1,2,1
12,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,1,2,1
12,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,1,2,1
12,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,1,2,1
12,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,1,2,1
12,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,1,0,4,0,0,1,1,1
12,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,1,0,4,0,0,1,1,1
12,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,1,0,4,0,0,1,1,1
12,0,0,0,0,0,0,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,1,1,5,1,1,1,1,1
12,0,0,0,0,0,0,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,1,1,5,1,1,1,1,1
12,0,0,0,0,0,0,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,1,1,5,1,1,1,1,1
12,0,0,0,0,0,0,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,2,1,5,1,1,1,1,1
12,0,0,0,0,0,0,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,2,1,5,1,1,1,1,1
12,0,0,0,0,0,0,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,2,1,5,1,1,1,1,1
12,0,0,1,0,0,0,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,2,2,6,2,2,1,1,1
12,0,0,0,0,0,0,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,2,2,6,2,2,1,1,1
12,0,0,0,0,0,0,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,2,2,6,2,2,1,1,1
12,0,0,1,0,0,0,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,3,2,6,2,2,1,1,1
12,0,0,1,0,0,0,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,3,2,6,2,2,1,2,1
12,0,0,1,0,0,0,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,3,2,6,2,2,1,2,1
12,0,0,1,0,0,0,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,3,3,7,3,3,1,1,1
12,0,0,1,0,0,0,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3,3,3,7,3,3,2,1,1
