Total errors 6398

09/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/11/2020 | Non-essential shops                      | East Midlands
08/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/11/2020 | Non-essential shops                      | East Midlands
07/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
07/11/2020 | Non-essential shops                      | East Midlands
06/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
06/11/2020 | Non-essential shops                      | East Midlands
05/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
05/11/2020 | Non-essential shops                      | East Midlands
04/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
04/11/2020 | Non-essential shops                      | East Midlands
03/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
03/11/2020 | Non-essential shops                      | East Midlands
02/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
02/11/2020 | Non-essential shops                      | East Midlands
01/11/2020 | Meeting Friends/Family (Indoor)          | East Midlands
01/11/2020 | Non-essential shops                      | East Midlands
31/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
31/10/2020 | Non-essential shops                      | East Midlands
30/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
30/10/2020 | Non-essential shops                      | East Midlands
29/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
29/10/2020 | Non-essential shops                      | East Midlands
28/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
28/10/2020 | Non-essential shops                      | East Midlands
27/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
27/10/2020 | Non-essential shops                      | East Midlands
26/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
26/10/2020 | Non-essential shops                      | East Midlands
25/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
25/10/2020 | Non-essential shops                      | East Midlands
24/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
24/10/2020 | Non-essential shops                      | East Midlands
23/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
23/10/2020 | Non-essential shops                      | East Midlands
22/10/2020 | Meeting Friends/Family (Indoor)          | East Midlands
22/10/2020 | Non-essential shops                      | East Midlands
