Total errors 6402

19/11/2020 | Regions                                  | Blaenau Gwent
18/11/2020 | Regions                                  | Blaenau Gwent
17/11/2020 | Regions                                  | Blaenau Gwent
16/11/2020 | Regions                                  | Blaenau Gwent
15/11/2020 | Regions                                  | Blaenau Gwent
14/11/2020 | Regions                                  | Blaenau Gwent
13/11/2020 | Regions                                  | Blaenau Gwent
12/11/2020 | Regions                                  | Blaenau Gwent
11/11/2020 | Regions                                  | Blaenau Gwent
10/11/2020 | Regions                                  | Blaenau Gwent
09/11/2020 | Regions                                  | Blaenau Gwent
08/11/2020 | Regions                                  | Blaenau Gwent
07/11/2020 | Regions                                  | Blaenau Gwent
06/11/2020 | Regions                                  | Blaenau Gwent
05/11/2020 | Regions                                  | Blaenau Gwent
04/11/2020 | Regions                                  | Blaenau Gwent
03/11/2020 | Regions                                  | Blaenau Gwent
02/11/2020 | Regions                                  | Blaenau Gwent
01/11/2020 | Regions                                  | Blaenau Gwent
31/10/2020 | Regions                                  | Blaenau Gwent
30/10/2020 | Regions                                  | Blaenau Gwent
29/10/2020 | Regions                                  | Blaenau Gwent
28/10/2020 | Regions                                  | Blaenau Gwent
27/10/2020 | Regions                                  | Blaenau Gwent
26/10/2020 | Regions                                  | Blaenau Gwent
25/10/2020 | Regions                                  | Blaenau Gwent
24/10/2020 | Regions                                  | Blaenau Gwent
23/10/2020 | Regions                                  | Blaenau Gwent
22/10/2020 | Regions                                  | Blaenau Gwent
21/10/2020 | Regions                                  | Blaenau Gwent
20/10/2020 | Regions                                  | Blaenau Gwent
19/10/2020 | Regions                                  | Blaenau Gwent
18/10/2020 | Regions                                  | Blaenau Gwent
17/10/2020 | Regions                                  | Blaenau Gwent
16/10/2020 | Regions                                  | Blaenau Gwent
15/10/2020 | Regions                                  | Blaenau Gwent
14/10/2020 | Regions                                  | Blaenau Gwent
13/10/2020 | Regions                                  | Blaenau Gwent
12/10/2020 | Regions                                  | Blaenau Gwent
11/10/2020 | Regions                                  | Blaenau Gwent
10/10/2020 | Regions                                  | Blaenau Gwent
09/10/2020 | Regions                                  | Blaenau Gwent
08/10/2020 | Regions                                  | Blaenau Gwent
07/10/2020 | Regions                                  | Blaenau Gwent
06/10/2020 | Regions                                  | Blaenau Gwent
05/10/2020 | Regions                                  | Blaenau Gwent
04/10/2020 | Regions                                  | Blaenau Gwent
03/10/2020 | Regions                                  | Blaenau Gwent
02/10/2020 | Regions                                  | Blaenau Gwent
01/10/2020 | Regions                                  | Blaenau Gwent
30/09/2020 | Regions                                  | Blaenau Gwent
29/09/2020 | Regions                                  | Blaenau Gwent
28/09/2020 | Regions                                  | Blaenau Gwent
27/09/2020 | Regions                                  | Blaenau Gwent
26/09/2020 | Regions                                  | Blaenau Gwent
25/09/2020 | Regions                                  | Blaenau Gwent
24/09/2020 | Regions                                  | Blaenau Gwent
23/09/2020 | Regions                                  | Blaenau Gwent
22/09/2020 | Regions                                  | Blaenau Gwent
21/09/2020 | Regions                                  | Blaenau Gwent
20/09/2020 | Regions                                  | Blaenau Gwent
19/09/2020 | Regions                                  | Blaenau Gwent
18/09/2020 | Regions                                  | Blaenau Gwent
17/09/2020 | Regions                                  | Blaenau Gwent
16/09/2020 | Regions                                  | Blaenau Gwent
15/09/2020 | Regions                                  | Blaenau Gwent
14/09/2020 | Regions                                  | Blaenau Gwent
13/09/2020 | Regions                                  | Blaenau Gwent
12/09/2020 | Regions                                  | Blaenau Gwent
11/09/2020 | Regions                                  | Blaenau Gwent
10/09/2020 | Regions                                  | Blaenau Gwent
09/09/2020 | Regions                                  | Blaenau Gwent
08/09/2020 | Regions                                  | Blaenau Gwent
07/09/2020 | Regions                                  | Blaenau Gwent
06/09/2020 | Regions                                  | Blaenau Gwent
05/09/2020 | Regions                                  | Blaenau Gwent
04/09/2020 | Regions                                  | Blaenau Gwent
03/09/2020 | Regions                                  | Blaenau Gwent
02/09/2020 | Regions                                  | Blaenau Gwent
01/09/2020 | Regions                                  | Blaenau Gwent
31/08/2020 | Regions                                  | Blaenau Gwent
30/08/2020 | Regions                                  | Blaenau Gwent
29/08/2020 | Regions                                  | Blaenau Gwent
28/08/2020 | Regions                                  | Blaenau Gwent
27/08/2020 | Regions                                  | Blaenau Gwent
26/08/2020 | Regions                                  | Blaenau Gwent
25/08/2020 | Regions                                  | Blaenau Gwent
24/08/2020 | Regions                                  | Blaenau Gwent
23/08/2020 | Regions                                  | Blaenau Gwent
22/08/2020 | Regions                                  | Blaenau Gwent
21/08/2020 | Regions                                  | Blaenau Gwent
20/08/2020 | Regions                                  | Blaenau Gwent
19/08/2020 | Regions                                  | Blaenau Gwent
18/08/2020 | Regions                                  | Blaenau Gwent
17/08/2020 | Regions                                  | Blaenau Gwent
16/08/2020 | Regions                                  | Blaenau Gwent
15/08/2020 | Regions                                  | Blaenau Gwent
14/08/2020 | Regions                                  | Blaenau Gwent
13/08/2020 | Regions                                  | Blaenau Gwent
12/08/2020 | Regions                                  | Blaenau Gwent
11/08/2020 | Regions                                  | Blaenau Gwent
10/08/2020 | Regions                                  | Blaenau Gwent
09/08/2020 | Regions                                  | Blaenau Gwent
