,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
0,-2,-2,-1,2,2,1,-2,-2,-2,-1,1,2,-1,-2,-2,-2,-2,-1,1,0,-2
1,-1,-2,-3,-2,-2,2,2,1,-2,-2,-2,2,1,2,0,-2,-1,1,2,2,2
2,2,-1,-1,-1,2,2,2,2,0,-1,0,2,2,3,2,1,1,1,-1,3,2
3,-2,-1,2,3,3,-2,-2,-2,0,3,2,2,-2,-3,-2,0,2,3,1,-3,-2
4,-1,-1,-1,1,2,2,2,1,-2,-2,-2,2,1,1,-2,-2,-2,-1,0,2,2
5,-2,-2,-2,-1,1,1,-1,-2,-2,-1,0,2,2,1,-2,-1,0,2,2,2,2
6,-1,-2,-2,-1,2,2,1,-1,-1,-3,-2,0,2,2,2,1,-2,-2,1,1,2
7,0,3,2,1,-2,0,-2,2,2,2,1,-2,-2,1,2,2,1,-3,-3,-1,3
8,1,-1,-1,-2,-1,1,1,2,2,2,0,-2,-2,2,2,2,0,-1,-2,-1,1
9,0,-1,1,1,-2,-2,-2,-2,1,2,2,0,-1,-1,0,2,2,2,2,0,-2
10,2,-2,-3,-2,3,3,3,3,-2,-3,-3,-2,0,1,-2,-3,-3,1,-1,2,2
11,-1,-3,-1,0,3,3,2,2,2,-1,-2,-1,-2,-1,-3,-1,1,0,3,2,-1
12,-2,-2,3,3,3,3,-2,-3,-3,-3,2,2,-1,-2,-3,-2,-2,-1,0,1,0
13,-2,-1,2,2,2,2,-2,-2,-2,-2,1,2,2,0,-1,-2,-1,-1,2,1,2
14,0,1,2,1,-2,-2,-2,-2,1,2,0,-1,-2,0,2,2,1,-1,-2,-1,1
15,-3,-3,1,1,0,-3,-3,-2,0,2,2,0,-1,-2,2,2,2,2,-2,-2,-3
16,1,-2,-2,1,2,2,1,-2,-2,-2,1,0,2,1,1,-1,-2,-2,0,1,2
17,-2,0,0,-2,-3,-2,-2,-2,-2,2,2,2,2,2,1,0,-1,2,2,2,2
18,3,2,1,-1,-1,1,2,3,2,2,-1,-1,1,3,2,2,0,-3,-3,-2,0
19,2,2,-2,-2,-2,1,3,2,1,-3,-3,-3,1,2,2,1,-1,-2,-1,1,2
20,2,0,-3,-1,1,1,3,1,-2,-2,0,3,3,-2,-3,-3,-3,-3,2,2,2
21,2,2,1,-2,-2,1,2,2,1,-3,-3,-1,3,3,3,3,-1,-3,-3,0,2
22,-3,2,-1,-3,-3,-3,-1,2,2,1,-2,-3,-2,-2,-1,-1,-1,1,-3,-2,0
23,-1,-3,-3,-3,-3,-2,1,-1,-1,-2,-1,1,1,2,2,2,0,-2,-2,2,2
24,-1,-2,2,2,2,2,-2,-2,-2,2,2,2,2,-2,-3,-2,3,3,3,3,-2
25,2,-2,-2,-2,-2,2,1,1,-1,-2,-1,1,1,1,1,0,0,2,2,2,2
26,0,0,1,0,-1,-1,-1,2,3,3,0,-2,-2,-2,1,1,2,1,-3,-3,-3
27,-2,3,3,1,-2,0,-3,-1,2,3,3,3,-2,-2,-3,-3,1,-2,0,-3,1
28,-1,3,2,-1,-2,-2,-2,3,3,2,0,-3,-1,1,1,3,1,-2,-2,0,3
29,1,-2,2,1,2,-1,-2,-2,-1,2,2,1,-1,-1,-3,-2,0,2,2,2,1
30,2,-2,-2,-1,2,2,2,1,-2,-3,-2,-1,2,1,-1,-2,-3,-2,0,2,2
31,1,2,-1,-2,-2,-2,-2,-1,1,0,-2,-2,-2,-2,1,1,2,-1,-1,-1,1
32,2,1,1,0,-2,-1,0,2,2,2,2,1,-1,-1,0,2,1,-2,-2,-2,1
33,-1,-3,0,0,2,3,2,1,-2,-3,-2,0,1,-2,-2,-2,-2,-1,2,3,0
34,-1,2,2,2,1,1,1,0,-2,-2,-1,-1,-1,-1,2,2,1,-1,-2,-2,1
35,2,-1,-2,-2,-2,-2,0,0,-2,-2,-2,-1,2,2,2,2,1,-2,-1,1,2
36,-2,-2,0,0,3,1,-1,-1,-3,-2,2,2,2,0,-2,-2,1,0,3,2,-1
37,-3,-3,-2,0,2,2,-1,-3,-3,-3,-3,-2,1,-1,-1,-2,-1,1,1,2,2
38,-1,2,3,3,0,-2,-2,-2,1,1,2,1,-3,-3,-3,2,3,2,2,-2,-2
39,2,-1,-2,-2,2,2,2,1,0,-3,-2,2,2,2,2,-2,-2,-2,2,2,2
40,2,2,2,0,-2,-2,0,1,3,2,2,-2,-1,1,2,2,2,-2,-2,0,1
41,-3,-3,-3,1,2,0,-2,-3,1,2,3,3,3,0,-3,-3,-3,-1,2,2,2
42,1,2,2,0,-2,-2,-2,0,2,3,2,0,-2,-2,-2,-2,2,1,-2,0,-3
43,0,-2,-2,-2,0,1,2,2,0,-1,-1,0,2,2,2,2,-1,-1,0,0,3
44,0,-2,-2,-2,-1,2,2,2,2,1,-2,-1,1,2,2,-1,-1,-1,0,2,1
45,-2,1,3,2,1,-3,-3,-3,1,2,2,1,-1,-2,-1,1,2,2,-1,-1,-1
46,2,2,2,2,0,0,0,1,2,2,2,0,0,-2,-2,-2,-2,0,0,-2,-3
47,-3,-2,2,3,2,2,0,-3,-3,2,2,2,-1,-2,-3,0,-2,0,1,1,1
48,-3,-1,-2,0,1,-2,-2,-2,-2,2,3,2,2,0,-3,-2,2,2,2,0,-2
49,-1,1,1,-2,-2,-3,-3,3,3,3,3,1,-2,2,3,3,3,-3,-3,-3,-3
