,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
0,-1,2,2,1,0,-3,-2,-2,0,1,0
1,-2,-1,1,2,2,2,1,0,-3,-2,-1
2,-2,-3,-3,1,-2,-2,-2,-3,-2,-3,-3
3,1,2,2,0,-1,-2,0,0,3,2,1
4,1,2,2,2,-2,-2,2,2,2,0,0
5,2,3,3,3,0,-3,-3,-2,3,2,2
6,2,2,-3,-3,-2,1,3,2,2,-2,-2
7,-3,-2,-2,-1,0,1,0,-2,-1,-1,1
8,3,2,0,-3,-1,1,1,3,1,-2,-2
9,-1,-2,2,2,2,1,-2,-2,-2,0,2
10,0,2,-2,-3,-3,-3,-3,-2,2,2,3
11,-2,-2,-1,2,1,-2,-2,-3,-2,-1,2
12,-2,-3,-3,-2,2,2,2,1,-2,-2,-1
13,1,1,-2,-2,-2,-1,2,2,2,1,1
14,-3,0,2,1,-2,-2,-3,-2,-1,1,1
15,1,1,1,-1,-1,-2,-1,-1,2,1,1
16,-1,-1,-1,-2,-3,-2,-2,-2,2,2,-1
17,3,2,1,0,-1,-1,2,2,2,1,-2
18,-2,-1,1,1,2,-1,-1,-2,-1,0,2
19,2,1,-2,-2,-2,-1,1,2,-1,-2,-2
20,1,-2,-3,-2,-2,1,3,2,-2,-2,-2
21,-1,1,2,2,2,2,0,1,1,1,-2
22,-3,-3,-2,-1,1,2,1,0,-2,1,3
23,3,2,2,1,-2,-3,-1,2,2,0,-2
24,1,-1,3,2,1,0,-1,-1,2,2,2
25,2,0,-2,-3,-2,-1,3,3,3,2,-3
26,1,2,-2,-2,-2,-1,0,3,2,1,-1
27,1,1,1,0,-2,-2,-1,-1,-1,-1,2
28,-3,-3,-3,1,2,2,2,1,0,0,0
29,-1,-3,-3,-3,-3,2,3,2,2,1,-2
30,0,2,2,2,-1,-2,-2,-2,1,2,1
31,2,2,2,-1,-2,-2,-2,2,3,1,-3
32,-2,3,3,3,-3,-3,-3,-3,-3,0,2
33,-2,1,1,1,0,-1,-2,-1,2,2,2
34,0,2,2,1,-1,-2,-1,1,2,2,1
35,-2,-3,-2,1,2,1,-1,-2,-3,-2,0
36,-2,-3,0,2,3,2,1,0,-2,-2,-2
37,1,-1,-2,-1,2,1,1,-1,-2,-2,2
38,-1,0,1,0,-2,-1,-1,1,2,1,1
39,1,1,-1,-1,0,2,2,-1,-2,-2,-2
40,-1,-3,-3,-3,1,1,0,-3,-3,-2,0
41,-2,-2,1,2,2,2,-1,-1,-1,2,2
42,-1,1,2,2,0,-2,-2,-2,-2,1,2
43,3,2,-3,-3,-3,1,3,3,3,3,2
44,0,1,2,2,1,1,-2,-1,2,2,1
45,0,0,1,1,1,0,0,0,3,3,3
46,-2,-2,-2,-2,-2,-2,0,2,2,1,0
47,2,-2,0,2,3,3,-2,-3,-3,-3,2
48,-2,1,2,1,-1,-2,-3,-2,0,2,1
49,2,2,1,1,-2,-2,-2,-1,2,2,2
50,2,-2,-2,-1,2,2,2,0,-2,-2,-2
51,2,2,-1,-2,-1,0,1,2,-2,-2,-1
52,-2,2,1,1,0,-2,-2,0,2,2,1
53,2,1,-2,-2,-2,0,2,2,1,-2,-3
54,0,-2,-3,1,2,3,3,-2,-1,-2,2
55,3,3,3,2,-3,-3,-3,-1,-1,1,2
56,-2,-3,-2,-2,-1,-1,-1,1,-3,-2,0
57,2,2,-1,-1,1,3,2,2,0,-3,-3
58,-2,-1,1,2,2,1,-2,-2,-2,-2,0
59,-2,-2,3,3,3,3,2,-3,-3,-3,-1
60,2,-1,-2,-1,0,1,2,-2,-2,-1,2
61,2,-2,-3,-3,-2,2,3,3,3,-3,-3
62,2,2,1,-1,-2,-1,1,2,2,1,-2
63,0,2,2,2,2,-2,-2,-2,-1,0,1
64,-3,-2,0,2,2,-1,-2,-2,-1,2,1
65,2,-2,-2,-2,-1,0,3,2,1,-1,-3
66,0,-2,-1,-1,0,2,2,1,-2,-2,-1
67,-2,-3,-3,1,-1,2,2,1,0,-1,-2
68,3,2,-1,-1,-1,2,2,2,-1,-2,-2
69,-1,0,-3,-1,0,2,2,2,0,-2,-1
70,-2,-1,1,1,-1,-2,-2,-1,2,2,2
71,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-1
72,0,-2,-2,1,2,3,2,2,-3,-3,-2
73,-1,1,2,2,0,-1,-1,2,2,2,-1
74,1,2,2,2,2,0,1,1,1,-2,-2
75,2,2,2,2,2,3,3,0,-3,-3,-3
76,2,1,-1,-3,-2,-2,3,3,2,-1,-2
77,-3,1,2,2,1,-2,-3,-3,2,2,3
78,-1,3,2,-1,-2,-2,-2,3,3,2,0
79,-1,-1,2,3,3,1,-2,-3,-2,-2,-1
80,0,-2,-2,-2,-1,2,1,-2,-2,-3,-2
81,-1,2,2,2,1,-2,-3,-2,-1,2,1
82,-2,-3,-3,-2,3,3,-1,-3,-3,-2,0
83,-3,-1,-3,-3,-3,-1,2,1,-2,-1,-3
84,1,2,2,-1,-1,-1,2,2,2,1,-1
85,-2,-3,-2,-2,1,2,1,1,0,1,2
86,-2,-2,-2,1,2,0,-1,-2,-2,-1,1
87,-2,0,0,-2,-2,-2,-1,2,2,2,2
88,-2,-2,-2,0,2,3,2,0,-2,-2,-2
89,0,0,0,1,0,1,1,0,2,3,3
90,-3,2,3,2,2,1,-2,-3,-1,2,2
91,-2,-1,-1,2,2,2,3,2,2,2,1
92,3,-1,1,0,0,0,1,0,-1,-1,-1
93,-3,-1,0,1,2,2,1,1,-2,-1,2
94,0,-1,-1,0,2,2,2,2,-1,-1,0
95,2,1,-1,-2,-2,1,1,1,1,0,0
96,2,0,-2,-2,1,2,2,2,0,-1,-3
97,1,-2,-2,-1,2,2,2,2,-2,-2,-1
98,0,2,2,2,2,0,-2,-2,2,-1,3
99,-1,3,3,3,2,-3,-3,-3,-1,-1,1
100,-1,-1,3,3,3,2,-2,-3,-3,-3,-1
101,3,2,0,-2,-1,0,2,2,2,-3,-3
102,3,-3,-3,-3,-3,-2,3,1,-2,-3,-1
103,-2,-3,0,2,3,3,3,2,-3,-3,1
104,-2,-1,2,1,-1,-2,-3,-2,0,2,2
105,1,-2,-2,-2,1,2,2,1,-2,-2,-1
106,-2,1,3,2,0,-2,-3,0,1,2,1
107,3,1,-2,0,-3,-1,2,3,3,3,-2
108,2,2,2,-2,-2,-2,-1,0,1,-1,-2
109,0,0,0,-1,-1,-1,2,2,2,2,-1
110,0,0,1,2,2,2,0,0,-2,-2,-2
111,0,2,3,3,-2,-3,-3,-3,2,3,3
112,3,2,2,0,-3,-3,-2,0,2,-2,-3
