Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor),Meeting Friends/Family (Outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and Bars,Sports and Leisure,Hospitals/ Care and Nursing Home Visits,Non-Essential Shops,School Closure,Temperature,Humidity
1,36,102842,12,3655,36,102842,3,3,3,2,3,3,3,2,1,1,2,2
1,1209,102806,41,3643,1209,102806,3,3,3,2,3,3,3,2,1,1,2,2
1,1890,101597,28,3602,1890,101597,3,3,3,2,3,3,3,2,1,1,1,2
1,1681,99707,25,3574,1681,99707,3,3,3,2,3,3,3,2,1,1,1,2
1,2240,98026,27,3549,2240,98026,3,3,3,2,3,3,3,2,1,1,1,2
1,2171,95786,29,3522,2171,95786,2,2,1,2,2,2,1,2,0,1,1,2
1,2125,93615,33,3493,2125,93615,2,2,1,2,2,2,1,2,0,1,1,2
1,2361,91490,27,3460,2361,91490,2,2,1,2,2,2,1,2,0,1,1,1
1,3228,89129,35,3433,3228,89129,2,2,1,2,2,2,1,2,0,1,2,1
1,1228,85901,30,3398,1228,85901,2,2,1,2,2,2,1,2,0,1,2,2
1,1490,84673,25,3368,1490,84673,2,2,1,2,2,2,1,2,0,1,2,2
1,2042,83183,28,3343,2042,83183,2,2,1,2,2,2,1,2,0,1,2,2
1,2093,81141,20,3315,2093,81141,2,2,1,2,2,2,1,2,0,1,2,2
1,2112,79048,28,3295,2112,79048,2,2,1,2,2,2,1,2,0,1,1,2
1,2043,76936,23,3267,2043,76936,2,2,1,2,2,2,1,2,0,1,1,2
1,2339,74893,21,3244,2339,74893,2,2,1,2,2,2,1,2,0,1,1,2
1,1458,72554,22,3223,1458,72554,2,2,1,2,2,2,1,2,0,1,1,2
1,1450,71096,21,3201,1450,71096,2,2,1,2,2,2,1,2,0,1,1,2
1,1824,69646,23,3180,1824,69646,2,2,1,2,2,2,2,2,0,1,1,2
1,2104,67822,22,3157,2104,67822,2,2,1,2,2,2,2,2,0,1,1,2
1,2083,65718,12,3135,2083,65718,2,2,1,2,2,2,2,2,0,1,2,2
1,2098,63635,17,3123,2098,63635,2,2,1,2,2,2,2,2,0,1,2,2
1,2325,61537,8,3106,2325,61537,2,2,1,2,2,2,2,2,0,1,2,2
1,1061,59212,5,3098,1061,59212,2,2,1,2,2,2,2,2,0,0,1,2
1,1179,58151,17,3093,1179,58151,2,2,1,2,2,2,2,2,0,0,1,2
1,1267,56972,10,3076,1267,56972,2,2,1,2,2,2,2,2,0,0,1,2
1,1411,55705,14,3066,1411,55705,2,2,1,2,2,2,2,2,0,0,1,2
1,1762,54294,10,3052,1762,54294,2,2,1,2,2,2,2,2,0,0,1,2
1,1516,52532,10,3042,1516,52532,2,2,1,2,2,2,2,2,0,0,1,2
1,1720,51016,6,3032,1720,51016,2,2,1,2,2,2,2,2,0,0,1,2
1,1056,49296,7,3026,1056,49296,2,2,1,2,2,2,2,2,0,0,1,1
1,1062,48240,3,3019,1062,48240,2,2,1,2,2,2,2,2,0,0,1,2
1,1354,47178,6,3016,1354,47178,2,2,1,2,2,2,2,2,0,0,1,2
1,1769,45824,2,3010,1769,45824,2,2,1,2,2,2,2,2,0,0,2,2
1,1563,44055,5,3008,1563,44055,2,2,1,2,2,2,2,2,0,0,2,1
1,1448,42492,2,3003,1448,42492,2,2,1,2,2,2,2,2,0,0,2,2
1,1449,41044,3,3001,1449,41044,2,2,1,2,2,2,2,2,0,0,2,2
1,1064,39595,4,2998,1064,39595,2,2,1,2,2,2,2,2,0,0,2,2
1,963,38531,7,2994,963,38531,2,2,1,2,2,2,2,2,0,0,2,2
1,1165,37568,1,2987,1165,37568,2,2,1,2,2,2,2,2,0,0,2,2
1,991,36403,2,2986,991,36403,2,2,1,2,2,2,2,2,0,0,1,2
1,880,35412,2,2984,880,35412,2,2,1,2,2,2,2,2,0,0,2,2
1,604,34532,3,2982,604,34532,2,2,1,2,2,2,2,2,0,0,2,1
1,580,33928,1,2979,580,33928,2,2,1,2,2,2,2,2,0,0,2,2
1,401,33348,4,2978,401,33348,2,2,1,2,2,2,2,2,0,0,1,1
1,345,32947,1,2974,345,32947,2,2,1,2,2,2,2,2,0,0,1,1
1,349,32602,3,2973,349,32602,2,2,1,2,2,2,2,2,0,0,1,1
1,350,32253,3,2970,350,32253,2,2,1,2,2,2,2,2,0,0,1,2
1,324,31903,1,2967,324,31903,2,2,1,2,2,2,2,2,0,0,2,2
1,287,31579,3,2966,287,31579,2,2,1,2,2,2,2,2,0,0,2,1
1,308,31292,3,2963,308,31292,2,2,1,2,1,1,1,2,0,0,2,1
1,276,30984,0,2960,276,30984,2,2,1,2,1,1,1,2,0,0,2,1
1,256,30708,2,2960,256,30708,2,2,1,2,1,1,1,2,0,0,2,2
1,261,30452,1,2958,261,30452,2,2,1,2,1,1,1,2,0,0,2,1
1,243,30191,0,2957,243,30191,2,2,1,2,1,1,1,2,0,0,2,1
1,246,29948,1,2957,246,29948,2,2,1,2,1,1,1,2,0,0,2,2
1,208,29702,1,2956,208,29702,2,2,1,2,1,1,1,2,0,0,2,1
1,202,29494,1,2955,202,29494,2,2,1,2,1,1,1,2,0,0,2,1
1,124,29292,1,2954,124,29292,2,2,1,2,1,1,1,2,0,0,2,1
1,147,29168,4,2953,147,29168,2,2,1,2,1,1,1,2,0,0,2,1
1,222,29021,0,2949,222,29021,2,2,1,2,1,1,1,2,0,0,2,1
1,213,28799,0,2949,213,28799,2,2,1,2,1,1,1,2,0,0,2,1
1,262,28586,1,2949,262,28586,2,2,1,2,1,1,1,2,0,0,2,1
1,313,28324,0,2948,313,28324,2,2,1,2,1,1,1,2,0,0,2,2
1,350,28011,1,2948,350,28011,2,2,1,2,1,1,1,2,0,0,2,2
1,139,27661,1,2947,139,27661,2,2,1,2,1,1,1,2,0,0,2,2
