Date,Temp,Humidity
03.04.2020,10.1,38.33
04.04.2020,11.21,44.12
05.04.2020,11.66,37.29
06.04.2020,13.62,33.75
07.04.2020,14.46,22.33
08.04.2020,15.07,22.21
09.04.2020,16.77,27.12
10.04.2020,16.64,40.46
11.04.2020,15.35,36.92
12.04.2020,16.23,41.04
13.04.2020,16.56,48.83
14.04.2020,7.1,43.92
15.04.2020,10.57,33.46
16.04.2020,15.11,36.26
17.04.2020,20.25,31.58
18.04.2020,17.82,46.17
19.04.2020,13.71,58.29
20.04.2020,11.88,37.46
21.04.2020,12.55,36.17
22.04.2020,13.38,35.5
23.04.2020,14.43,37.58
24.04.2020,16.85,38.21
25.04.2020,16.13,36.71
26.04.2020,13.21,41.42
27.04.2020,15.76,44.29
28.04.2020,18.5,53.67
29.04.2020,15.82,64.33
30.04.2020,18.15,47.12
01.05.2020,15.66,57.29
02.05.2020,14.5,56.71
03.05.2020,12.85,52.62
04.05.2020,15.22,46.46
05.05.2020,12.96,56.88
06.05.2020,11.59,49.12
07.05.2020,16.13,39.33
08.05.2020,16.8,43.42
09.05.2020,20.93,41.82
10.05.2020,19.9,58.88
11.05.2020,18.07,64.29
12.05.2020,9.61,48.79
13.05.2020,11.51,64.0
14.05.2020,12.57,65.42
15.05.2020,9.95,79.79
16.05.2020,14.48,54.38
17.05.2020,17.07,53.17
18.05.2020,19.36,46.92
19.05.2020,21.33,47.08
20.05.2020,19.07,43.92
21.05.2020,17.3,37.12
22.05.2020,17.06,37.38
23.05.2020,17.12,77.38
24.05.2020,14.17,63.54
25.05.2020,13.47,70.08
26.05.2020,13.02,71.25
27.05.2020,16.06,52.58
28.05.2020,14.51,60.08
29.05.2020,14.36,66.54
30.05.2020,13.96,54.83
31.05.2020,11.6,73.54
01.06.2020,17.52,57.71
02.06.2020,17.87,47.75
03.06.2020,17.37,67.5
04.06.2020,18.84,65.0
05.06.2020,16.6,72.54
06.06.2020,20.41,58.71
07.06.2020,20.85,60.5
08.06.2020,15.23,69.09
09.06.2020,17.74,70.42
10.06.2020,16.5,79.92
11.06.2020,18.98,65.96
12.06.2020,22.0,59.08
13.06.2020,24.4,58.21
14.06.2020,19.77,71.42
15.06.2020,18.18,73.88
16.06.2020,20.16,65.75
17.06.2020,20.85,65.46
18.06.2020,19.48,63.58
19.06.2020,19.3,65.29
20.06.2020,16.1,79.04
21.06.2020,15.97,83.17
22.06.2020,21.22,57.0
23.06.2020,21.62,45.88
24.06.2020,19.16,52.96
25.06.2020,19.11,62.21
26.06.2020,21.24,67.83
27.06.2020,24.8,58.25
28.06.2020,26.73,50.21
29.06.2020,20.99,70.33
30.06.2020,23.26,56.29
01.07.2020,24.96,59.58
02.07.2020,24.15,60.75
03.07.2020,21.83,60.21
04.07.2020,22.89,46.67
05.07.2020,25.5,44.83
06.07.2020,24.21,54.58
07.07.2020,18.77,45.42
08.07.2020,20.79,48.46
09.07.2020,23.65,53.5
10.07.2020,27.35,48.75
11.07.2020,18.33,76.29
12.07.2020,18.43,54.0
13.07.2020,19.18,48.67
14.07.2020,20.21,46.88
15.07.2020,21.98,47.8
16.07.2020,18.75,68.17
17.07.2020,16.87,69.38
18.07.2020,16.52,77.58
19.07.2020,19.58,73.92
20.07.2020,23.69,59.25
21.07.2020,22.79,64.88
22.07.2020,23.03,64.71
23.07.2020,23.82,55.21
24.07.2020,21.66,64.42
25.07.2020,22.43,57.83
26.07.2020,22.71,57.62
27.07.2020,24.98,50.5
28.07.2020,27.53,53.58
29.07.2020,24.99,59.88
30.07.2020,26.15,43.71
31.07.2020,26.5,44.71
01.08.2020,25.67,38.08
02.08.2020,24.79,49.21
03.08.2020,21.01,78.83
04.08.2020,17.82,83.0
05.08.2020,16.65,77.7
06.08.2020,21.88,64.04
07.08.2020,25.6,58.04
08.08.2020,26.7,51.33
09.08.2020,27.04,50.0
10.08.2020,26.94,53.12
11.08.2020,24.88,60.33
12.08.2020,25.61,56.08
13.08.2020,25.58,62.04
14.08.2020,24.45,62.29
15.08.2020,23.22,68.83
16.08.2020,22.5,75.17
17.08.2020,22.43,76.88
18.08.2020,21.88,67.71
19.08.2020,22.17,58.58
20.08.2020,23.68,53.08
21.08.2020,25.92,57.54
22.08.2020,24.82,69.79
23.08.2020,22.9,62.12
24.08.2020,21.63,56.54
25.08.2020,21.7,49.62
26.08.2020,23.6,47.29
27.08.2020,22.24,43.75
28.08.2020,23.12,53.08
29.08.2020,22.15,63.29
30.08.2020,22.23,72.09
31.08.2020,18.16,60.79
