Date,Temp,Humidity
03.04.2020,4.77,63.04
04.04.2020,7.31,64.88
05.04.2020,7.67,53.04
06.04.2020,11.29,42.5
07.04.2020,12.28,40.75
08.04.2020,12.72,30.42
09.04.2020,12.7,41.0
10.04.2020,11.1,57.88
11.04.2020,10.39,48.71
12.04.2020,13.07,43.58
13.04.2020,9.66,53.83
14.04.2020,3.31,46.54
15.04.2020,7.24,47.54
16.04.2020,12.12,49.42
17.04.2020,13.18,49.04
18.04.2020,13.11,58.08
19.04.2020,10.24,63.29
20.04.2020,8.1,45.38
21.04.2020,9.57,43.42
22.04.2020,9.9,45.92
23.04.2020,11.45,47.42
24.04.2020,13.8,44.58
25.04.2020,8.89,56.21
26.04.2020,9.25,55.04
27.04.2020,13.12,47.25
28.04.2020,15.53,55.17
29.04.2020,13.22,71.21
30.04.2020,13.47,66.08
01.05.2020,11.63,71.08
02.05.2020,9.07,71.38
03.05.2020,9.44,65.67
04.05.2020,11.01,67.75
05.05.2020,6.9,71.0
06.05.2020,7.64,64.04
07.05.2020,11.3,47.38
08.05.2020,14.4,51.21
09.05.2020,16.23,55.54
10.05.2020,15.95,81.58
11.05.2020,9.09,94.17
12.05.2020,5.52,59.5
13.05.2020,8.03,66.52
14.05.2020,9.53,72.79
15.05.2020,8.92,65.67
16.05.2020,10.64,59.58
17.05.2020,12.7,54.71
18.05.2020,14.59,57.96
19.05.2020,16.37,59.67
20.05.2020,13.4,71.5
21.05.2020,13.68,57.08
22.05.2020,14.05,59.08
23.05.2020,13.05,89.75
24.05.2020,10.96,75.75
25.05.2020,10.09,82.71
26.05.2020,11.87,70.17
27.05.2020,13.4,61.33
28.05.2020,11.33,76.42
29.05.2020,12.82,58.38
30.05.2020,12.1,56.29
31.05.2020,11.38,70.08
01.06.2020,15.89,55.75
02.06.2020,14.84,63.29
03.06.2020,16.34,67.96
04.06.2020,14.68,83.17
05.06.2020,13.62,78.79
06.06.2020,12.64,81.21
07.06.2020,13.21,86.96
08.06.2020,13.52,73.79
09.06.2020,15.37,68.62
10.06.2020,13.85,84.96
11.06.2020,16.02,81.92
12.06.2020,19.24,69.71
13.06.2020,20.46,77.42
14.06.2020,18.07,90.29
15.06.2020,18.68,67.71
16.06.2020,18.98,64.88
17.06.2020,18.9,69.08
18.06.2020,16.7,87.46
19.06.2020,15.63,84.42
20.06.2020,14.46,89.17
21.06.2020,16.69,69.62
22.06.2020,18.53,64.79
23.06.2020,17.77,60.21
24.06.2020,14.81,75.25
25.06.2020,17.7,70.25
26.06.2020,18.7,71.54
27.06.2020,21.01,70.29
28.06.2020,22.32,69.29
29.06.2020,17.0,79.83
30.06.2020,17.66,62.0
01.07.2020,21.09,62.62
02.07.2020,19.48,82.25
03.07.2020,18.1,68.54
04.07.2020,18.18,63.71
05.07.2020,21.4,62.75
06.07.2020,18.7,61.75
07.07.2020,13.85,61.92
08.07.2020,13.65,79.71
09.07.2020,17.8,80.71
10.07.2020,23.37,55.08
11.07.2020,14.29,69.88
12.07.2020,14.55,58.88
13.07.2020,15.98,53.08
14.07.2020,17.95,51.17
15.07.2020,17.28,64.5
16.07.2020,15.19,79.08
17.07.2020,14.87,74.75
18.07.2020,16.74,76.54
19.07.2020,20.54,70.83
20.07.2020,21.48,62.92
21.07.2020,19.08,64.62
22.07.2020,18.07,48.58
23.07.2020,18.35,51.62
24.07.2020,19.85,54.38
25.07.2020,21.25,52.33
26.07.2020,18.82,72.46
27.07.2020,20.92,58.92
28.07.2020,24.24,46.5
29.07.2020,21.04,45.75
30.07.2020,20.57,42.33
31.07.2020,21.93,39.29
01.08.2020,22.62,43.0
02.08.2020,19.65,69.58
03.08.2020,16.15,92.29
04.08.2020,14.28,85.54
05.08.2020,17.45,64.79
06.08.2020,19.9,62.0
07.08.2020,22.92,63.21
08.08.2020,24.5,51.75
09.08.2020,24.94,50.75
10.08.2020,22.26,72.29
11.08.2020,22.25,70.88
12.08.2020,22.9,61.25
13.08.2020,23.93,54.88
14.08.2020,21.05,76.62
15.08.2020,20.6,81.67
16.08.2020,21.13,64.0
17.08.2020,20.22,71.42
18.08.2020,19.27,80.33
19.08.2020,19.21,70.75
20.08.2020,21.41,61.67
21.08.2020,24.89,54.54
22.08.2020,21.43,77.25
23.08.2020,18.52,75.67
24.08.2020,17.46,63.92
25.08.2020,17.62,56.17
26.08.2020,20.95,44.71
27.08.2020,17.18,52.96
28.08.2020,17.57,67.71
29.08.2020,16.62,85.71
30.08.2020,15.77,91.58
31.08.2020,14.76,83.33
