Date,Temp,Humidity
03.04.2020,5.23,60.75
04.04.2020,5.25,77.0
05.04.2020,7.62,70.4
06.04.2020,9.29,66.1
07.04.2020,10.67,64.0
08.04.2020,8.42,71.52
09.04.2020,8.54,64.17
10.04.2020,6.48,71.48
11.04.2020,6.6,75.5
12.04.2020,11.88,64.73
13.04.2020,5.92,48.56
14.04.2020,5.88,49.67
15.04.2020,9.81,65.96
16.04.2020,9.19,58.94
17.04.2020,7.35,63.5
18.04.2020,7.68,54.62
19.04.2020,8.19,57.9
20.04.2020,8.83,66.54
21.04.2020,9.83,61.08
22.04.2020,9.9,61.44
23.04.2020,12.56,56.38
24.04.2020,11.17,69.81
25.04.2020,10.04,63.1
26.04.2020,8.4,68.21
27.04.2020,8.79,77.29
28.04.2020,9.82,72.55
29.04.2020,6.67,78.91
30.04.2020,7.21,88.48
01.05.2020,8.9,85.23
02.05.2020,9.38,84.06
03.05.2020,10.4,72.98
04.05.2020,8.79,66.96
05.05.2020,8.75,63.54
06.05.2020,10.12,64.42
07.05.2020,11.75,65.94
08.05.2020,12.08,68.88
09.05.2020,11.94,73.04
10.05.2020,12.46,77.12
11.05.2020,7.47,50.32
12.05.2020,6.52,65.62
13.05.2020,6.96,52.96
14.05.2020,7.67,56.83
15.05.2020,9.69,68.35
16.05.2020,10.27,70.06
17.05.2020,10.67,74.44
18.05.2020,10.98,89.27
19.05.2020,11.94,71.73
20.05.2020,11.33,68.48
21.05.2020,12.02,78.58
22.05.2020,13.83,58.6
23.05.2020,12.94,80.69
24.05.2020,11.88,81.62
25.05.2020,13.36,76.13
26.05.2020,13.4,78.83
27.05.2020,13.5,71.31
28.05.2020,13.73,68.19
29.05.2020,13.42,66.18
30.05.2020,13.6,67.79
31.05.2020,15.92,60.17
01.06.2020,17.46,51.75
02.06.2020,19.25,51.88
03.06.2020,14.33,66.29
04.06.2020,14.96,63.85
05.06.2020,13.65,74.44
06.06.2020,12.04,72.96
07.06.2020,13.79,75.5
08.06.2020,14.33,76.21
09.06.2020,14.54,76.29
10.06.2020,16.5,70.48
11.06.2020,18.3,60.55
12.06.2020,17.73,76.94
13.06.2020,18.44,72.19
14.06.2020,17.85,57.38
15.06.2020,18.02,54.29
16.06.2020,19.87,60.26
17.06.2020,17.98,72.58
18.06.2020,18.15,71.15
19.06.2020,19.0,79.4
20.06.2020,18.91,87.89
21.06.2020,17.54,84.33
22.06.2020,18.1,70.75
23.06.2020,18.35,62.4
24.06.2020,19.44,69.75
25.06.2020,22.15,63.75
26.06.2020,22.58,69.88
27.06.2020,21.12,74.6
28.06.2020,19.65,82.9
29.06.2020,18.1,65.58
30.06.2020,16.06,78.02
01.07.2020,17.13,75.1
02.07.2020,17.7,68.43
03.07.2020,15.56,69.1
04.07.2020,16.06,91.31
05.07.2020,17.77,80.96
06.07.2020,15.04,69.33
07.07.2020,13.65,73.83
08.07.2020,13.58,68.38
09.07.2020,13.48,73.56
10.07.2020,12.72,79.15
11.07.2020,14.48,66.77
12.07.2020,14.67,70.96
13.07.2020,15.38,70.9
14.07.2020,16.4,81.42
15.07.2020,16.04,82.52
16.07.2020,16.0,74.33
17.07.2020,18.02,72.69
18.07.2020,18.81,70.54
19.07.2020,20.88,71.4
20.07.2020,17.64,66.4
21.07.2020,15.9,60.27
22.07.2020,15.64,59.7
23.07.2020,15.73,67.38
24.07.2020,17.06,78.75
25.07.2020,16.6,80.54
26.07.2020,18.1,85.58
27.07.2020,17.35,80.42
28.07.2020,18.98,69.69
29.07.2020,15.52,72.46
30.07.2020,15.6,68.69
31.07.2020,16.38,76.96
01.08.2020,18.26,76.09
02.08.2020,19.33,75.08
03.08.2020,17.12,68.75
04.08.2020,16.9,61.92
05.08.2020,18.02,72.19
06.08.2020,21.04,66.62
07.08.2020,22.08,63.82
08.08.2020,22.46,63.62
09.08.2020,23.94,56.9
10.08.2020,23.08,69.77
11.08.2020,20.54,68.54
12.08.2020,19.56,72.4
13.08.2020,19.35,74.88
14.08.2020,20.64,65.55
15.08.2020,21.88,71.04
16.08.2020,22.8,64.98
17.08.2020,23.17,59.51
18.08.2020,22.04,73.43
19.08.2020,21.0,77.69
20.08.2020,20.81,80.08
21.08.2020,20.96,86.45
22.08.2020,21.31,72.5
23.08.2020,18.83,70.17
24.08.2020,16.65,69.54
25.08.2020,16.4,59.46
26.08.2020,18.21,79.92
27.08.2020,15.58,87.12
28.08.2020,15.42,86.09
29.08.2020,16.52,80.42
30.08.2020,15.91,79.85
31.08.2020,15.49,66.87
