Date,Temp,Humidity
03.04.2020,8.56,72.0
04.04.2020,12.54,48.62
05.04.2020,14.75,41.12
06.04.2020,14.04,53.88
07.04.2020,12.16,71.62
08.04.2020,12.89,75.5
09.04.2020,13.39,81.88
10.04.2020,11.79,82.12
11.04.2020,12.86,79.38
12.04.2020,13.55,82.38
13.04.2020,15.34,79.5
14.04.2020,13.2,82.75
15.04.2020,12.01,60.62
16.04.2020,11.06,79.0
17.04.2020,13.36,80.5
18.04.2020,15.21,85.5
19.04.2020,16.45,84.25
20.04.2020,16.44,93.0
21.04.2020,16.64,81.62
22.04.2020,14.24,93.5
23.04.2020,15.49,78.25
24.04.2020,14.23,84.14
25.04.2020,14.35,84.62
26.04.2020,14.04,78.0
27.04.2020,15.21,81.12
28.04.2020,16.94,84.38
29.04.2020,16.93,79.0
30.04.2020,15.5,76.12
01.05.2020,17.85,76.25
02.05.2020,18.84,75.38
03.05.2020,17.43,76.5
04.05.2020,16.23,56.62
05.05.2020,16.49,68.62
06.05.2020,18.19,76.88
07.05.2020,17.73,56.62
08.05.2020,16.1,75.25
09.05.2020,16.18,73.0
10.05.2020,18.75,61.5
11.05.2020,18.51,74.38
12.05.2020,19.44,74.12
13.05.2020,20.69,66.38
14.05.2020,22.32,63.5
15.05.2020,20.14,64.29
16.05.2020,22.74,52.62
17.05.2020,21.85,69.25
18.05.2020,21.96,68.75
19.05.2020,20.06,77.0
20.05.2020,19.39,72.14
21.05.2020,22.21,43.62
22.05.2020,20.59,48.43
23.05.2020,19.9,72.38
24.05.2020,20.93,73.43
25.05.2020,20.1,71.62
26.05.2020,19.59,56.38
27.05.2020,19.66,39.12
28.05.2020,19.04,52.0
29.05.2020,16.45,79.25
30.05.2020,15.28,77.75
31.05.2020,17.74,73.25
01.06.2020,19.19,66.62
02.06.2020,19.65,68.12
03.06.2020,19.65,73.38
04.06.2020,21.21,70.0
05.06.2020,20.64,74.25
06.06.2020,19.57,76.75
07.06.2020,20.69,77.0
08.06.2020,21.21,77.0
09.06.2020,19.99,71.25
10.06.2020,20.46,65.38
11.06.2020,17.48,81.0
12.06.2020,18.86,73.12
13.06.2020,19.88,78.75
14.06.2020,20.84,78.88
15.06.2020,20.51,79.38
16.06.2020,20.57,75.29
17.06.2020,20.89,80.5
18.06.2020,20.81,77.25
19.06.2020,21.34,73.14
20.06.2020,21.0,76.88
21.06.2020,20.84,68.0
22.06.2020,24.05,54.38
23.06.2020,25.42,43.17
24.06.2020,24.82,48.88
25.06.2020,23.55,66.5
26.06.2020,23.21,70.38
27.06.2020,23.79,58.5
28.06.2020,24.94,59.71
29.06.2020,23.79,74.75
30.06.2020,24.79,75.0
01.07.2020,25.68,72.62
02.07.2020,25.51,75.75
03.07.2020,25.65,83.38
04.07.2020,24.66,73.0
05.07.2020,25.49,52.75
06.07.2020,25.14,55.5
07.07.2020,24.81,74.38
08.07.2020,24.99,66.25
09.07.2020,24.69,75.62
10.07.2020,25.07,66.62
11.07.2020,24.45,75.12
12.07.2020,25.15,75.5
13.07.2020,25.2,53.62
14.07.2020,23.09,51.5
15.07.2020,22.46,73.62
16.07.2020,23.31,72.38
17.07.2020,23.36,69.71
18.07.2020,23.96,56.0
19.07.2020,23.86,47.12
20.07.2020,23.62,67.88
21.07.2020,24.65,74.25
22.07.2020,24.94,66.5
23.07.2020,24.74,69.88
24.07.2020,25.25,81.5
25.07.2020,25.68,68.38
26.07.2020,24.95,62.38
27.07.2020,24.56,70.88
28.07.2020,24.81,80.62
29.07.2020,25.91,81.0
30.07.2020,26.57,75.75
31.07.2020,27.07,77.88
01.08.2020,27.23,77.38
02.08.2020,27.86,80.12
03.08.2020,27.04,75.38
04.08.2020,25.32,56.38
05.08.2020,23.88,59.62
06.08.2020,24.71,56.38
07.08.2020,25.5,60.0
08.08.2020,29.69,42.38
09.08.2020,27.18,55.88
10.08.2020,26.65,69.88
11.08.2020,26.3,78.5
12.08.2020,25.16,77.86
13.08.2020,27.09,64.43
14.08.2020,26.56,73.75
15.08.2020,26.1,81.88
16.08.2020,25.76,68.0
17.08.2020,25.45,77.75
18.08.2020,25.3,78.75
19.08.2020,25.62,64.25
20.08.2020,25.3,68.5
21.08.2020,25.69,71.0
22.08.2020,24.85,76.25
23.08.2020,25.52,81.12
24.08.2020,25.5,72.88
25.08.2020,25.07,75.0
26.08.2020,25.02,80.38
27.08.2020,25.5,77.5
28.08.2020,26.46,68.12
29.08.2020,27.49,68.88
30.08.2020,26.71,69.25
31.08.2020,20.52,84.38
