Date,Temp,Humidity
03.04.2020,8.22,41.88
04.04.2020,9.89,36.88
05.04.2020,9.91,24.0
06.04.2020,9.5,22.62
07.04.2020,11.41,23.38
08.04.2020,13.84,26.38
09.04.2020,14.51,26.0
10.04.2020,13.31,33.12
11.04.2020,10.56,26.5
12.04.2020,9.57,35.38
13.04.2020,12.25,33.75
14.04.2020,7.19,63.5
15.04.2020,6.42,49.38
16.04.2020,13.13,36.57
17.04.2020,16.75,31.12
18.04.2020,14.12,29.25
19.04.2020,12.82,27.0
20.04.2020,9.81,31.38
21.04.2020,8.3,35.0
22.04.2020,9.85,35.5
23.04.2020,14.09,27.38
24.04.2020,14.66,28.12
25.04.2020,15.28,34.12
26.04.2020,10.49,49.12
27.04.2020,11.36,39.38
28.04.2020,14.47,35.88
29.04.2020,14.62,50.0
30.04.2020,15.24,67.12
01.05.2020,15.55,76.62
02.05.2020,14.25,81.62
03.05.2020,14.55,79.12
04.05.2020,15.44,74.12
05.05.2020,13.31,68.25
06.05.2020,8.49,81.25
07.05.2020,7.15,82.62
08.05.2020,11.54,48.0
09.05.2020,14.81,41.38
10.05.2020,17.61,40.38
11.05.2020,19.99,47.0
12.05.2020,15.3,58.62
13.05.2020,10.84,42.75
14.05.2020,17.57,61.38
15.05.2020,14.97,60.5
16.05.2020,13.14,59.75
17.05.2020,13.55,72.62
18.05.2020,16.64,53.25
19.05.2020,20.9,39.12
20.05.2020,14.56,73.25
21.05.2020,13.3,44.25
22.05.2020,11.62,40.75
23.05.2020,11.78,48.38
24.05.2020,13.25,59.12
25.05.2020,13.24,67.38
26.05.2020,13.43,63.75
27.05.2020,13.82,69.88
28.05.2020,11.82,88.38
29.05.2020,11.85,88.25
30.05.2020,12.67,81.12
31.05.2020,12.61,70.12
01.06.2020,12.53,78.25
02.06.2020,12.07,60.5
03.06.2020,13.31,62.12
04.06.2020,17.4,51.38
05.06.2020,21.11,52.75
06.06.2020,22.55,55.38
07.06.2020,22.46,52.0
08.06.2020,23.1,53.38
09.06.2020,24.21,57.38
10.06.2020,25.64,49.25
11.06.2020,26.04,48.88
12.06.2020,23.98,59.75
13.06.2020,23.69,62.12
14.06.2020,20.1,85.62
15.06.2020,20.18,79.0
16.06.2020,19.91,77.12
17.06.2020,19.84,80.12
18.06.2020,19.3,86.38
19.06.2020,21.36,72.0
20.06.2020,20.19,79.75
21.06.2020,20.11,79.25
22.06.2020,20.43,77.12
23.06.2020,21.09,73.25
24.06.2020,20.81,74.62
25.06.2020,22.31,61.62
26.06.2020,23.54,46.0
27.06.2020,24.75,41.88
28.06.2020,26.41,44.88
29.06.2020,26.18,55.75
30.06.2020,24.69,60.62
01.07.2020,24.84,47.88
02.07.2020,25.54,49.75
03.07.2020,27.24,42.25
04.07.2020,26.16,56.5
05.07.2020,23.68,71.25
06.07.2020,26.0,55.0
07.07.2020,21.11,75.0
08.07.2020,17.91,55.12
09.07.2020,20.48,51.12
10.07.2020,23.64,53.88
11.07.2020,24.5,46.12
12.07.2020,21.93,57.88
13.07.2020,16.05,62.88
14.07.2020,17.41,50.25
15.07.2020,19.91,46.38
16.07.2020,19.23,62.38
17.07.2020,22.19,55.5
18.07.2020,24.0,42.25
19.07.2020,22.99,53.12
20.07.2020,20.78,66.12
21.07.2020,23.68,55.88
22.07.2020,23.14,46.38
23.07.2020,22.86,46.38
24.07.2020,21.71,67.5
25.07.2020,24.07,51.88
26.07.2020,25.86,38.62
27.07.2020,26.39,40.5
28.07.2020,26.18,47.0
29.07.2020,28.02,40.5
30.07.2020,27.71,49.75
31.07.2020,22.11,66.62
01.08.2020,19.98,55.62
02.08.2020,20.64,49.38
03.08.2020,21.91,46.12
04.08.2020,22.56,50.25
05.08.2020,24.09,43.12
06.08.2020,27.12,30.62
07.08.2020,28.51,34.38
08.08.2020,27.04,42.25
09.08.2020,24.4,41.0
10.08.2020,25.06,40.75
11.08.2020,25.12,43.62
12.08.2020,24.55,43.62
13.08.2020,20.91,39.62
14.08.2020,21.62,40.5
15.08.2020,21.2,57.38
16.08.2020,21.64,60.38
17.08.2020,23.4,43.88
18.08.2020,23.62,35.38
19.08.2020,23.84,41.25
20.08.2020,23.74,44.62
21.08.2020,25.66,49.0
22.08.2020,24.77,46.38
23.08.2020,22.75,54.88
24.08.2020,23.65,58.5
25.08.2020,22.96,65.0
26.08.2020,20.59,57.75
27.08.2020,23.21,44.75
28.08.2020,22.23,43.75
29.08.2020,23.94,45.75
30.08.2020,24.12,57.38
31.08.2020,25.4,44.5
