Date,Temp,Humidity
03.04.2020,6.35,48.5
04.04.2020,4.92,53.75
05.04.2020,6.58,49.29
06.04.2020,11.5,32.83
07.04.2020,13.4,37.42
08.04.2020,12.59,45.12
09.04.2020,13.62,46.54
10.04.2020,8.97,54.62
11.04.2020,8.66,36.12
12.04.2020,11.76,35.54
13.04.2020,8.4,59.21
14.04.2020,3.65,50.21
15.04.2020,5.46,60.33
16.04.2020,10.68,51.95
17.04.2020,8.68,45.92
18.04.2020,6.95,42.5
19.04.2020,6.62,50.58
20.04.2020,8.49,48.67
21.04.2020,10.45,43.08
22.04.2020,12.02,45.67
23.04.2020,12.56,41.79
24.04.2020,13.93,44.5
25.04.2020,10.37,55.0
26.04.2020,8.76,50.21
27.04.2020,11.92,44.21
28.04.2020,15.94,41.5
29.04.2020,11.51,65.62
30.04.2020,10.76,72.75
01.05.2020,11.0,84.79
02.05.2020,11.77,76.12
03.05.2020,10.43,77.42
04.05.2020,11.55,65.83
05.05.2020,8.12,82.38
06.05.2020,8.78,81.33
07.05.2020,10.46,61.62
08.05.2020,13.25,56.88
09.05.2020,14.44,57.46
10.05.2020,17.35,56.25
11.05.2020,16.81,72.33
12.05.2020,5.8,66.33
13.05.2020,8.98,56.5
14.05.2020,9.88,69.79
15.05.2020,10.16,61.38
16.05.2020,10.38,56.08
17.05.2020,11.85,57.42
18.05.2020,13.1,63.54
19.05.2020,13.27,79.08
20.05.2020,10.85,65.83
21.05.2020,9.37,50.12
22.05.2020,10.01,51.75
23.05.2020,12.65,57.33
24.05.2020,12.8,74.0
25.05.2020,12.25,78.5
26.05.2020,13.45,75.0
27.05.2020,14.63,64.04
28.05.2020,15.23,62.92
29.05.2020,14.53,54.75
30.05.2020,12.14,69.5
31.05.2020,16.2,62.62
01.06.2020,15.46,47.5
02.06.2020,14.35,59.17
03.06.2020,12.62,68.42
04.06.2020,14.76,61.88
05.06.2020,16.32,77.75
06.06.2020,18.2,66.62
07.06.2020,19.73,78.17
08.06.2020,16.74,86.21
09.06.2020,15.17,87.0
10.06.2020,17.75,89.21
11.06.2020,20.84,79.04
12.06.2020,24.04,68.54
13.06.2020,22.99,71.92
14.06.2020,17.63,68.96
15.06.2020,17.62,65.08
16.06.2020,19.34,59.92
17.06.2020,20.19,75.42
18.06.2020,20.32,85.67
19.06.2020,21.01,79.46
20.06.2020,20.09,87.38
21.06.2020,19.81,90.0
22.06.2020,19.37,92.79
23.06.2020,18.37,74.54
24.06.2020,18.58,92.0
25.06.2020,22.74,71.75
26.06.2020,22.05,68.83
27.06.2020,21.07,77.29
28.06.2020,24.35,70.33
29.06.2020,20.75,83.5
30.06.2020,19.28,68.71
01.07.2020,21.38,59.0
02.07.2020,22.03,72.5
03.07.2020,20.74,75.25
04.07.2020,20.55,65.17
05.07.2020,22.95,61.62
06.07.2020,21.22,73.29
07.07.2020,15.93,62.17
08.07.2020,14.6,68.46
09.07.2020,16.86,69.46
10.07.2020,21.4,76.08
11.07.2020,14.98,86.92
12.07.2020,15.5,68.75
13.07.2020,15.28,72.38
14.07.2020,17.93,67.5
15.07.2020,20.07,60.96
16.07.2020,16.72,84.58
17.07.2020,16.68,82.54
18.07.2020,21.78,66.04
19.07.2020,22.58,62.42
20.07.2020,21.17,72.83
21.07.2020,18.06,70.17
22.07.2020,17.19,56.12
23.07.2020,15.77,67.79
24.07.2020,18.57,63.29
25.07.2020,20.67,61.75
26.07.2020,21.95,56.75
27.07.2020,22.62,64.62
28.07.2020,23.99,64.17
29.07.2020,21.15,65.12
30.07.2020,19.15,55.67
31.07.2020,18.41,59.08
01.08.2020,18.75,65.58
02.08.2020,20.73,51.79
03.08.2020,19.92,71.46
04.08.2020,17.35,95.25
05.08.2020,18.0,71.42
06.08.2020,21.96,61.04
07.08.2020,24.92,59.08
08.08.2020,25.89,55.12
09.08.2020,24.68,60.88
10.08.2020,24.52,58.46
11.08.2020,23.63,55.67
12.08.2020,20.89,50.83
13.08.2020,21.7,50.33
14.08.2020,22.65,45.88
15.08.2020,22.54,45.12
16.08.2020,21.94,44.46
17.08.2020,22.16,54.38
18.08.2020,21.51,73.58
19.08.2020,19.68,75.42
20.08.2020,21.56,62.33
21.08.2020,23.09,52.75
22.08.2020,23.41,70.79
23.08.2020,19.82,83.75
24.08.2020,19.55,67.79
25.08.2020,17.92,71.04
26.08.2020,18.13,68.17
27.08.2020,16.33,82.67
28.08.2020,16.36,79.67
29.08.2020,17.59,87.08
30.08.2020,17.27,93.88
31.08.2020,16.56,89.54
