Date,Temp,Humidity
03.04.2020,14.43,64.54
04.04.2020,15.49,72.28
05.04.2020,15.87,91.33
06.04.2020,14.92,97.71
07.04.2020,16.52,87.71
08.04.2020,15.84,87.42
09.04.2020,15.88,91.0
10.04.2020,16.54,81.96
11.04.2020,15.57,77.83
12.04.2020,15.96,76.08
13.04.2020,13.52,76.0
14.04.2020,14.21,80.17
15.04.2020,14.02,84.83
16.04.2020,14.96,88.17
17.04.2020,15.96,77.17
18.04.2020,15.47,77.33
19.04.2020,14.97,73.71
20.04.2020,13.62,81.88
21.04.2020,14.22,79.33
22.04.2020,15.79,67.61
23.04.2020,15.31,78.0
24.04.2020,16.39,74.71
25.04.2020,15.47,69.62
26.04.2020,14.34,74.83
27.04.2020,14.67,76.77
28.04.2020,15.23,71.21
29.04.2020,15.28,82.92
30.04.2020,16.41,79.83
01.05.2020,17.95,80.54
02.05.2020,18.46,77.04
03.05.2020,21.85,65.17
04.05.2020,18.47,79.57
05.05.2020,17.93,78.75
06.05.2020,16.77,81.17
07.05.2020,19.35,69.71
08.05.2020,17.48,74.58
09.05.2020,16.23,78.25
10.05.2020,16.05,81.52
11.05.2020,16.32,82.83
12.05.2020,15.8,81.25
13.05.2020,14.36,87.88
14.05.2020,13.48,89.88
15.05.2020,16.49,78.83
16.05.2020,18.49,68.54
17.05.2020,20.39,57.46
18.05.2020,20.77,59.21
19.05.2020,20.41,62.52
20.05.2020,18.74,69.05
21.05.2020,19.42,66.83
22.05.2020,20.07,75.04
23.05.2020,21.32,60.04
24.05.2020,21.44,67.75
25.05.2020,21.82,66.22
26.05.2020,24.45,60.79
27.05.2020,25.28,56.3
28.05.2020,25.12,56.54
29.05.2020,25.48,53.8
30.05.2020,22.74,67.39
31.05.2020,21.92,65.26
01.06.2020,21.67,67.55
02.06.2020,20.43,71.0
03.06.2020,20.85,68.57
04.06.2020,20.63,67.33
05.06.2020,19.54,64.25
06.06.2020,18.45,66.73
07.06.2020,18.16,65.5
08.06.2020,17.9,58.83
09.06.2020,18.5,64.33
10.06.2020,17.95,65.57
11.06.2020,17.34,74.0
12.06.2020,16.84,70.9
13.06.2020,18.52,64.65
14.06.2020,18.83,63.0
15.06.2020,19.07,66.26
16.06.2020,19.94,72.74
17.06.2020,18.92,65.14
18.06.2020,18.99,64.14
19.06.2020,19.2,65.0
20.06.2020,20.88,67.0
21.06.2020,21.89,66.25
22.06.2020,25.01,61.05
23.06.2020,22.64,68.91
24.06.2020,20.48,71.71
25.06.2020,19.65,71.08
26.06.2020,20.27,68.26
27.06.2020,21.49,77.04
28.06.2020,22.41,72.17
29.06.2020,22.05,68.04
30.06.2020,21.28,72.54
01.07.2020,21.58,71.08
02.07.2020,20.16,64.35
03.07.2020,19.23,61.08
04.07.2020,23.2,54.92
05.07.2020,26.62,51.12
06.07.2020,26.68,53.17
07.07.2020,25.02,58.54
08.07.2020,20.45,71.79
09.07.2020,21.53,72.42
10.07.2020,22.41,63.57
11.07.2020,24.54,60.65
12.07.2020,25.63,57.48
13.07.2020,28.67,46.5
14.07.2020,23.82,55.79
15.07.2020,26.49,48.87
16.07.2020,32.13,26.39
17.07.2020,30.91,31.21
18.07.2020,26.62,50.74
19.07.2020,20.01,76.47
20.07.2020,25.79,53.87
21.07.2020,27.81,47.04
22.07.2020,26.4,55.79
23.07.2020,24.48,59.88
24.07.2020,22.17,59.39
25.07.2020,23.38,60.52
26.07.2020,23.37,64.79
27.07.2020,22.35,65.88
28.07.2020,22.77,72.09
29.07.2020,23.52,67.55
30.07.2020,23.79,65.04
31.07.2020,23.35,58.33
01.08.2020,23.16,66.75
02.08.2020,20.95,67.33
03.08.2020,21.18,70.83
04.08.2020,23.17,63.29
05.08.2020,25.09,55.52
06.08.2020,25.38,55.58
07.08.2020,25.14,60.61
08.08.2020,19.58,81.5
09.08.2020,21.69,68.17
10.08.2020,21.3,70.83
11.08.2020,21.19,75.33
12.08.2020,20.65,81.75
13.08.2020,20.43,69.9
14.08.2020,22.13,61.94
15.08.2020,21.71,64.82
16.08.2020,22.75,65.71
17.08.2020,23.85,71.88
18.08.2020,24.48,67.29
19.08.2020,23.07,74.44
20.08.2020,21.64,91.78
21.08.2020,23.85,58.73
22.08.2020,24.61,50.13
23.08.2020,24.91,53.33
24.08.2020,28.23,46.86
25.08.2020,26.51,52.27
26.08.2020,27.18,59.0
27.08.2020,24.81,68.43
28.08.2020,21.71,59.33
29.08.2020,21.06,53.86
30.08.2020,22.41,42.57
31.08.2020,25.97,26.33
