Date,Temp,Humidity
03.04.2020,9.45,54.17
04.04.2020,11.41,50.29
05.04.2020,13.48,41.67
06.04.2020,12.79,32.46
07.04.2020,12.32,29.29
08.04.2020,13.7,34.96
09.04.2020,14.68,42.04
10.04.2020,16.22,40.04
11.04.2020,15.28,42.62
12.04.2020,16.39,39.64
13.04.2020,19.27,38.04
14.04.2020,9.36,71.42
15.04.2020,7.16,66.21
16.04.2020,13.17,47.33
17.04.2020,17.23,47.04
18.04.2020,19.99,40.42
19.04.2020,19.09,50.08
20.04.2020,14.23,47.88
21.04.2020,11.86,52.96
22.04.2020,12.84,51.83
23.04.2020,14.74,40.38
24.04.2020,15.44,43.75
25.04.2020,17.62,42.25
26.04.2020,12.88,62.71
27.04.2020,15.55,57.12
28.04.2020,20.05,46.0
29.04.2020,18.08,62.25
30.04.2020,16.45,70.46
01.05.2020,15.92,70.21
02.05.2020,12.9,89.46
03.05.2020,13.34,66.91
04.05.2020,13.09,61.55
05.05.2020,15.85,59.58
06.05.2020,12.26,63.5
07.05.2020,14.58,52.33
08.05.2020,15.73,52.22
09.05.2020,19.89,47.33
10.05.2020,21.65,49.5
11.05.2020,23.27,36.21
12.05.2020,17.84,48.12
13.05.2020,19.6,49.33
14.05.2020,22.4,61.62
15.05.2020,18.4,81.62
16.05.2020,16.42,62.17
17.05.2020,17.97,74.58
18.05.2020,18.38,73.04
19.05.2020,20.5,70.58
20.05.2020,16.8,82.46
21.05.2020,16.2,51.04
22.05.2020,15.52,46.42
23.05.2020,17.91,57.29
24.05.2020,15.82,69.46
25.05.2020,14.92,65.0
26.05.2020,11.8,93.33
27.05.2020,13.89,78.08
28.05.2020,15.3,68.42
29.05.2020,15.05,74.46
30.05.2020,13.9,85.5
31.05.2020,13.84,71.21
01.06.2020,12.32,91.3
02.06.2020,13.85,80.04
03.06.2020,15.08,77.5
04.06.2020,20.69,59.21
05.06.2020,21.6,52.67
06.06.2020,21.18,64.04
07.06.2020,23.1,60.5
08.06.2020,20.81,74.25
09.06.2020,19.39,75.38
10.06.2020,18.95,80.96
11.06.2020,17.5,80.75
12.06.2020,19.83,69.62
13.06.2020,23.44,58.67
14.06.2020,24.12,58.75
15.06.2020,19.69,82.58
16.06.2020,19.3,82.67
17.06.2020,18.84,82.96
18.06.2020,20.49,79.12
19.06.2020,21.79,64.62
20.06.2020,19.76,74.04
21.06.2020,16.63,88.83
22.06.2020,17.82,94.75
23.06.2020,19.22,84.62
24.06.2020,21.26,66.42
25.06.2020,22.85,61.88
26.06.2020,25.71,61.04
27.06.2020,27.23,51.62
28.06.2020,27.42,46.54
29.06.2020,27.6,54.75
30.06.2020,22.75,62.54
01.07.2020,26.84,50.62
02.07.2020,28.03,60.5
03.07.2020,25.45,73.12
04.07.2020,23.16,70.71
05.07.2020,25.12,61.12
06.07.2020,25.73,55.65
07.07.2020,18.81,70.38
08.07.2020,19.87,62.67
09.07.2020,23.23,54.88
10.07.2020,26.64,49.75
11.07.2020,27.89,43.54
12.07.2020,18.72,72.58
13.07.2020,19.49,53.75
14.07.2020,19.52,55.21
15.07.2020,21.62,57.17
16.07.2020,23.12,59.83
17.07.2020,18.43,80.08
18.07.2020,17.81,82.83
19.07.2020,17.81,84.21
20.07.2020,21.28,70.58
21.07.2020,24.17,64.58
22.07.2020,25.86,60.21
23.07.2020,25.12,65.04
24.07.2020,24.29,72.96
25.07.2020,21.13,83.17
26.07.2020,21.2,83.71
27.07.2020,23.93,69.46
28.07.2020,25.48,56.79
29.07.2020,27.52,53.79
30.07.2020,27.87,57.38
31.07.2020,29.05,58.33
01.08.2020,26.45,51.54
02.08.2020,24.81,45.83
03.08.2020,27.07,47.71
04.08.2020,27.62,48.43
05.08.2020,19.88,89.67
06.08.2020,23.76,68.64
07.08.2020,24.84,62.21
08.08.2020,24.42,73.12
09.08.2020,25.2,67.5
10.08.2020,25.35,66.91
11.08.2020,26.78,63.92
12.08.2020,25.53,64.79
13.08.2020,25.7,57.08
14.08.2020,26.62,61.08
15.08.2020,22.79,81.54
16.08.2020,22.8,76.18
17.08.2020,24.74,64.67
18.08.2020,22.29,76.88
19.08.2020,21.79,75.58
20.08.2020,22.82,68.38
21.08.2020,24.24,62.33
22.08.2020,25.85,58.75
23.08.2020,25.5,62.17
24.08.2020,23.66,64.75
25.08.2020,19.92,78.54
26.08.2020,22.34,63.12
27.08.2020,22.7,55.0
28.08.2020,25.33,40.58
29.08.2020,28.35,47.12
30.08.2020,29.25,45.04
31.08.2020,27.77,50.26
