Date,Temp,Humidity
03.04.2020,9.15,66.0
04.04.2020,10.8,62.0
05.04.2020,12.65,71.5
06.04.2020,14.2,82.5
07.04.2020,14.23,89.0
08.04.2020,16.2,70.33
09.04.2020,13.83,70.0
10.04.2020,12.47,92.67
11.04.2020,15.17,69.67
12.04.2020,15.27,51.67
13.04.2020,12.93,70.67
14.04.2020,13.8,76.0
15.04.2020,13.1,82.33
16.04.2020,13.43,84.0
17.04.2020,14.2,75.0
18.04.2020,15.97,68.0
19.04.2020,13.77,81.67
20.04.2020,13.17,70.33
21.04.2020,11.53,78.33
22.04.2020,14.47,68.0
23.04.2020,16.33,71.33
24.04.2020,17.2,64.0
25.04.2020,17.07,63.33
26.04.2020,15.57,78.67
27.04.2020,13.27,70.67
28.04.2020,12.8,66.67
29.04.2020,13.57,64.33
30.04.2020,14.33,68.33
01.05.2020,16.33,73.67
02.05.2020,19.77,60.33
03.05.2020,21.77,56.33
04.05.2020,22.67,49.33
05.05.2020,18.03,43.0
06.05.2020,18.93,42.67
07.05.2020,21.37,41.33
08.05.2020,21.93,46.33
09.05.2020,18.3,58.0
10.05.2020,14.63,62.0
11.05.2020,15.1,68.0
12.05.2020,12.97,84.33
13.05.2020,14.53,68.33
14.05.2020,11.77,82.67
15.05.2020,13.5,80.33
16.05.2020,15.47,65.0
17.05.2020,17.67,49.67
18.05.2020,22.0,40.75
19.05.2020,22.53,43.0
20.05.2020,23.4,35.0
21.05.2020,23.73,38.67
22.05.2020,25.63,45.0
23.05.2020,26.83,41.67
24.05.2020,24.6,43.0
25.05.2020,23.17,58.33
26.05.2020,23.1,53.75
27.05.2020,24.13,42.33
28.05.2020,23.47,35.67
29.05.2020,24.7,36.0
30.05.2020,25.77,33.33
31.05.2020,21.83,53.0
01.06.2020,23.03,54.67
02.06.2020,24.2,44.33
03.06.2020,23.1,43.67
04.06.2020,19.07,46.67
05.06.2020,21.77,41.0
06.06.2020,22.47,40.67
07.06.2020,20.3,50.33
08.06.2020,18.13,38.33
09.06.2020,18.6,37.33
10.06.2020,20.0,38.0
11.06.2020,20.13,44.0
12.06.2020,15.63,47.0
13.06.2020,17.47,52.33
14.06.2020,20.4,42.67
15.06.2020,21.47,44.0
16.06.2020,20.13,44.67
17.06.2020,20.67,40.67
18.06.2020,22.6,35.33
19.06.2020,24.53,39.0
20.06.2020,26.27,27.0
21.06.2020,27.77,28.33
22.06.2020,28.5,34.67
23.06.2020,30.17,35.33
24.06.2020,27.87,37.67
25.06.2020,28.6,35.67
26.06.2020,25.27,35.33
27.06.2020,26.2,39.0
28.06.2020,28.4,36.33
29.06.2020,30.43,31.0
30.06.2020,31.1,34.0
01.07.2020,29.03,30.67
02.07.2020,27.67,32.67
03.07.2020,25.53,39.0
04.07.2020,27.6,29.33
05.07.2020,29.9,31.0
06.07.2020,31.53,35.33
07.07.2020,31.27,22.67
08.07.2020,29.8,28.67
09.07.2020,26.63,36.67
10.07.2020,26.97,40.67
11.07.2020,30.03,35.33
12.07.2020,27.17,58.33
13.07.2020,28.07,40.67
14.07.2020,27.07,31.0
15.07.2020,26.53,36.67
16.07.2020,27.57,34.0
17.07.2020,29.33,22.67
18.07.2020,28.4,29.33
19.07.2020,29.63,27.67
20.07.2020,30.43,24.33
21.07.2020,29.63,37.33
22.07.2020,27.83,42.67
23.07.2020,30.53,29.67
24.07.2020,30.93,33.33
25.07.2020,30.4,28.67
26.07.2020,32.2,21.67
27.07.2020,33.17,26.0
28.07.2020,30.33,36.33
29.07.2020,32.1,32.67
30.07.2020,32.57,27.33
31.07.2020,31.7,26.33
01.08.2020,31.53,19.67
02.08.2020,29.0,35.33
03.08.2020,27.13,34.33
04.08.2020,26.67,37.33
05.08.2020,29.4,32.33
06.08.2020,31.57,33.33
07.08.2020,32.27,31.33
08.08.2020,30.9,32.33
09.08.2020,31.97,27.0
10.08.2020,27.33,43.33
11.08.2020,19.57,80.67
12.08.2020,21.67,64.33
13.08.2020,24.57,49.0
14.08.2020,26.6,42.33
15.08.2020,24.27,29.33
16.08.2020,22.53,41.33
17.08.2020,23.17,48.33
18.08.2020,24.83,52.33
19.08.2020,26.53,38.67
20.08.2020,27.2,22.67
21.08.2020,26.87,54.67
22.08.2020,26.8,41.0
23.08.2020,27.2,33.33
24.08.2020,27.3,42.67
25.08.2020,29.27,32.67
26.08.2020,30.07,29.67
27.08.2020,30.53,35.33
28.08.2020,27.53,34.67
29.08.2020,19.13,40.0
30.08.2020,18.07,42.33
31.08.2020,19.13,41.33
