Date,Temp,Humidity
03.04.2020,6.21,61.71
04.04.2020,6.77,66.69
05.04.2020,8.54,66.02
06.04.2020,9.35,63.19
07.04.2020,10.94,61.06
08.04.2020,11.56,61.27
09.04.2020,11.38,64.25
10.04.2020,11.83,62.69
11.04.2020,12.06,65.1
12.04.2020,12.96,62.15
13.04.2020,13.38,61.15
14.04.2020,8.73,52.17
15.04.2020,8.35,59.79
16.04.2020,11.56,64.88
17.04.2020,13.46,66.0
18.04.2020,14.38,68.62
19.04.2020,14.92,70.67
20.04.2020,14.88,66.02
21.04.2020,11.04,74.0
22.04.2020,12.25,67.17
23.04.2020,12.75,60.35
24.04.2020,13.58,60.56
25.04.2020,15.58,62.04
26.04.2020,13.19,84.17
27.04.2020,14.48,75.75
28.04.2020,12.1,86.08
29.04.2020,11.52,72.65
30.04.2020,9.48,87.71
01.05.2020,10.27,81.38
02.05.2020,10.73,82.52
03.05.2020,10.92,81.17
04.05.2020,15.53,73.4
05.05.2020,12.92,93.67
06.05.2020,11.69,85.1
07.05.2020,12.29,74.44
08.05.2020,16.38,73.83
09.05.2020,18.19,68.79
10.05.2020,17.79,79.73
11.05.2020,12.68,85.57
12.05.2020,6.75,79.77
13.05.2020,9.7,91.91
14.05.2020,10.11,87.13
15.05.2020,10.06,81.88
16.05.2020,11.67,79.23
17.05.2020,13.92,69.08
18.05.2020,14.83,67.56
19.05.2020,15.79,70.35
20.05.2020,17.0,65.19
21.05.2020,16.75,65.81
22.05.2020,18.0,67.73
23.05.2020,14.21,84.35
24.05.2020,12.31,72.67
25.05.2020,13.87,67.6
26.05.2020,14.45,63.49
27.05.2020,13.92,63.33
28.05.2020,15.27,61.06
29.05.2020,14.6,55.71
30.05.2020,13.92,62.58
31.05.2020,14.1,62.4
01.06.2020,15.65,62.9
02.06.2020,17.04,61.33
03.06.2020,16.54,68.19
04.06.2020,14.17,87.66
05.06.2020,13.5,74.23
06.06.2020,16.83,67.81
07.06.2020,12.12,86.79
08.06.2020,12.33,84.56
09.06.2020,11.73,89.94
10.06.2020,12.92,89.48
11.06.2020,15.23,81.51
12.06.2020,17.71,73.83
13.06.2020,14.77,85.58
14.06.2020,13.85,93.35
15.06.2020,15.42,89.77
16.06.2020,16.48,80.7
17.06.2020,14.29,92.4
18.06.2020,14.21,83.38
19.06.2020,14.1,87.04
20.06.2020,15.27,80.69
21.06.2020,18.02,73.21
22.06.2020,19.44,71.15
23.06.2020,19.88,69.67
24.06.2020,20.62,67.52
25.06.2020,21.23,69.38
26.06.2020,21.5,73.31
27.06.2020,21.46,74.1
28.06.2020,19.94,80.4
29.06.2020,17.69,81.71
30.06.2020,18.83,71.69
01.07.2020,21.06,74.25
02.07.2020,19.5,78.83
03.07.2020,16.44,81.79
04.07.2020,18.42,71.75
05.07.2020,20.42,72.62
06.07.2020,19.0,64.94
07.07.2020,16.46,63.46
08.07.2020,18.5,64.77
09.07.2020,21.42,62.0
10.07.2020,21.88,63.92
11.07.2020,17.9,77.71
12.07.2020,17.15,71.21
13.07.2020,17.73,69.19
14.07.2020,18.73,63.98
15.07.2020,17.21,76.83
16.07.2020,16.9,81.52
17.07.2020,16.5,86.96
18.07.2020,16.98,71.75
19.07.2020,18.33,68.17
20.07.2020,20.46,65.12
21.07.2020,20.44,78.44
22.07.2020,20.81,82.17
23.07.2020,21.12,74.83
24.07.2020,17.33,89.06
25.07.2020,19.83,72.42
26.07.2020,20.69,68.31
27.07.2020,21.88,65.92
28.07.2020,23.83,67.94
29.07.2020,22.25,73.96
30.07.2020,22.88,72.21
31.07.2020,25.56,66.33
01.08.2020,24.17,70.23
02.08.2020,19.52,89.54
03.08.2020,15.15,97.0
04.08.2020,13.19,91.96
05.08.2020,15.17,78.67
06.08.2020,18.38,77.85
07.08.2020,20.92,72.46
08.08.2020,22.38,70.33
09.08.2020,22.54,71.17
10.08.2020,22.25,75.33
11.08.2020,23.56,71.69
12.08.2020,23.53,70.49
13.08.2020,21.27,74.85
14.08.2020,19.7,88.49
15.08.2020,20.6,78.79
16.08.2020,20.95,75.91
17.08.2020,19.28,84.38
18.08.2020,18.15,85.31
19.08.2020,19.62,79.62
20.08.2020,23.71,71.25
21.08.2020,23.85,69.06
22.08.2020,20.42,79.48
23.08.2020,19.29,69.56
24.08.2020,17.21,70.1
25.08.2020,17.29,71.52
26.08.2020,20.67,60.29
27.08.2020,17.54,73.31
28.08.2020,16.29,85.48
29.08.2020,14.35,95.4
30.08.2020,11.4,96.12
31.08.2020,13.75,83.81
