Date,Temp,Humidity
03.04.2020,10.65,55.02
04.04.2020,11.04,61.42
05.04.2020,15.19,45.44
06.04.2020,14.79,56.54
07.04.2020,12.96,60.65
08.04.2020,14.5,63.52
09.04.2020,14.08,65.54
10.04.2020,13.69,69.92
11.04.2020,15.83,62.02
12.04.2020,17.65,50.92
13.04.2020,9.02,56.6
14.04.2020,8.15,55.23
15.04.2020,10.1,62.58
16.04.2020,12.27,66.33
17.04.2020,11.12,70.52
18.04.2020,10.29,78.85
19.04.2020,11.71,62.5
20.04.2020,12.27,55.54
21.04.2020,13.35,52.15
22.04.2020,14.19,53.19
23.04.2020,14.65,57.9
24.04.2020,14.25,57.77
25.04.2020,10.38,71.79
26.04.2020,13.46,58.9
27.04.2020,13.83,59.23
28.04.2020,9.04,88.92
29.04.2020,11.02,77.85
30.04.2020,10.33,76.54
01.05.2020,11.33,69.5
02.05.2020,12.58,58.44
03.05.2020,12.94,64.19
04.05.2020,12.72,68.19
05.05.2020,11.08,62.65
06.05.2020,11.56,63.9
07.05.2020,15.65,59.21
08.05.2020,18.17,50.0
09.05.2020,17.85,53.27
10.05.2020,12.73,64.35
11.05.2020,8.62,51.55
12.05.2020,10.25,51.67
13.05.2020,9.52,54.33
14.05.2020,8.91,58.93
15.05.2020,13.0,51.62
16.05.2020,13.79,50.25
17.05.2020,15.69,50.54
18.05.2020,17.9,47.15
19.05.2020,20.0,54.06
20.05.2020,21.94,49.29
21.05.2020,22.25,48.65
22.05.2020,19.23,48.58
23.05.2020,15.46,52.17
24.05.2020,17.06,56.23
25.05.2020,19.91,49.22
26.05.2020,20.52,46.42
27.05.2020,18.52,58.81
28.05.2020,16.25,56.69
29.05.2020,16.46,55.46
30.05.2020,17.62,54.6
31.05.2020,18.38,49.1
01.06.2020,18.58,55.17
02.06.2020,19.17,50.04
03.06.2020,16.67,67.5
04.06.2020,13.47,64.91
05.06.2020,13.5,57.27
06.06.2020,11.38,69.25
07.06.2020,13.44,73.5
08.06.2020,13.0,65.81
09.06.2020,14.71,56.77
10.06.2020,13.69,78.1
11.06.2020,15.06,79.85
12.06.2020,16.98,79.67
13.06.2020,18.88,65.81
14.06.2020,19.06,64.12
15.06.2020,19.29,61.12
16.06.2020,19.52,62.85
17.06.2020,18.69,67.71
18.06.2020,16.83,78.92
19.06.2020,16.9,70.12
20.06.2020,18.19,63.46
21.06.2020,18.79,60.27
22.06.2020,18.56,56.12
23.06.2020,21.67,54.79
24.06.2020,23.42,55.9
25.06.2020,24.1,55.98
26.06.2020,23.1,62.52
27.06.2020,18.02,71.67
28.06.2020,16.5,62.73
29.06.2020,16.62,54.48
30.06.2020,16.77,74.58
01.07.2020,18.17,69.9
02.07.2020,16.88,74.62
03.07.2020,17.31,68.0
04.07.2020,18.42,79.81
05.07.2020,18.81,57.44
06.07.2020,16.75,54.21
07.07.2020,17.17,59.52
08.07.2020,17.42,88.15
09.07.2020,18.06,83.4
10.07.2020,16.02,65.77
11.07.2020,16.65,55.31
12.07.2020,18.81,51.79
13.07.2020,20.42,48.9
14.07.2020,18.36,67.26
15.07.2020,17.42,64.38
16.07.2020,19.33,66.73
17.07.2020,23.19,54.27
18.07.2020,20.94,58.08
19.07.2020,17.88,69.98
20.07.2020,17.31,54.85
21.07.2020,17.71,50.23
22.07.2020,20.21,47.47
23.07.2020,20.52,52.52
24.07.2020,20.75,64.33
25.07.2020,18.85,80.42
26.07.2020,18.12,71.12
27.07.2020,18.62,77.33
28.07.2020,17.71,55.92
29.07.2020,18.79,51.85
30.07.2020,22.58,45.23
31.07.2020,25.91,52.0
01.08.2020,22.1,57.0
02.08.2020,19.79,53.94
03.08.2020,18.83,54.5
04.08.2020,19.21,56.35
05.08.2020,21.33,54.62
06.08.2020,23.5,65.1
07.08.2020,26.65,49.06
08.08.2020,25.79,54.6
09.08.2020,24.19,64.15
10.08.2020,25.62,62.58
11.08.2020,26.77,60.58
12.08.2020,26.42,62.58
13.08.2020,23.17,72.19
14.08.2020,18.87,88.26
15.08.2020,19.28,93.64
16.08.2020,20.55,83.86
17.08.2020,19.58,75.85
18.08.2020,20.44,70.19
19.08.2020,19.38,88.31
20.08.2020,21.81,60.53
21.08.2020,21.04,62.04
22.08.2020,19.4,62.71
23.08.2020,18.58,64.25
24.08.2020,17.85,72.83
25.08.2020,18.65,76.1
26.08.2020,19.08,59.02
27.08.2020,16.56,76.42
28.08.2020,15.56,79.83
29.08.2020,13.69,78.69
30.08.2020,14.6,67.0
31.08.2020,14.31,64.06
