"# Weather station Lisbon, Portugal, WMO_ID=8579,selection from 03.04.2020 till 01.09.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=8579&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Lisbon,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,20.5,753.0,762.1,0.4,33,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,3.6,No precipitation,1,,,,
31.08.2020 22:00,21.0,753.0,762.1,0.5,32,Wind blowing from the north,3,,,, ,,,,,,,,,,,3.8,No precipitation,1,,,,
31.08.2020 21:00,22.2,752.9,762.0,0.4,31,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,4.1,No precipitation,12,,,,
31.08.2020 20:00,23.3,752.6,761.7,-0.2,32,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,5.5,No precipitation,1,,,,
31.08.2020 19:00,25.1,752.5,761.5,-0.2,24,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,3.3,No precipitation,1,,,,
31.08.2020 18:00,27.5,752.5,761.3,-0.6,21,Wind blowing from the north-west,5,,,, ,,,,32.1,,,,,,,3.0,No precipitation,12,,,,
31.08.2020 17:00,29.1,752.8,761.5,-0.6,22,Wind blowing from the north-west,6,,,, ,,,,,,,,,,,5.1,No precipitation,1,,,,
31.08.2020 16:00,30.0,752.7,761.4,-1.2,19,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,3.7,No precipitation,1,,,,
31.08.2020 15:00,31.5,753.1,761.7,-1.1,16,Wind blowing from the west,3,,,, ,,,,,,,,,,,2.5,No precipitation,1,,,,
31.08.2020 14:00,31.9,753.4,762.0,-1.0,14,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,1.7,No precipitation,1,,,,
31.08.2020 13:00,30.3,753.9,762.6,-0.5,15,Wind blowing from the east,3,,,, ,,,,,,,,,,,1.1,No precipitation,1,,,,
31.08.2020 12:00,28.2,754.2,763.0,,24,Wind blowing from the east,2,,,, ,,,,,,,,,,,5.8,No precipitation,6,,,,
31.08.2020 11:00,26.5,754.4,763.3,,30,Wind blowing from the east-northeast,3,,,, ,,,,,,,,,,,7.6,No precipitation,1,,,,
31.08.2020 10:00,24.5,754.4,763.3,,30,Wind blowing from the east-northeast,5,,,, ,,,,,,,,,,,6.0,No precipitation,1,,,,
31.08.2020 00:00,18.0,753.4,762.7,0.3,52,Wind blowing from the north,3,,,, ,,,,,,,,,,,7.8,No precipitation,6,,,,
30.08.2020 23:00,18.1,753.5,762.7,1.0,52,Wind blowing from the north,3,,,, ,,,,,,,,,,,8.1,No precipitation,1,,,,
30.08.2020 22:00,18.1,753.5,762.7,1.5,52,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,8.1,No precipitation,1,,,,
30.08.2020 21:00,18.6,753.1,762.4,1.5,50,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,7.8,No precipitation,12,,,,
30.08.2020 20:00,19.1,752.5,761.7,0.9,51,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,8.7,No precipitation,1,,,,
30.08.2020 19:00,20.4,752.0,761.1,0.4,45,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,8.0,No precipitation,1,,,,
30.08.2020 18:00,22.6,751.6,760.6,-0.1,41,Wind blowing from the north-northwest,6,,,, ,,,,27.5,,,,,,,8.6,No precipitation,12,,,,
30.08.2020 17:00,24.1,751.6,760.5,-0.3,39,Wind blowing from the north,6,,,, ,,,,,,,,,,,9.3,No precipitation,1,,,,
30.08.2020 16:00,25.6,751.6,760.4,,34,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,8.7,No precipitation,1,,,,
30.08.2020 15:00,26.2,751.7,760.5,-0.6,33,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,8.5,No precipitation,1,,,,
30.08.2020 14:00,26.1,751.9,760.6,-0.6,34,Wind blowing from the north,5,,,, ,,,,,,,,,,,8.8,No precipitation,1,,,,
30.08.2020 13:00,26.8,,,,29,Wind blowing from the east,3,,,, ,,,,,,,,,,,7.4,No precipitation,1,,,,
30.08.2020 12:00,25.6,752.3,761.2,,32,Wind blowing from the east,3,,,, ,,,,,,,,,,,7.6,No precipitation,6,,,,
30.08.2020 11:00,25.2,752.5,761.3,,32,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,7.1,No precipitation,1,,,,
30.08.2020 00:00,17.2,752.3,761.5,0.6,72,Wind blowing from the north,3,,,, ,,,,,,,,,,,12.1,No precipitation,6,,,,
29.08.2020 23:00,17.6,752.2,761.4,1.0,72,Wind blowing from the north,5,,,, ,,,,,,,,,,,12.4,No precipitation,1,,,,
29.08.2020 22:00,18.1,751.9,761.1,1.2,69,Wind blowing from the north,6,,,, ,,,,,,,,,,,12.2,No precipitation,1,,,,
29.08.2020 21:00,18.1,751.7,760.9,1.0,69,Wind blowing from the north,7,,,, ,,,,,,,,,,,12.2,No precipitation,12,,,,
29.08.2020 20:00,18.4,751.2,760.3,0.8,68,Wind blowing from the north,7,,,, ,,,,,,,,,,,12.4,No precipitation,1,,,,
29.08.2020 19:00,19.3,750.7,759.9,0.0,63,Wind blowing from the north,8,,,, ,,,,,,,,,,,12.0,No precipitation,1,,,,
29.08.2020 18:00,20.9,750.7,759.7,-0.1,53,Wind blowing from the north,7,,,, ,,,,24.9,,,,,,,11.0,No precipitation,12,,,,
29.08.2020 17:00,21.6,750.4,759.4,-0.7,50,Wind blowing from the north,9,,,, ,,,,,,,,,,,10.6,No precipitation,1,,,,
29.08.2020 16:00,23.7,750.7,759.6,-0.6,45,Wind blowing from the north,6,,,, ,,,,,,,,,,,10.9,No precipitation,1,,,,
29.08.2020 15:00,23.9,750.8,759.7,-0.5,43,Wind blowing from the north,6,,,, ,,,,,,,,,,,10.4,No precipitation,1,,,,
29.08.2020 14:00,24.1,751.1,760.0,-0.3,36,Wind blowing from the north,6,,,, ,,,,,,,,,,,8.1,No precipitation,1,,,,
29.08.2020 13:00,23.9,751.3,760.1,,38,Wind blowing from the north-northeast,7,,,, ,,,,,,,,,,,8.6,No precipitation,1,,,,
29.08.2020 12:00,24.0,751.3,760.2,,36,Wind blowing from the north-northeast,6,,,, ,,,,,,,,,,,7.9,No precipitation,6,,,,
29.08.2020 11:00,23.2,751.4,760.3,,42,Wind blowing from the north-northeast,6,,,, ,,,,,,,,,,,9.6,No precipitation,1,,,,
29.08.2020 00:00,18.1,751.5,760.7,-0.4,70,Wind blowing from the north,5,,,, ,,,,,,,,,,,12.6,No precipitation,6,,,,
28.08.2020 23:00,18.0,751.6,760.8,0.0,70,Wind blowing from the north,5,,,, ,,,,,,,,,,,12.4,No precipitation,1,,,,
28.08.2020 22:00,18.2,751.8,760.9,0.5,70,Wind blowing from the north,4,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
28.08.2020 21:00,18.5,751.9,761.0,0.6,69,Wind blowing from the north,4,,,, ,,,,,,,,,,,12.6,No precipitation,12,,,,
28.08.2020 20:00,18.9,751.6,760.7,0.1,66,Wind blowing from the north,5,,,, ,,,,,,,,,,,12.3,No precipitation,1,,,,
28.08.2020 19:00,19.8,751.3,760.4,-0.3,60,Wind blowing from the north,6,,,, ,,,,,,,,,,,11.7,No precipitation,1,,,,
28.08.2020 18:00,21.0,751.3,760.4,-0.3,59,Wind blowing from the north,7,,,, ,,,,26.3,,,,,,,12.7,No precipitation,12,,,,
28.08.2020 17:00,22.6,751.5,760.5,-0.4,49,Wind blowing from the north-northwest,7,,,, ,,,,,,,,,,,11.2,No precipitation,1,,,,
28.08.2020 16:00,24.0,751.6,760.4,-0.9,42,Wind blowing from the north,6,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
28.08.2020 15:00,24.2,751.6,760.5,-1.2,49,Wind blowing from the north-northwest,6,,,, ,,,,,,,,,,,12.8,No precipitation,1,,,,
28.08.2020 14:00,25.1,751.9,760.7,-1.2,44,Wind blowing from the north,5,,,, ,,,,,,,,,,,12.1,No precipitation,1,,,,
28.08.2020 13:00,25.5,752.5,761.3,-0.7,42,Wind blowing from the north,5,,,, ,,,,,,,,,,,11.6,No precipitation,1,,,,
28.08.2020 12:00,24.7,752.8,761.7,,47,Wind blowing from the north,4,,,, ,,,,,,,,,,,12.5,No precipitation,6,,,,
28.08.2020 11:00,22.7,753.1,762.1,,65,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,15.8,No precipitation,1,,,,
28.08.2020 10:00,21.4,753.2,762.2,,77,Wind blowing from the north,5,,,, ,,,,,,,,,,,17.2,No precipitation,1,,,,
28.08.2020 00:00,21.1,754.3,763.4,-0.7,81,Wind blowing from the north,5,,,, ,,,,,,,,,,,17.6,No precipitation,6,,,,
27.08.2020 23:00,21.4,754.6,763.7,-0.1,81,Wind blowing from the north,5,,,, ,,,,,,,,,,,17.9,No precipitation,1,,,,
27.08.2020 22:00,21.6,754.7,763.8,0.4,80,Wind blowing from the north,5,,,, ,,,,,,,,,,,18.0,No precipitation,1,,,,
27.08.2020 21:00,21.7,755.0,764.1,0.5,79,Wind blowing from the north,5,,,, ,,,,,,,,,,,17.9,No precipitation,12,,,,
27.08.2020 20:00,21.9,754.7,763.9,0.1,78,Wind blowing from the north,6,,,, ,,,,,,,,,,,17.8,No precipitation,1,,,,
27.08.2020 19:00,22.6,754.3,763.3,-0.2,76,Wind blowing from the north,5,,,, ,,,,,,,,,,,18.2,No precipitation,1,,,,
27.08.2020 18:00,23.9,754.5,763.5,-0.1,70,Wind blowing from the north,7,,,, ,,,,31.0,,,,,,,18.0,No precipitation,12,,,,
27.08.2020 17:00,25.2,754.6,763.5,-0.3,67,Wind blowing from the north-northwest,7,,,, ,,,,,,,,,,,18.6,No precipitation,1,,,,
27.08.2020 16:00,26.8,754.5,763.3,-0.8,61,Wind blowing from the north-northwest,8,,,, ,,,,,,,,,,,18.7,No precipitation,1,,,,
27.08.2020 15:00,26.9,754.6,763.5,-1.1,60,Wind blowing from the north,8,,,, ,,,,,,,,,,,18.5,No precipitation,1,,,,
27.08.2020 14:00,28.4,754.9,763.7,-1.2,56,Wind blowing from the north-northwest,7,,,, ,,,,,,,,,,,18.8,No precipitation,1,,,,
27.08.2020 13:00,29.1,755.3,764.1,,53,Wind blowing from the north-northwest,6,,,, ,,,,,,,,,,,18.7,No precipitation,1,,,,
27.08.2020 12:00,29.3,755.7,764.5,,51,Wind blowing from the north,5,,,, ,,,,,,,,,,,18.1,No precipitation,6,,,,
27.08.2020 11:00,27.3,756.1,764.9,,60,Wind blowing from the north,5,,,, ,,,,,,,,,,,18.8,No precipitation,1,,,,
27.08.2020 00:00,21.3,756.1,765.1,0.2,86,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,18.9,No precipitation,6,,,,
26.08.2020 23:00,21.3,756.1,765.3,0.8,86,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,18.8,No precipitation,1,,,,
26.08.2020 22:00,21.5,756.2,765.4,1.3,85,Wind blowing from the north,4,,,, ,,,,,,,,,,,18.8,No precipitation,1,,,,
26.08.2020 21:00,22.0,755.9,765.0,1.3,80,Wind blowing from the north,5,,,, ,,,,,,,,,,,18.4,No precipitation,12,,,,
26.08.2020 20:00,23.9,755.3,764.3,0.6,70,Wind blowing from the north,4,,,, ,,,,,,,,,,,18.0,No precipitation,1,,,,
26.08.2020 19:00,25.7,754.9,763.8,0.1,63,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,18.0,No precipitation,1,,,,
26.08.2020 18:00,28.2,754.6,763.5,-0.3,53,Wind blowing from the north-northwest,4,,,, ,,,,34.4,,,,,,,17.6,No precipitation,12,,,,
