# Weather station Belgrade, Serbia, WMO_ID=13274,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=13274&lang=en
#
"Local time in Belgrade";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.08.2020 23:00";"23.7";"742.4";"753.7";"";"57";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"14.7";"";"";"";"";"";"";
"31.08.2020 22:00";"25.0";"742.9";"754.1";"-1.8";"51";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"14.1";"";"";"";"";"";"";
"31.08.2020 21:00";"25.2";"743.5";"754.7";"";"50";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"30.0";"13.9";"";"";"";"";"";"";
"31.08.2020 20:00";"25.9";"744.0";"755.2";"";"48";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"14.1";"";"";"";"";"";"";
"31.08.2020 19:00";"26.6";"744.7";"755.9";"-1.3";"46";"Wind blowing from the north-northeast";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"13.9";"No precipitation";"12";"";"";"";"";
"31.08.2020 18:00";"28.1";"745.1";"756.3";"";"45";"Wind blowing from the north-northeast";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"15.1";"";"";"";"";"";"";
"31.08.2020 17:00";"29.3";"745.6";"756.7";"";"43";"Wind blowing from the north-northeast";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.5";"";"";"";"";"";"";
"31.08.2020 16:00";"30.8";"746.0";"757.1";"-1.5";"42";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.3";"";"";"";"";"";"";
"31.08.2020 15:00";"33.9";"746.5";"757.4";"";"36";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"16.9";"";"";"";"";"";"";
"31.08.2020 14:00";"34.3";"746.8";"757.8";"";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.9";"";"";"";"";"";"";
"31.08.2020 13:00";"33.6";"747.5";"758.5";"-0.7";"36";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.4";"No precipitation";"6";"";"";"";"";
"31.08.2020 12:00";"32.7";"748.0";"758.9";"";"40";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"17.3";"";"";"";"";"";"";
"31.08.2020 11:00";"31.4";"748.2";"759.3";"";"43";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"17.3";"";"";"";"";"";"";
"31.08.2020 10:00";"30.4";"748.2";"759.4";"0.2";"45";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"17.0";"";"";"";"";"";"";
"31.08.2020 09:00";"29.2";"748.2";"759.4";"";"46";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.5";"";"";"";"";"";"";
