# Weather station Madrid / Cuatro Vientos (airport), Spain, WMO_ID=8223,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=8223&lang=en
#
"Local time in Madrid / Cuatro Vientos (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.08.2020 19:00";"24.1";"703.4";"760.6";"";"26";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"25.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"3.4";"No precipitation";"12";"";"";"";"";
"31.08.2020 13:00";"21.9";"705.7";"763.5";"";"30";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altostratus translucidus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"3.6";"No precipitation";"6";"";"";"";"";
"31.08.2020 07:00";"11.4";"705.9";"765.9";"";"68";"Wind blowing from the north";"3";"";"";"40%.";" ";"";"";"10.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"5.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"10.0";"";"";
"30.08.2020 19:00";"20.8";"702.5";"760.3";"";"32";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"24.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"3.5";"No precipitation";"12";"";"";"";"";
"30.08.2020 13:00";"21.0";"702.9";"760.6";"";"35";"Wind blowing from the east-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.0";"No precipitation";"6";"";"";"";"";
"30.08.2020 07:00";"12.4";"702.4";"761.9";"";"60";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"30.0";"4.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"10.0";"";"";
"29.08.2020 19:00";"20.4";"698.6";"756.1";"";"37";"Wind blowing from the north";"4";"";"";"60%.";" ";"";"";"";"24.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"5.2";"No precipitation";"12";"";"";"";"";
"29.08.2020 13:00";"21.6";"698.1";"755.2";"";"35";"Wind blowing from the west-northwest";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"5.5";"No precipitation";"6";"";"";"";"";
"29.08.2020 07:00";"15.4";"697.5";"755.9";"";"48";"Wind blowing from the north-northeast";"3";"";"";"50%.";" ";"";"";"14.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"1000-1500";"Altocumulus castellanus or floccus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"4.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"28.08.2020 19:00";"29.0";"695.8";"751.3";"";"19";"Wind blowing from the north-west";"5";"";"";"20–30%.";" ";"";"";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"3.1";"No precipitation";"12";"";"";"";"";
