# Weather station London City (airport), UK, METAR=EGLC,selection from 03.04.2020 till 01.09.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGLC&lang=en
#
"Local time in London City (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.08.2020 23:50";"12.0";"766.2";"766.6";"82";"Wind blowing from the north";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 23:20";"12.0";"766.2";"766.6";"82";"Wind blowing from the north-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 22:50";"13.0";"766.2";"766.6";"77";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 22:20";"13.0";"765.4";"765.8";"72";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 21:50";"13.0";"765.4";"765.8";"72";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 21:20";"14.0";"765.4";"765.8";"63";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"31.08.2020 20:50";"14.0";"765.4";"765.8";"63";"Wind blowing from the north";"1";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"31.08.2020 20:20";"15.0";"765.4";"765.8";"63";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 19:50";"16.0";"765.4";"765.8";"52";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"6.0";
"31.08.2020 19:20";"16.0";"765.4";"765.8";"52";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"6.0";
"31.08.2020 18:50";"16.0";"765.4";"765.8";"52";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"6.0";
"31.08.2020 18:20";"17.0";"765.4";"765.8";"45";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 17:50";"17.0";"765.4";"765.8";"45";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 17:20";"17.0";"765.4";"765.8";"45";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 16:50";"17.0";"765.4";"765.8";"42";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"31.08.2020 16:20";"17.0";"765.4";"765.8";"42";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"31.08.2020 15:50";"17.0";"765.4";"765.8";"45";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 15:20";"17.0";"766.2";"766.6";"45";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 14:50";"17.0";"765.4";"765.8";"45";"Wind blowing from the west-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 14:20";"17.0";"766.2";"766.6";"42";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"31.08.2020 13:50";"18.0";"766.2";"766.6";"43";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 13:20";"18.0";"766.2";"766.6";"43";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 12:50";"17.0";"766.2";"766.6";"45";"Wind blowing from the north";"3";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"31.08.2020 12:20";"17.0";"766.2";"766.6";"45";"Wind blowing from the north";"2";"";"";"";"Broken clouds (60-90%) 1470 m";"10.0 and more";"5.0";
"31.08.2020 11:50";"16.0";"766.2";"766.6";"48";"Wind blowing from the north-northwest";"3";"";"";"";"Scattered clouds (40-50%) 1320 m";"10.0 and more";"5.0";
"31.08.2020 11:20";"16.0";"766.2";"766.6";"45";"Wind blowing from the north-west";"3";"";"";"";"Broken clouds (60-90%) 1110 m";"10.0 and more";"4.0";
"31.08.2020 10:50";"16.0";"766.2";"766.6";"55";"Wind blowing from the north-west";"3";"";"";"";"Scattered clouds (40-50%) 1080 m";"10.0 and more";"7.0";
"31.08.2020 10:20";"15.0";"766.2";"766.6";"59";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 990 m, broken clouds (60-90%) 1260 m";"10.0 and more";"7.0";
"31.08.2020 09:50";"15.0";"766.2";"766.6";"68";"Wind blowing from the east-northeast";"2";"";"";"";"Scattered clouds (40-50%) 720 m";"10.0 and more";"9.0";
"31.08.2020 09:20";"15.0";"766.2";"766.6";"68";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 08:50";"14.0";"766.9";"767.3";"72";"Wind blowing from the north";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 08:20";"13.0";"766.9";"767.3";"77";"Wind blowing from the north-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 07:50";"13.0";"766.2";"766.6";"77";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 07:20";"12.0";"766.2";"766.6";"82";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
