Local time in Tirana (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
31.08.2020 23:50,24.0,754.0,756.9,74,variable wind direction,1,,,,Scattered clouds (40-50%) 600 m broken clouds (60-90%) 3900 m,10.0 and more,19.0,
31.08.2020 23:20,24.0,754.0,756.9,78,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,20.0,
31.08.2020 22:50,23.0,754.0,756.9,74,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,18.0,
31.08.2020 22:20,24.0,753.3,756.2,69,Wind blowing from the south-east,1,,,,No Significant Clouds,10.0 and more,18.0,
31.08.2020 21:50,24.0,753.3,756.2,69,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,18.0,
31.08.2020 21:20,23.0,753.3,756.2,78,Wind blowing from the south-southwest,2,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 20:50,23.0,753.3,756.2,78,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 20:20,23.0,754.0,756.9,78,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 19:50,25.0,754.0,756.9,74,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,20.0,
31.08.2020 19:20,25.0,754.0,756.9,74,Wind blowing from the south-east,1,,,,No Significant Clouds,10.0 and more,20.0,
31.08.2020 18:50,26.0,754.1,756.9,65,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 18:20,26.0,754.1,756.9,65,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 17:50,28.0,754.1,756.9,58,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 17:20,29.0,754.1,756.9,55,Wind blowing from the north-northwest,1,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 16:50,31.0,754.1,756.9,49,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 16:20,32.0,754.9,757.7,49,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,20.0,
31.08.2020 15:50,33.0,754.9,757.7,46,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,20.0,
31.08.2020 15:20,33.0,754.1,756.9,44,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 14:50,33.0,754.9,757.7,41,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,18.0,
31.08.2020 14:20,33.0,754.9,757.7,38,Wind blowing from the north-northwest,6,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 13:50,36.0,754.1,756.9,32,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 13:20,36.0,754.1,756.9,30,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,16.0,
