Local time in Vienna,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,16.0,744.9,760.6,0.3,81,Wind blowing from the north-northwest,3,,,,Precipitation ,Precipitation,Precipitation,,,,,,,,,12.8,2.0,1,,,,
31.08.2020 22:00,16.7,744.9,760.6,-0.5,77,Wind blowing from the north-northwest,2,,,,Precipitation ,Precipitation,,,,,,,,,,12.7,2.0,3,,,,
31.08.2020 21:00,18.0,744.6,760.2,-1.0,66,Wind blowing from the north-northwest,4,,,,Precipitation ,Precipitation,,,,,,,,,,11.6,0.2,1,,,,
31.08.2020 20:00,18.8,744.6,760.2,-1.5,61,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,11.1,,,,,,
31.08.2020 19:00,19.2,745.4,760.9,-0.8,58,Wind blowing from the north-northwest,3,,20,, ,,,16.2,20.7,,,,,,,10.7,No precipitation,12,,,,
31.08.2020 18:00,19.5,745.6,761.2,-1.0,55,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,10.3,,,,,,
31.08.2020 17:00,19.8,746.1,761.6,-1.2,53,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,9.9,,,,,,
31.08.2020 16:00,20.1,746.2,761.8,-1.5,53,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,10.1,,,,,,
31.08.2020 15:00,20.0,746.6,762.1,-0.3,52,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,9.9,,,,,,
31.08.2020 14:00,20.0,747.3,762.8,0.0,53,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,10.2,,,,,,
31.08.2020 13:00,20.0,747.7,763.3,0.9,56,Wind blowing from the west-northwest,3,,20,, ,,,,,,,,,,,11.0,No precipitation,6,,,,
31.08.2020 12:00,19.9,746.9,762.4,0.8,54,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,10.4,,,,,,
31.08.2020 11:00,18.9,747.3,762.9,1.4,56,Wind blowing from the west-northwest,8,,13,, ,,,,,,,,,,,10.0,,,,,,
31.08.2020 10:00,19.0,746.8,762.4,2.1,55,Wind blowing from the west,6,,20,, ,,,,,,,,,,,9.7,,,,,,
31.08.2020 09:00,18.1,746.1,761.8,2.0,56,Wind blowing from the west-northwest,10,,18,, ,,,,,,,,,,,9.2,,,,,,
31.08.2020 08:00,17.1,745.9,761.5,2.3,60,Wind blowing from the west,9,,20,, ,,,,,,,,,,,9.2,,,,,,
31.08.2020 07:00,16.2,744.7,760.5,1.5,63,Wind blowing from the west,9,,23,, ,,,16.0,22.3,,,,,,,9.1,No precipitation,12,,,,
31.08.2020 06:00,16.1,744.1,759.8,0.6,64,Wind blowing from the west,12,,20,, ,,,,,,,,,,,9.3,,,,,,
31.08.2020 05:00,16.1,743.6,759.3,0.7,64,Wind blowing from the west,9,,23,, ,,,,,,,,,,,9.3,,,,,,
31.08.2020 04:00,16.3,743.2,758.9,0.5,62,Wind blowing from the west,9,,21,, ,,,,,,,,,,,9.0,,,,,,
31.08.2020 03:00,16.4,743.5,759.1,1.1,66,Wind blowing from the west,7,,18,, ,,,,,,,,,,,9.9,,,,,,
31.08.2020 02:00,17.0,742.9,758.5,1.1,64,Wind blowing from the west,9,,21,, ,,,,,,,,,,,10.2,,,,,,
