Local time in Berlin / Tempelhof,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,14.8,759.1,763.6,,78,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,10.9,,,,,,
31.08.2020 22:00,14.1,759.1,763.5,,83,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,11.2,,,,,,
31.08.2020 21:00,15.3,758.9,763.3,,76,Wind blowing from the north,2,,,, ,,,,,,,,,,,11.1,,,,,,
31.08.2020 20:00,15.7,759.2,763.6,,77,Wind blowing from the east,1,,,, ,,,,,,,,,,,11.7,,,,,,
31.08.2020 19:00,17.8,758.6,763.0,,68,Wind blowing from the south-east,1,,,, ,,,15.5,22.9,,,,,,,11.7,Trace of precipitation,12,,,,
31.08.2020 18:00,19.1,758.2,762.6,,59,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,10.8,,,,,,
31.08.2020 17:00,19.8,758.2,762.5,,62,Wind blowing from the north-east,4,,,, ,,,,,,,,,,,12.2,,,,,,
31.08.2020 16:00,20.2,758.1,762.4,,49,Wind blowing from the north-northeast,4,,,, ,,,,,,,,,,,9.0,,,,,,
31.08.2020 15:00,21.0,757.6,761.9,,53,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,11.0,,,,,,
31.08.2020 14:00,21.2,757.6,761.9,,49,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,10.1,,,,,,
31.08.2020 13:00,21.4,757.6,761.8,,51,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,10.7,Trace of precipitation,6,,,,
31.08.2020 12:00,20.0,757.4,761.7,,56,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,10.8,,,,,,
31.08.2020 11:00,20.2,757.0,761.3,,61,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,12.3,,,,,,
31.08.2020 10:00,18.8,756.7,761.1,,75,Wind blowing from the north-northwest,3,,,, ,,,15.3,,,,,,,,14.3,,,,,,
31.08.2020 09:00,17.3,756.2,760.6,,85,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,14.8,,,,,,
31.08.2020 08:00,16.4,755.8,760.1,,91,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,14.9,,,,,,
31.08.2020 07:00,15.5,755.2,759.5,,91,Wind blowing from the west-northwest,4,,,, ,,,15.3,17.5,,,,,,,14.1,7.0,12,,,,
31.08.2020 06:00,15.4,754.7,759.1,,92,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,14.1,,,,,,
31.08.2020 05:00,15.4,754.2,758.5,,93,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,14.2,,,,,,
31.08.2020 04:00,15.5,753.8,758.2,,92,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,14.2,,,,,,
31.08.2020 03:00,15.4,753.6,757.9,,94,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,14.4,,,,,,
31.08.2020 02:00,15.5,753.3,757.6,,94,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,14.5,,,,,,
