Local time in Budapest / Lorinc (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,16.3,746.5,758.9,0.7,88,Wind blowing from the west,8,,,, ,,,,,,,,,,,14.3,,,,,,
31.08.2020 22:00,16.2,743.5,755.8,-2.8,88,Wind blowing from the north-northeast,4,,7,, ,,,,,,,,,,,14.2,,,,,,
31.08.2020 21:00,16.2,746.4,758.8,-0.9,92,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,14.9,,,,,,
31.08.2020 20:00,19.2,745.8,758.0,-2.1,63,Wind blowing from the north,3,,,, ,,,,,,,,,,,12.0,,,,,,
31.08.2020 19:00,19.8,746.3,758.5,-1.7,59,Wind blowing from the north-northwest,4,,7,, ,,,,24.2,,,,,,,11.6,No precipitation,12,,,,
31.08.2020 18:00,20.5,747.3,759.5,-2.1,56,Wind blowing from the north,3,,,, ,,,,,,,,,,,11.4,,,,,,
31.08.2020 17:00,21.7,747.9,760.0,-1.7,53,Wind blowing from the north,3,,,, ,,,,,,,,,,,11.7,,,,,,
31.08.2020 16:00,22.5,748.0,760.1,-1.8,51,Wind blowing from the north,2,,,, ,,,,,,,,,,,11.9,,,,,,
31.08.2020 15:00,21.9,749.4,761.5,-0.1,50,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,11.0,,,,,,
31.08.2020 14:00,22.7,749.6,761.8,0.4,46,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,10.5,,,,,,
31.08.2020 13:00,23.1,749.8,761.9,0.4,44,Wind blowing from the west-northwest,3,,7,, ,,,,,,,,,,,10.2,No precipitation,6,,,,
31.08.2020 12:00,23.6,749.5,761.6,0.6,42,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,10.0,,,,,,
31.08.2020 11:00,22.7,749.2,761.4,0.9,44,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,9.8,,,,,,
31.08.2020 10:00,21.8,749.4,761.6,1.3,47,Wind blowing from the north-west,4,,9,, ,,,,,,,,,,,10.0,,,,,,
31.08.2020 09:00,20.8,748.9,761.2,1.2,50,Wind blowing from the north-west,5,,,, ,,,,,,,,,,,10.0,,,,,,
31.08.2020 08:00,20.0,748.3,760.6,1.3,54,Wind blowing from the north-west,5,,,, ,,,,,,,,,,,10.4,,,,,,
31.08.2020 07:00,19.2,748.1,760.4,1.6,63,Wind blowing from the north-northwest,5,,10,, ,,,18.4,,,,,,,,12.0,No precipitation,12,,,,
31.08.2020 06:00,18.6,747.7,760.0,1.7,67,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,12.4,,,,,,
31.08.2020 05:00,19.1,747.0,759.3,1.5,67,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.8,,,,,,
31.08.2020 04:00,19.7,746.5,758.8,1.3,66,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,13.2,,,,,,
31.08.2020 03:00,21.8,746.0,758.2,1.1,68,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,15.6,,,,,,
31.08.2020 02:00,21.3,745.5,757.6,0.8,69,Wind blowing from the west,2,,,, ,,,,,,,,,,,15.4,,,,,,
31.08.2020 01:00,21.7,745.2,757.3,0.8,68,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,15.5,No precipitation,6,,,,
31.08.2020 00:00,23.9,744.9,756.9,1.3,59,Wind blowing from the west,2,,,, ,,,,,,,,,,,15.4,,,,,,
30.08.2020 23:00,24.7,744.7,756.7,1.1,55,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,15.1,,,,,,
30.08.2020 22:00,25.9,744.4,756.4,1.2,50,Wind blowing from the south-west,2,,8,, ,,,,,,,,,,,14.7,,,,,,
30.08.2020 21:00,26.7,743.6,755.5,0.3,52,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,16.0,,,,,,
