Local time in Bern / Liebefeld,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,13.2,715.5,763.9,0.5,83,Wind blowing from the south,2,,,, ,,,,,,,,,,,10.3,No precipitation,1,,,,
31.08.2020 22:00,12.9,715.4,763.9,0.6,91,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,11.4,No precipitation,1,,,,
31.08.2020 21:00,13.5,715.3,763.6,0.6,82,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,10.5,No precipitation,1,,,,
31.08.2020 20:00,14.3,715.0,763.2,0.4,77,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
31.08.2020 19:00,14.9,714.8,762.8,0.4,72,Wind blowing from the north-northeast,1,,,, ,,,,18.6,,,,,,,9.8,No precipitation,12,,,,
31.08.2020 18:00,15.9,714.7,762.5,0.0,69,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
31.08.2020 17:00,16.4,714.6,762.4,-0.1,67,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
31.08.2020 16:00,17.5,714.4,762.0,-0.5,63,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,10.4,No precipitation,1,,,,
31.08.2020 15:00,18.0,714.7,762.1,-0.5,56,Wind blowing from the north,2,,,, ,,,,,,,,,,,9.0,No precipitation,1,,,,
31.08.2020 14:00,18.1,714.7,762.2,-0.6,59,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,10.0,No precipitation,1,,,,
31.08.2020 13:00,17.1,714.9,762.5,-0.4,54,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,7.7,No precipitation,6,,,,
31.08.2020 12:00,16.1,715.2,763.0,-0.1,62,Wind blowing from the north-east,3,,,, ,,,,,,,,,,,8.8,No precipitation,1,,,,
31.08.2020 11:00,15.4,715.3,763.3,-0.3,72,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,10.3,No precipitation,1,,,,
31.08.2020 10:00,14.4,715.3,763.5,0.3,76,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,10.2,No precipitation,1,,,,
31.08.2020 09:00,12.6,715.3,763.8,0.0,81,Wind blowing from the north-west,0,,,, ,,,,,,,,,,,9.4,No precipitation,1,,,,
31.08.2020 08:00,11.8,715.6,764.2,0.6,89,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,10.1,No precipitation,1,,,,
31.08.2020 07:00,10.8,715.0,763.9,0.2,89,Wind blowing from the south,1,,,, ,,,10.2,,,,,,,,9.0,0.7,12,,,,
31.08.2020 06:00,10.6,715.3,764.1,0.5,92,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.3,No precipitation,1,,,,
31.08.2020 05:00,10.7,715.0,763.8,0.3,91,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.3,No precipitation,1,,,,
31.08.2020 04:00,10.5,714.8,763.6,-0.2,93,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.4,No precipitation,1,,,,
31.08.2020 03:00,10.7,714.8,763.6,-0.3,93,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.6,No precipitation,1,,,,
31.08.2020 02:00,10.7,714.7,763.6,-0.3,92,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.5,No precipitation,1,,,,
31.08.2020 01:00,10.9,715.0,763.7,0.0,91,Wind blowing from the south,1,,,, ,,,,,,,,,,,9.4,0.7,6,,,,
31.08.2020 00:00,10.9,715.1,763.9,0.4,89,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,9.1,No precipitation,1,,,,
30.08.2020 23:00,10.6,715.0,763.9,0.8,89,Wind blowing from the south,2,,,, ,,,,,,,,,,,8.9,No precipitation,1,,,,
30.08.2020 22:00,10.4,715.0,763.9,1.4,91,Wind blowing from the south,2,,,, ,,,,,,,,,,,9.0,0.1,1,,,,
30.08.2020 21:00,10.3,714.7,763.6,1.5,92,Wind blowing from the south,2,,,, ,,,,,,,,,,,9.0,0.5,1,,,,
30.08.2020 20:00,10.3,714.2,763.0,1.2,91,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,8.8,0.1,1,,,,
30.08.2020 19:00,10.6,713.6,762.4,1.1,86,Wind blowing from the south,2,,,, ,,,,11.7,,,,,,,8.4,25.0,12,,,,
30.08.2020 18:00,10.5,713.2,761.9,0.8,90,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,8.9,0.1,1,,,,
30.08.2020 17:00,10.7,713.0,761.7,0.9,84,Wind blowing from the south,3,,,, ,,,,,,,,,,,8.1,No precipitation,1,,,,
30.08.2020 16:00,10.3,712.5,761.2,1.1,86,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,8.0,No precipitation,1,,,,
30.08.2020 15:00,9.3,712.4,761.3,1.9,90,Wind blowing from the south-southeast,5,,,, ,,,,,,,,,,,7.7,0.6,1,,,,
30.08.2020 14:00,9.1,712.1,761.0,1.8,90,Wind blowing from the south,5,,,, ,,,,,,,,,,,7.6,1.0,1,,,,
30.08.2020 13:00,10.0,711.4,760.0,2.1,91,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,8.5,23.0,6,,,,
30.08.2020 12:00,10.6,710.5,759.1,1.8,94,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,9.7,5.0,1,,,,
30.08.2020 11:00,10.6,710.3,758.8,2.2,95,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,9.9,6.0,1,,,,
30.08.2020 10:00,10.9,709.3,757.6,1.4,95,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,10.1,3.0,1,,,,
30.08.2020 09:00,11.3,708.7,757.0,1.1,95,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,10.5,5.0,1,,,,
30.08.2020 08:00,11.5,708.1,756.4,0.7,94,Wind blowing from the south,1,,,, ,,,,,,,,,,,10.5,2.0,1,,,,
30.08.2020 07:00,11.6,707.9,756.1,0.5,94,Wind blowing from the west,1,,,, ,,,11.8,,,,,,,,10.6,12.0,12,,,,
30.08.2020 06:00,12.1,707.6,755.7,0.3,95,Wind blowing from the west,1,,,, ,,,,,,,,,,,11.3,2.0,1,,,,
30.08.2020 05:00,12.7,707.4,755.3,-0.1,94,Wind blowing from the west,2,,,, ,,,,,,,,,,,11.8,2.0,1,,,,
30.08.2020 04:00,13.0,707.4,755.2,-0.5,97,Wind blowing from the west,2,,,, ,,,,,,,,,,,12.5,2.0,1,,,,
30.08.2020 03:00,13.1,707.3,755.2,-0.2,96,Wind blowing from the north,1,,,, ,,,,,,,,,,,12.4,0.8,1,,,,
30.08.2020 02:00,13.1,707.5,755.3,0.0,96,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,12.5,1.0,1,,,,
30.08.2020 01:00,13.2,707.9,755.8,0.3,96,Wind blowing from the west,1,,,, ,,,,,,,,,,,12.6,3.0,6,,,,
30.08.2020 00:00,13.3,707.5,755.3,-0.6,96,Wind blowing from the north,2,,,, ,,,,,,,,,,,12.7,0.2,1,,,,
29.08.2020 23:00,13.2,707.5,755.4,-0.4,96,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,12.6,0.1,1,,,,
29.08.2020 22:00,13.2,707.6,755.5,0.0,96,Wind blowing from the north,2,,,, ,,,,,,,,,,,12.6,0.2,1,,,,
29.08.2020 21:00,13.1,708.1,756.0,0.6,96,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,12.4,0.4,1,,,,
29.08.2020 20:00,13.3,707.9,755.8,0.2,94,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.4,0.6,1,,,,
29.08.2020 19:00,13.8,707.6,755.4,-0.1,93,Wind blowing from the north-northeast,3,,,, ,,,,15.1,,,,,,,12.6,0.1,12,,,,
29.08.2020 18:00,14.0,707.5,755.2,-0.3,93,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.8,No precipitation,1,,,,
29.08.2020 17:00,14.3,707.7,755.3,-0.2,91,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.8,No precipitation,1,,,,
29.08.2020 16:00,14.6,707.7,755.3,-0.2,86,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,12.3,No precipitation,1,,,,
