Date,Temp,Humidity
03.04.2020,9.62,72.65
04.04.2020,14.19,60.38
05.04.2020,15.0,45.56
06.04.2020,16.08,39.83
07.04.2020,15.46,33.92
08.04.2020,12.58,54.15
09.04.2020,12.81,60.96
10.04.2020,13.48,65.44
11.04.2020,14.9,62.21
12.04.2020,15.17,66.4
13.04.2020,14.9,54.29
14.04.2020,12.44,65.88
15.04.2020,12.36,50.45
16.04.2020,11.85,63.23
17.04.2020,12.65,70.73
18.04.2020,13.33,73.96
19.04.2020,16.1,72.83
20.04.2020,16.57,80.13
21.04.2020,16.56,82.85
22.04.2020,13.65,81.38
23.04.2020,12.96,75.27
24.04.2020,13.35,73.48
25.04.2020,14.56,62.81
26.04.2020,15.31,68.88
27.04.2020,15.81,72.88
28.04.2020,16.87,69.55
29.04.2020,17.19,77.06
30.04.2020,17.06,76.85
01.05.2020,16.6,71.35
02.05.2020,15.44,83.85
03.05.2020,16.65,73.75
04.05.2020,15.35,55.33
05.05.2020,16.19,62.73
06.05.2020,15.79,68.33
07.05.2020,15.1,59.46
08.05.2020,15.83,61.38
09.05.2020,16.81,60.44
10.05.2020,16.02,61.12
11.05.2020,18.4,60.67
12.05.2020,20.29,59.92
13.05.2020,20.75,57.29
14.05.2020,24.28,52.4
15.05.2020,24.32,49.89
16.05.2020,22.62,64.27
17.05.2020,23.69,59.35
18.05.2020,22.94,65.75
19.05.2020,24.21,64.54
20.05.2020,22.62,67.48
21.05.2020,18.96,67.44
22.05.2020,18.25,52.21
23.05.2020,18.9,58.06
24.05.2020,20.44,62.62
25.05.2020,19.28,58.98
26.05.2020,15.57,64.7
27.05.2020,17.31,55.5
28.05.2020,17.4,61.21
29.05.2020,17.92,60.12
30.05.2020,17.29,67.23
31.05.2020,16.25,78.1
01.06.2020,16.69,72.77
02.06.2020,18.13,66.38
03.06.2020,18.42,62.5
04.06.2020,20.48,54.79
05.06.2020,18.77,66.73
06.06.2020,19.42,76.48
07.06.2020,20.83,71.66
08.06.2020,20.4,75.23
09.06.2020,21.73,68.67
10.06.2020,21.15,70.44
11.06.2020,19.74,68.13
12.06.2020,19.65,66.96
13.06.2020,20.56,72.9
14.06.2020,21.87,67.62
15.06.2020,21.62,67.9
16.06.2020,20.83,73.68
17.06.2020,19.58,83.69
18.06.2020,21.31,72.31
19.06.2020,21.94,67.31
20.06.2020,22.15,68.7
21.06.2020,21.73,69.33
22.06.2020,21.67,70.35
23.06.2020,22.57,74.57
24.06.2020,24.79,64.42
25.06.2020,24.58,66.44
26.06.2020,25.42,67.15
27.06.2020,25.71,67.23
28.06.2020,25.48,65.29
29.06.2020,25.31,68.67
30.06.2020,25.9,67.12
01.07.2020,27.06,66.71
02.07.2020,27.17,64.75
03.07.2020,27.38,64.52
04.07.2020,26.79,67.31
05.07.2020,25.44,67.35
06.07.2020,24.81,67.4
07.07.2020,25.75,56.83
08.07.2020,23.5,58.12
09.07.2020,24.23,61.35
10.07.2020,25.62,56.0
11.07.2020,25.94,58.54
12.07.2020,25.79,64.15
13.07.2020,24.75,56.67
14.07.2020,22.77,59.1
15.07.2020,22.88,58.12
16.07.2020,22.96,62.75
17.07.2020,23.12,67.6
18.07.2020,22.85,73.04
19.07.2020,21.79,62.38
20.07.2020,21.92,63.44
21.07.2020,24.4,62.85
22.07.2020,25.75,58.15
23.07.2020,26.06,59.79
24.07.2020,26.23,63.29
25.07.2020,26.06,68.0
26.07.2020,24.58,69.19
27.07.2020,25.48,62.5
28.07.2020,25.77,58.42
29.07.2020,26.56,56.88
30.07.2020,27.98,55.72
31.07.2020,27.9,62.6
01.08.2020,27.88,66.25
02.08.2020,28.3,54.6
03.08.2020,27.29,54.96
04.08.2020,25.85,64.46
05.08.2020,23.56,70.73
06.08.2020,22.6,73.77
07.08.2020,23.75,65.98
08.08.2020,24.92,61.75
09.08.2020,27.58,52.12
10.08.2020,27.0,57.48
11.08.2020,26.56,63.21
12.08.2020,26.12,67.25
13.08.2020,26.56,67.25
14.08.2020,27.19,64.96
15.08.2020,27.21,67.62
16.08.2020,26.45,72.34
17.08.2020,26.88,67.38
18.08.2020,25.91,68.72
19.08.2020,24.23,72.65
20.08.2020,23.77,67.9
21.08.2020,24.9,66.48
22.08.2020,25.71,69.71
23.08.2020,25.98,66.96
24.08.2020,27.04,67.35
25.08.2020,25.88,72.58
26.08.2020,24.96,70.02
27.08.2020,24.75,70.46
28.08.2020,25.88,69.9
29.08.2020,26.31,54.94
30.08.2020,25.73,62.38
31.08.2020,26.1,62.62
