Date,Temp,Humidity
03.04.2020,7.47,54.33
04.04.2020,8.1,49.46
05.04.2020,9.75,47.46
06.04.2020,13.68,38.96
07.04.2020,13.66,53.17
08.04.2020,14.11,46.33
09.04.2020,12.57,56.79
10.04.2020,10.02,52.62
11.04.2020,9.59,52.58
12.04.2020,14.56,46.04
13.04.2020,8.35,54.17
14.04.2020,6.17,52.54
15.04.2020,9.65,54.79
16.04.2020,11.84,52.96
17.04.2020,11.52,54.25
18.04.2020,10.56,40.21
19.04.2020,9.07,42.12
20.04.2020,9.8,47.96
21.04.2020,10.98,48.22
22.04.2020,12.2,51.79
23.04.2020,14.33,47.09
24.04.2020,14.59,46.42
25.04.2020,10.87,57.33
26.04.2020,12.48,48.88
27.04.2020,14.84,47.42
28.04.2020,17.08,48.5
29.04.2020,12.06,81.91
30.04.2020,13.68,77.71
01.05.2020,13.24,66.42
02.05.2020,10.0,82.33
03.05.2020,10.65,72.96
04.05.2020,9.2,81.29
05.05.2020,7.44,71.12
06.05.2020,11.25,57.62
07.05.2020,11.13,65.17
08.05.2020,14.5,54.75
09.05.2020,16.23,48.58
10.05.2020,17.34,64.38
11.05.2020,7.75,84.17
12.05.2020,7.01,60.87
13.05.2020,9.79,60.08
14.05.2020,9.13,62.62
15.05.2020,9.68,54.83
16.05.2020,12.53,53.83
17.05.2020,13.92,53.58
18.05.2020,16.41,52.0
19.05.2020,15.45,67.04
20.05.2020,15.55,52.12
21.05.2020,14.96,49.38
22.05.2020,17.35,43.46
23.05.2020,15.61,69.71
24.05.2020,12.8,75.92
25.05.2020,12.0,82.75
26.05.2020,14.51,65.29
27.05.2020,16.2,57.67
28.05.2020,15.08,57.33
29.05.2020,14.56,54.21
30.05.2020,13.76,53.88
31.05.2020,15.62,60.38
01.06.2020,16.98,53.62
02.06.2020,19.94,45.29
03.06.2020,19.08,46.62
04.06.2020,18.41,60.75
05.06.2020,14.27,73.42
06.06.2020,14.0,60.79
07.06.2020,15.21,65.71
08.06.2020,17.34,51.54
09.06.2020,18.09,53.17
10.06.2020,16.71,63.21
11.06.2020,16.94,90.42
12.06.2020,20.69,75.67
13.06.2020,21.97,81.21
14.06.2020,21.02,71.62
15.06.2020,20.11,56.67
16.06.2020,20.97,55.62
17.06.2020,23.19,51.79
18.06.2020,22.12,59.83
19.06.2020,18.56,77.25
20.06.2020,17.1,81.92
21.06.2020,18.36,71.88
22.06.2020,20.43,53.71
23.06.2020,19.46,48.46
24.06.2020,20.67,58.29
25.06.2020,23.39,59.79
26.06.2020,22.69,68.83
27.06.2020,24.8,57.29
28.06.2020,22.6,68.29
29.06.2020,19.82,58.0
30.06.2020,19.63,49.04
01.07.2020,19.96,70.62
02.07.2020,20.43,67.46
03.07.2020,19.85,60.62
04.07.2020,21.31,52.83
05.07.2020,22.61,65.08
06.07.2020,17.99,63.5
07.07.2020,16.05,59.88
08.07.2020,15.57,68.04
09.07.2020,17.07,84.83
10.07.2020,18.59,81.58
11.07.2020,15.75,63.71
12.07.2020,16.29,58.67
13.07.2020,18.74,54.5
14.07.2020,21.72,47.62
15.07.2020,16.7,82.25
16.07.2020,16.84,73.83
17.07.2020,16.77,80.17
18.07.2020,20.85,67.12
19.07.2020,23.47,62.17
20.07.2020,20.78,67.21
21.07.2020,18.02,55.88
22.07.2020,17.61,53.88
23.07.2020,18.6,55.79
24.07.2020,21.14,49.92
25.07.2020,21.28,60.08
26.07.2020,18.88,79.5
27.07.2020,20.56,69.5
28.07.2020,23.08,54.96
29.07.2020,19.41,49.57
30.07.2020,18.17,52.5
31.07.2020,20.27,51.75
01.08.2020,22.56,50.92
02.08.2020,21.17,66.83
03.08.2020,18.9,67.88
04.08.2020,17.84,60.65
05.08.2020,21.05,49.62
06.08.2020,23.53,45.17
07.08.2020,25.93,52.25
08.08.2020,28.53,45.08
09.08.2020,27.71,50.62
10.08.2020,25.5,58.67
11.08.2020,26.22,49.58
12.08.2020,25.17,41.71
13.08.2020,25.21,44.58
14.08.2020,23.67,58.12
15.08.2020,24.95,52.17
16.08.2020,24.61,47.17
17.08.2020,24.82,44.79
18.08.2020,21.35,73.67
19.08.2020,21.42,68.46
20.08.2020,24.24,57.5
21.08.2020,28.21,49.71
22.08.2020,23.56,75.5
23.08.2020,20.6,58.08
24.08.2020,18.86,65.25
25.08.2020,18.61,62.42
26.08.2020,17.81,74.58
27.08.2020,16.65,72.17
28.08.2020,17.23,71.58
29.08.2020,19.23,63.67
30.08.2020,17.85,76.79
31.08.2020,17.38,75.62
