Date,Temp,Humidity
03.04.2020,8.36,47.08
04.04.2020,10.78,42.25
05.04.2020,12.2,35.54
06.04.2020,12.6,32.17
07.04.2020,11.86,34.71
08.04.2020,13.2,32.54
09.04.2020,14.71,33.04
10.04.2020,15.96,33.42
11.04.2020,13.83,36.0
12.04.2020,14.6,41.04
13.04.2020,15.88,44.67
14.04.2020,8.32,49.42
15.04.2020,7.86,44.67
16.04.2020,12.52,46.54
17.04.2020,17.27,40.57
18.04.2020,16.59,44.21
19.04.2020,14.45,47.67
20.04.2020,11.65,35.58
21.04.2020,11.93,35.08
22.04.2020,12.43,34.5
23.04.2020,13.58,37.67
24.04.2020,14.53,43.75
25.04.2020,15.0,42.5
26.04.2020,11.76,46.38
27.04.2020,13.6,46.96
28.04.2020,17.73,53.5
29.04.2020,15.26,73.3
30.04.2020,17.16,59.83
01.05.2020,14.06,73.25
02.05.2020,14.69,61.04
03.05.2020,13.52,50.38
04.05.2020,13.76,47.79
05.05.2020,13.2,58.46
06.05.2020,11.47,51.25
07.05.2020,14.99,40.83
08.05.2020,14.72,50.25
09.05.2020,18.5,46.17
10.05.2020,19.29,46.67
11.05.2020,20.04,49.04
12.05.2020,11.28,51.08
13.05.2020,8.93,72.42
14.05.2020,14.43,63.96
15.05.2020,13.05,68.04
16.05.2020,14.03,56.88
17.05.2020,14.6,75.54
18.05.2020,17.95,61.62
19.05.2020,18.57,61.29
20.05.2020,17.64,61.71
21.05.2020,15.54,42.21
22.05.2020,14.95,33.79
23.05.2020,16.8,37.92
24.05.2020,15.79,60.21
25.05.2020,14.59,61.26
26.05.2020,14.6,61.88
27.05.2020,15.46,63.79
28.05.2020,15.91,63.46
29.05.2020,15.2,65.46
30.05.2020,14.18,64.42
31.05.2020,12.53,72.38
01.06.2020,17.21,63.62
02.06.2020,16.45,52.75
03.06.2020,16.32,59.42
04.06.2020,18.35,65.57
05.06.2020,18.53,74.25
06.06.2020,20.33,72.04
07.06.2020,22.01,67.17
08.06.2020,18.84,76.25
09.06.2020,18.8,79.62
10.06.2020,18.39,86.46
11.06.2020,18.78,80.75
12.06.2020,21.05,70.42
13.06.2020,23.88,63.33
14.06.2020,20.75,82.29
15.06.2020,19.73,86.29
16.06.2020,18.65,92.5
17.06.2020,19.96,87.75
18.06.2020,19.08,86.5
19.06.2020,19.23,74.88
20.06.2020,17.35,79.0
21.06.2020,18.65,82.12
22.06.2020,20.33,74.0
23.06.2020,22.01,52.83
24.06.2020,20.34,53.33
25.06.2020,21.62,63.67
26.06.2020,22.61,71.29
27.06.2020,24.83,66.79
28.06.2020,26.39,63.33
29.06.2020,23.49,71.54
30.06.2020,22.47,62.38
01.07.2020,24.82,61.67
02.07.2020,25.15,67.33
03.07.2020,22.78,70.58
04.07.2020,23.02,61.21
05.07.2020,24.31,48.79
06.07.2020,25.34,56.0
07.07.2020,19.05,57.88
08.07.2020,19.32,54.21
09.07.2020,23.22,55.54
10.07.2020,25.52,53.21
11.07.2020,23.94,56.46
12.07.2020,16.62,76.71
13.07.2020,18.15,59.0
14.07.2020,18.16,56.42
15.07.2020,19.73,56.17
16.07.2020,19.81,63.04
17.07.2020,16.73,83.62
18.07.2020,17.15,80.75
19.07.2020,17.55,91.12
20.07.2020,22.07,70.58
21.07.2020,24.02,65.67
22.07.2020,22.73,72.62
23.07.2020,22.42,65.87
24.07.2020,21.02,76.04
25.07.2020,19.58,84.21
26.07.2020,21.93,73.96
27.07.2020,23.35,64.92
28.07.2020,24.69,62.38
29.07.2020,26.39,58.79
30.07.2020,27.07,53.52
31.07.2020,26.2,46.08
01.08.2020,24.19,43.96
02.08.2020,22.39,52.42
03.08.2020,23.02,58.54
04.08.2020,22.93,78.67
05.08.2020,21.17,81.62
06.08.2020,24.37,63.08
07.08.2020,26.27,51.21
08.08.2020,26.18,58.58
09.08.2020,25.51,68.58
10.08.2020,25.48,64.62
11.08.2020,22.67,77.92
12.08.2020,24.37,61.17
13.08.2020,24.3,57.54
14.08.2020,23.11,66.88
15.08.2020,21.98,77.96
16.08.2020,22.25,77.88
17.08.2020,22.27,78.62
18.08.2020,20.45,87.33
19.08.2020,21.73,70.62
20.08.2020,22.55,64.92
21.08.2020,23.16,66.08
22.08.2020,24.38,63.38
23.08.2020,23.09,65.54
24.08.2020,21.89,56.62
25.08.2020,22.13,50.38
26.08.2020,21.79,60.29
27.08.2020,22.82,41.96
28.08.2020,21.78,54.62
29.08.2020,25.1,56.54
30.08.2020,26.45,55.17
31.08.2020,20.6,60.58
