Date,Temp,Humidity
03.04.2020,6.35,47.65
04.04.2020,4.56,55.08
05.04.2020,6.66,48.79
06.04.2020,11.02,33.52
07.04.2020,13.51,36.6
08.04.2020,12.79,43.58
09.04.2020,14.17,43.98
10.04.2020,9.46,51.96
11.04.2020,9.54,32.75
12.04.2020,11.69,35.75
13.04.2020,8.54,57.02
14.04.2020,3.42,50.29
15.04.2020,5.31,60.5
16.04.2020,11.5,47.33
17.04.2020,9.08,44.29
18.04.2020,7.81,38.83
19.04.2020,7.33,46.46
20.04.2020,9.52,43.81
21.04.2020,11.08,39.52
22.04.2020,12.62,42.65
23.04.2020,12.73,41.52
24.04.2020,13.9,44.42
25.04.2020,10.19,54.34
26.04.2020,8.65,50.5
27.04.2020,11.79,44.96
28.04.2020,16.27,39.29
29.04.2020,11.89,63.0
30.04.2020,11.04,71.81
01.05.2020,11.21,84.69
02.05.2020,11.9,76.6
03.05.2020,10.38,78.19
04.05.2020,11.17,67.7
05.05.2020,8.0,84.54
06.05.2020,8.9,82.6
07.05.2020,10.52,60.94
08.05.2020,13.29,56.73
09.05.2020,14.31,58.19
10.05.2020,17.4,56.51
11.05.2020,17.22,72.3
12.05.2020,6.08,64.71
13.05.2020,9.23,55.35
14.05.2020,9.93,69.71
15.05.2020,10.12,61.94
16.05.2020,10.19,57.4
17.05.2020,11.9,56.79
18.05.2020,13.12,64.75
19.05.2020,13.28,81.23
20.05.2020,11.31,63.08
21.05.2020,9.92,46.38
22.05.2020,10.29,49.48
23.05.2020,12.77,58.48
24.05.2020,12.79,75.25
25.05.2020,12.33,80.15
26.05.2020,14.15,71.83
27.05.2020,14.96,63.0
28.05.2020,15.79,61.06
29.05.2020,15.17,50.75
30.05.2020,12.35,68.98
31.05.2020,16.6,61.19
01.06.2020,16.06,45.65
02.06.2020,15.02,56.88
03.06.2020,12.94,68.19
04.06.2020,15.41,60.98
05.06.2020,16.38,79.33
06.06.2020,18.25,69.15
07.06.2020,19.98,78.81
08.06.2020,17.0,86.69
09.06.2020,15.42,86.88
10.06.2020,18.12,88.98
11.06.2020,21.07,80.02
12.06.2020,24.83,66.81
13.06.2020,23.6,68.67
14.06.2020,18.45,66.0
15.06.2020,18.46,63.27
16.06.2020,19.87,60.76
17.06.2020,20.73,74.31
18.06.2020,20.71,85.29
19.06.2020,21.34,79.45
20.06.2020,20.38,87.35
21.06.2020,20.15,89.85
22.06.2020,19.48,93.58
23.06.2020,19.02,72.96
24.06.2020,18.92,91.69
25.06.2020,23.32,68.81
26.06.2020,22.74,67.87
27.06.2020,20.98,80.06
28.06.2020,24.15,74.15
29.06.2020,20.85,84.73
30.06.2020,19.29,71.0
01.07.2020,21.54,61.35
02.07.2020,22.33,73.31
03.07.2020,20.85,76.56
04.07.2020,20.72,66.59
05.07.2020,22.85,64.38
06.07.2020,21.15,75.75
07.07.2020,15.69,65.71
08.07.2020,14.48,72.1
09.07.2020,16.89,72.51
10.07.2020,21.46,78.65
11.07.2020,14.94,88.96
12.07.2020,15.55,70.87
13.07.2020,15.02,75.71
14.07.2020,17.9,70.15
15.07.2020,20.15,63.09
16.07.2020,16.56,87.75
17.07.2020,16.79,83.54
18.07.2020,22.19,66.21
19.07.2020,22.66,64.79
20.07.2020,21.39,74.15
21.07.2020,18.0,71.48
22.07.2020,17.04,59.87
23.07.2020,15.46,72.15
24.07.2020,18.92,64.96
25.07.2020,20.89,62.85
26.07.2020,22.24,58.89
27.07.2020,22.77,66.17
28.07.2020,23.91,66.96
29.07.2020,21.04,66.87
30.07.2020,19.06,58.33
31.07.2020,18.38,61.62
01.08.2020,18.91,66.94
02.08.2020,20.67,56.0
03.08.2020,19.88,74.42
04.08.2020,17.56,95.62
05.08.2020,18.44,70.88
06.08.2020,22.67,59.27
07.08.2020,25.77,57.15
08.08.2020,26.42,54.79
09.08.2020,24.66,64.0
10.08.2020,24.96,59.08
11.08.2020,24.4,55.09
12.08.2020,21.38,50.36
13.08.2020,22.23,50.9
14.08.2020,22.93,46.32
15.08.2020,22.89,45.83
16.08.2020,21.42,48.14
17.08.2020,22.26,56.68
18.08.2020,21.54,75.33
19.08.2020,19.73,77.12
20.08.2020,21.02,66.52
21.08.2020,23.34,54.85
22.08.2020,23.17,73.96
23.08.2020,19.65,87.04
24.08.2020,19.42,70.94
25.08.2020,17.75,74.29
26.08.2020,18.15,71.91
27.08.2020,16.4,85.18
28.08.2020,16.71,80.94
29.08.2020,17.71,88.73
30.08.2020,17.42,94.27
31.08.2020,16.52,90.77
