Date,Temp,Humidity
03.04.2020,7.13,49.6
04.04.2020,9.29,46.69
05.04.2020,10.23,41.06
06.04.2020,11.14,40.38
07.04.2020,10.47,39.12
08.04.2020,11.29,37.02
09.04.2020,13.24,37.98
10.04.2020,15.17,42.15
11.04.2020,12.58,46.06
12.04.2020,13.98,49.31
13.04.2020,15.41,56.96
14.04.2020,6.82,44.69
15.04.2020,8.44,41.6
16.04.2020,12.15,49.65
17.04.2020,15.81,48.83
18.04.2020,17.21,49.98
19.04.2020,13.61,62.67
20.04.2020,10.62,43.27
21.04.2020,10.76,43.86
22.04.2020,11.77,41.19
23.04.2020,13.06,44.42
24.04.2020,14.78,46.82
25.04.2020,14.98,41.31
26.04.2020,11.94,47.73
27.04.2020,13.06,55.1
28.04.2020,16.44,58.85
29.04.2020,14.35,71.61
30.04.2020,17.18,54.22
01.05.2020,15.06,61.88
02.05.2020,14.98,53.82
03.05.2020,12.1,55.08
04.05.2020,13.78,49.3
05.05.2020,13.56,57.2
06.05.2020,11.08,54.84
07.05.2020,14.57,41.67
08.05.2020,14.59,52.76
09.05.2020,18.27,48.2
10.05.2020,18.81,54.68
11.05.2020,17.35,61.71
12.05.2020,8.71,55.24
13.05.2020,8.86,71.29
14.05.2020,12.3,68.51
15.05.2020,9.4,87.36
16.05.2020,13.19,63.46
17.05.2020,14.94,64.56
18.05.2020,17.5,57.54
19.05.2020,18.83,61.19
20.05.2020,18.23,47.04
21.05.2020,15.67,42.35
22.05.2020,15.64,43.02
23.05.2020,14.86,85.86
24.05.2020,14.96,62.62
25.05.2020,13.06,72.73
26.05.2020,13.52,69.46
27.05.2020,15.63,58.47
28.05.2020,14.85,63.6
29.05.2020,14.46,64.12
30.05.2020,14.38,50.2
31.05.2020,11.77,77.92
01.06.2020,17.6,58.38
02.06.2020,17.44,46.9
03.06.2020,17.92,63.29
04.06.2020,18.48,65.4
05.06.2020,16.33,77.51
06.06.2020,17.35,75.33
07.06.2020,20.92,67.21
08.06.2020,15.27,74.2
09.06.2020,18.69,72.48
10.06.2020,17.25,85.1
11.06.2020,17.71,79.21
12.06.2020,21.06,68.43
13.06.2020,23.04,64.65
14.06.2020,20.55,73.51
15.06.2020,19.56,71.81
16.06.2020,19.65,64.54
17.06.2020,20.67,72.5
18.06.2020,18.6,74.58
19.06.2020,17.77,78.19
20.06.2020,15.71,86.27
21.06.2020,16.04,86.43
22.06.2020,19.86,64.4
23.06.2020,20.39,55.37
24.06.2020,18.82,58.12
25.06.2020,20.21,66.68
26.06.2020,22.04,72.6
27.06.2020,23.54,71.19
28.06.2020,25.67,59.83
29.06.2020,20.54,77.4
30.06.2020,21.62,63.81
01.07.2020,23.92,65.87
02.07.2020,24.02,67.08
03.07.2020,21.31,65.52
04.07.2020,22.23,52.45
05.07.2020,24.39,51.76
06.07.2020,24.38,57.48
07.07.2020,17.81,54.27
08.07.2020,19.64,55.56
09.07.2020,22.82,58.76
10.07.2020,25.37,54.73
11.07.2020,19.46,71.85
12.07.2020,17.74,55.09
13.07.2020,17.79,54.11
14.07.2020,18.39,53.59
15.07.2020,20.33,53.73
16.07.2020,19.2,68.31
17.07.2020,18.51,60.65
18.07.2020,17.26,78.46
19.07.2020,19.42,81.44
20.07.2020,22.71,68.92
21.07.2020,22.78,66.91
22.07.2020,22.57,63.06
23.07.2020,22.9,54.19
24.07.2020,20.73,73.1
25.07.2020,20.73,73.29
26.07.2020,21.48,70.43
27.07.2020,23.66,57.19
28.07.2020,25.6,63.22
29.07.2020,25.15,65.31
30.07.2020,25.54,49.5
31.07.2020,24.8,50.42
01.08.2020,23.74,44.32
02.08.2020,23.24,51.2
03.08.2020,20.94,69.19
04.08.2020,19.16,84.71
05.08.2020,18.49,76.16
06.08.2020,22.73,68.31
07.08.2020,25.49,59.12
08.08.2020,26.33,54.5
09.08.2020,25.86,55.8
10.08.2020,25.24,63.02
11.08.2020,21.9,77.56
12.08.2020,23.42,65.73
13.08.2020,24.33,67.65
14.08.2020,24.24,67.11
15.08.2020,23.38,70.84
16.08.2020,21.68,79.91
17.08.2020,20.26,85.4
18.08.2020,20.02,83.86
19.08.2020,20.84,73.6
20.08.2020,21.85,67.33
21.08.2020,23.28,66.13
22.08.2020,24.16,69.5
23.08.2020,22.73,63.94
24.08.2020,21.73,58.31
25.08.2020,21.0,53.04
26.08.2020,22.47,56.06
27.08.2020,21.67,44.52
28.08.2020,20.6,59.12
29.08.2020,22.14,68.36
30.08.2020,23.22,69.33
31.08.2020,18.1,65.06
