Date,Temp,Humidity
03.04.2020,8.33,47.25
04.04.2020,10.55,44.88
05.04.2020,11.23,42.5
06.04.2020,12.33,41.83
07.04.2020,11.71,35.54
08.04.2020,11.43,37.79
09.04.2020,13.01,39.38
10.04.2020,15.13,40.54
11.04.2020,15.84,44.67
12.04.2020,16.27,39.88
13.04.2020,15.56,37.09
14.04.2020,7.22,73.42
15.04.2020,6.86,62.92
16.04.2020,11.8,47.67
17.04.2020,15.57,39.04
18.04.2020,16.27,46.29
19.04.2020,17.04,50.75
20.04.2020,12.42,53.92
21.04.2020,12.32,38.75
22.04.2020,12.88,43.38
23.04.2020,12.87,47.88
24.04.2020,14.2,46.0
25.04.2020,16.6,46.33
26.04.2020,15.75,49.46
27.04.2020,15.62,65.08
28.04.2020,15.22,68.46
29.04.2020,13.44,81.96
30.04.2020,14.67,69.42
01.05.2020,14.05,75.88
02.05.2020,13.79,76.25
03.05.2020,13.0,62.62
04.05.2020,13.61,58.33
05.05.2020,13.37,66.92
06.05.2020,11.88,64.88
07.05.2020,13.97,57.42
08.05.2020,16.79,51.12
09.05.2020,18.06,49.08
10.05.2020,18.13,47.42
11.05.2020,15.4,70.08
12.05.2020,10.12,86.58
13.05.2020,12.63,78.17
14.05.2020,18.48,64.29
15.05.2020,12.88,78.65
16.05.2020,11.72,77.46
17.05.2020,15.18,78.38
18.05.2020,16.81,73.38
19.05.2020,14.93,88.38
20.05.2020,16.7,69.88
21.05.2020,17.44,50.25
22.05.2020,17.25,55.38
23.05.2020,19.63,59.67
24.05.2020,16.66,60.92
25.05.2020,15.35,66.08
26.05.2020,15.39,58.17
27.05.2020,16.21,50.67
28.05.2020,14.21,64.5
29.05.2020,14.03,65.5
30.05.2020,14.43,60.04
31.05.2020,13.2,63.38
01.06.2020,17.5,59.88
02.06.2020,18.26,58.92
03.06.2020,19.07,59.75
04.06.2020,16.8,76.62
05.06.2020,15.07,89.0
06.06.2020,18.34,76.67
07.06.2020,18.48,77.33
08.06.2020,14.98,90.92
09.06.2020,15.46,84.17
10.06.2020,15.97,78.25
11.06.2020,16.89,67.33
12.06.2020,18.73,64.12
13.06.2020,21.23,57.79
14.06.2020,20.53,62.79
15.06.2020,18.06,81.71
16.06.2020,19.91,70.46
17.06.2020,19.95,67.08
18.06.2020,20.61,61.08
19.06.2020,20.37,62.88
20.06.2020,19.52,62.96
21.06.2020,18.97,69.29
22.06.2020,23.05,47.92
23.06.2020,23.0,48.09
24.06.2020,21.05,53.88
25.06.2020,16.75,81.96
26.06.2020,20.7,71.08
27.06.2020,23.5,59.71
28.06.2020,24.72,60.58
29.06.2020,22.18,67.83
30.06.2020,21.24,72.33
01.07.2020,24.55,67.17
02.07.2020,23.16,71.29
03.07.2020,19.52,80.5
04.07.2020,20.56,65.96
05.07.2020,22.2,60.08
06.07.2020,23.59,63.33
07.07.2020,17.78,66.08
08.07.2020,19.83,59.92
09.07.2020,22.35,57.88
10.07.2020,24.34,55.58
11.07.2020,20.25,73.67
12.07.2020,18.78,62.92
13.07.2020,18.48,54.04
14.07.2020,18.52,56.46
15.07.2020,19.82,58.42
16.07.2020,19.78,71.12
17.07.2020,17.87,78.25
18.07.2020,16.98,70.75
19.07.2020,19.5,66.71
20.07.2020,23.54,61.25
21.07.2020,24.05,63.46
22.07.2020,22.31,73.04
23.07.2020,22.4,69.17
24.07.2020,19.23,84.04
25.07.2020,20.95,73.88
26.07.2020,22.0,69.5
27.07.2020,23.9,65.0
28.07.2020,25.78,63.17
29.07.2020,25.81,67.54
30.07.2020,24.75,75.46
31.07.2020,25.93,73.33
01.08.2020,26.43,68.92
02.08.2020,20.92,85.54
03.08.2020,19.7,89.46
04.08.2020,18.77,83.36
05.08.2020,17.41,79.21
06.08.2020,21.22,73.32
07.08.2020,23.45,68.33
08.08.2020,24.54,62.0
09.08.2020,24.79,66.88
10.08.2020,25.19,66.88
11.08.2020,23.01,73.5
12.08.2020,23.26,75.17
13.08.2020,25.01,68.33
14.08.2020,22.4,74.38
15.08.2020,21.47,79.09
16.08.2020,23.14,76.23
17.08.2020,22.47,75.5
18.08.2020,20.09,80.0
19.08.2020,21.34,71.58
20.08.2020,22.66,67.25
21.08.2020,24.57,70.04
22.08.2020,25.18,70.88
23.08.2020,22.48,73.04
24.08.2020,19.85,71.25
25.08.2020,21.01,62.67
26.08.2020,21.22,66.5
27.08.2020,22.23,66.33
28.08.2020,22.58,70.46
29.08.2020,23.83,69.04
30.08.2020,20.31,85.88
31.08.2020,16.5,91.88
