Date,Temp,Humidity
03.04.2020,11.44,57.73
04.04.2020,12.19,60.17
05.04.2020,14.4,65.98
06.04.2020,15.04,77.5
07.04.2020,14.23,88.19
08.04.2020,15.93,74.21
09.04.2020,14.48,68.19
10.04.2020,12.97,91.59
11.04.2020,15.08,73.58
12.04.2020,15.17,55.56
13.04.2020,13.25,70.44
14.04.2020,13.77,78.04
15.04.2020,12.87,84.27
16.04.2020,13.61,86.13
17.04.2020,14.21,78.5
18.04.2020,15.21,73.38
19.04.2020,13.92,80.39
20.04.2020,12.85,73.75
21.04.2020,11.59,81.89
22.04.2020,16.39,59.94
23.04.2020,15.67,74.42
24.04.2020,17.19,66.35
25.04.2020,16.81,65.04
26.04.2020,14.77,74.06
27.04.2020,13.0,72.17
28.04.2020,12.19,72.96
29.04.2020,12.96,71.42
30.04.2020,14.31,74.19
01.05.2020,15.77,79.21
02.05.2020,18.37,70.94
03.05.2020,20.71,60.88
04.05.2020,21.79,54.04
05.05.2020,17.7,50.13
06.05.2020,17.65,46.42
07.05.2020,20.52,47.94
08.05.2020,20.89,51.21
09.05.2020,18.4,63.04
10.05.2020,14.54,70.89
11.05.2020,14.71,74.9
12.05.2020,12.6,90.96
13.05.2020,14.06,75.08
14.05.2020,12.48,81.72
15.05.2020,13.19,85.1
16.05.2020,15.1,72.31
17.05.2020,16.94,53.5
18.05.2020,19.67,50.56
19.05.2020,21.7,45.83
20.05.2020,23.13,40.23
21.05.2020,22.96,41.17
22.05.2020,24.12,47.83
23.05.2020,25.75,43.46
24.05.2020,24.1,48.04
25.05.2020,22.73,60.42
26.05.2020,21.81,63.02
27.05.2020,23.31,46.58
28.05.2020,22.73,40.56
29.05.2020,24.0,38.52
30.05.2020,24.96,36.61
31.05.2020,22.65,48.8
01.06.2020,23.98,50.73
02.06.2020,23.52,47.33
03.06.2020,22.36,50.98
04.06.2020,19.46,55.96
05.06.2020,20.88,45.54
06.06.2020,22.0,43.96
07.06.2020,19.69,53.02
08.06.2020,17.42,43.89
09.06.2020,18.06,42.52
10.06.2020,19.69,39.69
11.06.2020,19.47,47.02
12.06.2020,15.48,55.19
13.06.2020,16.88,59.1
14.06.2020,19.91,46.09
15.06.2020,21.34,45.19
16.06.2020,20.7,45.72
17.06.2020,20.87,40.02
18.06.2020,22.75,38.77
19.06.2020,23.72,43.96
20.06.2020,25.33,30.08
21.06.2020,27.58,27.71
22.06.2020,28.02,33.21
23.06.2020,29.52,30.73
24.06.2020,27.98,35.82
25.06.2020,28.67,35.15
26.06.2020,26.11,36.34
27.06.2020,25.91,37.09
28.06.2020,27.92,37.23
29.06.2020,29.52,32.19
30.06.2020,30.12,34.62
01.07.2020,28.52,31.69
02.07.2020,27.38,32.52
03.07.2020,25.38,36.81
04.07.2020,27.74,24.09
05.07.2020,29.75,24.38
06.07.2020,31.06,31.08
07.07.2020,30.56,26.33
08.07.2020,29.71,28.19
09.07.2020,27.36,38.32
10.07.2020,28.66,34.86
11.07.2020,29.48,37.4
12.07.2020,27.06,47.48
13.07.2020,27.65,39.07
14.07.2020,26.62,33.85
15.07.2020,26.53,33.74
16.07.2020,27.73,31.88
17.07.2020,28.88,24.25
18.07.2020,28.27,27.02
19.07.2020,29.36,26.32
20.07.2020,29.52,25.11
21.07.2020,29.28,37.0
22.07.2020,27.72,41.43
23.07.2020,29.48,33.29
24.07.2020,30.75,30.65
25.07.2020,30.3,30.09
26.07.2020,31.07,22.57
27.07.2020,32.26,26.34
28.07.2020,31.34,29.96
29.07.2020,31.96,30.32
30.07.2020,31.66,31.02
31.07.2020,30.81,26.92
01.08.2020,30.96,22.28
02.08.2020,29.33,31.94
03.08.2020,26.9,33.77
04.08.2020,26.48,35.29
05.08.2020,29.09,32.07
06.08.2020,31.13,34.77
07.08.2020,31.77,31.06
08.08.2020,30.46,29.65
09.08.2020,31.15,28.26
10.08.2020,27.46,39.72
11.08.2020,20.75,74.84
12.08.2020,21.64,64.04
13.08.2020,24.35,48.62
14.08.2020,25.58,44.07
15.08.2020,23.6,33.55
16.08.2020,22.26,40.07
17.08.2020,22.87,47.13
18.08.2020,25.13,50.39
19.08.2020,26.19,39.48
20.08.2020,26.33,23.92
21.08.2020,26.64,50.6
22.08.2020,26.71,38.96
23.08.2020,26.81,28.79
24.08.2020,27.17,37.29
25.08.2020,28.54,32.77
26.08.2020,29.21,27.09
27.08.2020,29.76,28.33
28.08.2020,27.44,32.17
29.08.2020,19.87,39.98
30.08.2020,18.25,38.69
31.08.2020,19.13,38.89
