"# Weather station Paris, France, WMO_ID=7156,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=7156&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Paris,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,14.9,758.5,765.4,0.3,69,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.3,No precipitation,1,,,,
31.08.2020 22:00,15.8,758.5,765.4,0.6,61,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,8.3,No precipitation,3,,,,
31.08.2020 21:00,16.5,758.4,765.4,0.3,54,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,7.2,No precipitation,1,,,,
31.08.2020 20:00,17.9,758.2,765.1,0.1,47,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,6.4,No precipitation,1,,,,
31.08.2020 19:00,18.8,757.9,764.8,-0.3,43,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,,,13.4,20.5,,,,,,20.0,5.9,No precipitation,12,,,,
31.08.2020 18:00,19.2,758.1,765.0,-0.4,45,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,7.0,No precipitation,1,,,,
31.08.2020 17:00,19.1,758.1,765.0,-0.6,42,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,5.9,No precipitation,1,,,,
31.08.2020 16:00,19.8,758.2,765.1,-0.6,44,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,7.2,No precipitation,3,,,,
31.08.2020 15:00,18.4,758.5,765.4,-0.5,52,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,8.4,No precipitation,1,,,,
31.08.2020 14:00,19.8,758.7,765.6,-0.2,48,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,8.5,No precipitation,1,,,,
31.08.2020 13:00,18.4,758.8,765.7,-0.1,49,Wind blowing from the north-northeast,3,,6,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,7.5,No precipitation,6,,,,
31.08.2020 12:00,18.4,759.0,765.9,0.2,52,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,8.4,No precipitation,1,,,,
31.08.2020 11:00,17.9,758.9,765.9,0.3,55,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,8.7,No precipitation,1,,,,
31.08.2020 10:00,16.9,758.9,765.9,0.6,59,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,8.8,No precipitation,3,,,,
31.08.2020 09:00,15.5,758.8,765.7,0.6,67,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.4,No precipitation,1,,,,
