"# Weather station Rome / Fiumicino (airport), Italy, METAR=LIRF,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LIRF&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Rome / Fiumicino (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
31.08.2020 23:50,17.0,759.5,759.7,94,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,16.0
31.08.2020 23:20,17.0,759.5,759.7,94,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,16.0
31.08.2020 22:50,17.0,759.5,759.7,94,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,16.0
31.08.2020 22:20,17.0,758.8,759.0,94,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,16.0
31.08.2020 21:50,17.0,758.8,759.0,94,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,16.0
31.08.2020 21:20,18.0,758.8,759.0,94,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,17.0
31.08.2020 20:50,19.0,758.8,759.0,83,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,16.0
31.08.2020 20:20,19.0,758.8,759.0,83,Wind blowing from the north-east,4,,,,Few clouds (10-30%) 900 m,10.0 and more,16.0
31.08.2020 19:50,20.0,758.8,759.0,83,Wind blowing from the north-northeast,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,17.0
31.08.2020 19:20,22.0,758.8,759.0,65,Wind blowing from the west,5,,,,Scattered clouds (40-50%) 750 m,10.0 and more,15.0
31.08.2020 18:50,22.0,758.8,759.0,69,Wind blowing from the west-southwest,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,16.0
31.08.2020 18:20,22.0,758.8,759.0,73,Wind blowing from the west-southwest,4,,,,Scattered clouds (40-50%) 750 m,10.0 and more,17.0
31.08.2020 17:50,22.0,758.8,759.0,69,Wind blowing from the west-southwest,5,,,,Broken clouds (60-90%) 900 m,10.0 and more,16.0
31.08.2020 17:20,22.0,758.8,759.0,69,Wind blowing from the west-southwest,6,,,,Broken clouds (60-90%) 900 m,10.0 and more,16.0
31.08.2020 16:50,22.0,758.8,759.0,73,Wind blowing from the south-west,7,,,,Broken clouds (60-90%) 750 m,10.0 and more,17.0
31.08.2020 16:20,22.0,758.8,759.0,73,Wind blowing from the south-southwest,8,,,,Broken clouds (60-90%) 750 m,10.0 and more,17.0
31.08.2020 15:50,20.0,758.8,759.0,88,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 750 m,10.0 and more,18.0
31.08.2020 15:20,20.0,758.8,759.0,83,Wind blowing from the south-east,3,,,,"Few clouds (10-30%) 600 m, broken clouds (60-90%) 900 m",10.0 and more,17.0
31.08.2020 14:50,19.0,758.8,759.0,88,Wind blowing from the east-southeast,4,,,,Scattered clouds (40-50%) 1200 m,10.0 and more,17.0
31.08.2020 14:20,18.0,758.8,759.0,94,Wind blowing from the east-southeast,7,,,,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 1200 m",10.0 and more,17.0
