"# Weather station Chisinau, Moldova, WMO_ID=33815,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=33815&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Chisinau,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,23.6,745.1,759.7,0.1,39,Wind blowing from the south-east,1,,,no clouds, ,,,,,,,,,,20.0,8.9,,,,,,
31.08.2020 20:00,28.7,745.0,758.9,0.7,23,Wind blowing from the south-east,2,,,no clouds, ,,,,33.4,,,,,,20.0,5.6,,,,,,
31.08.2020 17:00,32.7,744.3,758.8,-1.7,18,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,20.0,5.1,,,,,,
31.08.2020 14:00,32.3,746.0,760.2,-1.3,19,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,20.0,6.0,,,,,,
31.08.2020 11:00,29.0,747.3,761.2,0.6,29,Wind blowing from the south-southwest,4,,,no clouds, ,,,,,,,,,,20.0,9.1,,,,,,
31.08.2020 08:00,20.2,746.7,761.6,-0.4,74,Wind blowing from the south-southwest,2,,,no clouds, ,,,17.3,,,,,,,20.0,15.4,,,,,,
31.08.2020 05:00,17.6,747.1,761.8,-0.3,84,Wind blowing from the east-southeast,2,,,no clouds, ,,,,,,,,,,20.0,14.9,,,,,,
31.08.2020 02:00,19.1,747.4,762.4,-0.2,70,Wind blowing from the south-southwest,3,,,no clouds, ,,,,,,,,,,20.0,13.4,,,,,,
30.08.2020 23:00,21.7,747.6,762.3,-0.7,55,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,20.0,12.2,,,,,,
30.08.2020 20:00,25.7,748.3,761.5,1.5,40,Wind blowing from the south-southeast,3,,,no clouds, ,,,,32.3,,,,,,20.0,10.9,,,,,,
30.08.2020 17:00,31.1,746.8,760.9,0.0,31,Wind blowing from the south,4,,,no clouds, ,,,,,,,,,,20.0,12.0,,,,,,
30.08.2020 14:00,32.2,746.8,761.8,-1.5,24,Wind blowing from the south,4,,,no clouds, ,,,,,,,,,,20.0,9.3,,,,,,
30.08.2020 11:00,28.2,748.3,762.7,-0.9,43,Wind blowing from the south-southwest,5,,,no clouds, ,,,,,,,,,,20.0,14.3,,,,,,
