"# Weather station Bratislava (airport), Slovakia, METAR=LZIB,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LZIB&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Bratislava (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
31.08.2020 23:30,15.0,747.5,759.0,88,Wind blowing from the north,4,,Light rain,,No Significant Clouds,10.0 and more,13.0
31.08.2020 23:00,15.0,748.2,759.7,88,Wind blowing from the north-northwest,4,,Light rain,,"Few clouds (10-30%) 1500 m, cumulonimbus clouds , broken clouds (60-90%) 2790 m",10.0 and more,13.0
31.08.2020 22:30,15.0,748.2,759.7,88,Wind blowing from the north-west,4,,Rain,,No Significant Clouds,10.0 and more,13.0
31.08.2020 22:00,16.0,748.2,759.7,83,Wind blowing from the north-west,2,,Rain,,No Significant Clouds,10.0 and more,13.0
31.08.2020 21:30,16.0,748.2,759.7,83,Wind blowing from the north-west,3,,Light rain,Rain,No Significant Clouds,10.0 and more,13.0
31.08.2020 21:00,16.0,748.2,759.7,83,variable wind direction,1,,Rain,,No Significant Clouds,10.0 and more,13.0
31.08.2020 20:30,16.0,747.5,759.0,83,Wind blowing from the north,4,,Light rain,,"Few clouds (10-30%) 1200 m, broken clouds (60-90%) 2820 m",10.0 and more,13.0
31.08.2020 20:00,17.0,747.6,759.0,83,Wind blowing from the north,3,,Light rain,,Few clouds (10-30%) 1170 m,10.0 and more,14.0
31.08.2020 19:30,18.0,749.1,760.5,68,Wind blowing from the north-west,3,,Light rain,,No Significant Clouds,10.0 and more,12.0
31.08.2020 19:00,18.0,749.1,760.5,68,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,12.0
31.08.2020 18:30,19.0,749.1,760.5,64,Wind blowing from the north,3,,,,Few clouds (10-30%) 1350 m,10.0 and more,12.0
31.08.2020 18:00,19.0,749.1,760.5,64,Wind blowing from the north-northwest,3,,,,"Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 2040 m, broken clouds (60-90%) 2940 m",10.0 and more,12.0
31.08.2020 17:30,20.0,749.8,761.2,56,Wind blowing from the north-northwest,4,,,,"Few clouds (10-30%) 1320 m, broken clouds (60-90%) 2640 m",10.0 and more,11.0
31.08.2020 17:00,20.0,749.8,761.2,56,Wind blowing from the north-northwest,4,,,,Few clouds (10-30%) 1320 m,10.0 and more,11.0
31.08.2020 16:30,20.0,749.8,761.2,56,Wind blowing from the north,4,,,,Few clouds (10-30%) 1320 m,10.0 and more,11.0
31.08.2020 16:00,20.0,749.8,761.2,56,Wind blowing from the north,5,,,,Scattered clouds (40-50%) 1260 m,10.0 and more,11.0
31.08.2020 15:30,20.0,750.6,762.0,56,Wind blowing from the north-northwest,4,,,,Scattered clouds (40-50%) 1260 m,10.0 and more,11.0
31.08.2020 15:00,20.0,750.6,762.0,56,Wind blowing from the north-northwest,5,,,,Scattered clouds (40-50%) 1260 m,10.0 and more,11.0
31.08.2020 14:30,20.0,750.6,762.0,53,Wind blowing from the north-west,5,,,,Scattered clouds (40-50%) 1230 m,10.0 and more,10.0
31.08.2020 14:00,20.0,751.4,762.8,53,Wind blowing from the north-west,6,,,,Broken clouds (60-90%) 1320 m,10.0 and more,10.0
31.08.2020 13:30,20.0,751.4,762.8,53,Wind blowing from the north-west,6,,,,Broken clouds (60-90%) 1200 m,10.0 and more,10.0
31.08.2020 13:00,20.0,751.4,762.8,56,Wind blowing from the west-northwest,6,,,,Broken clouds (60-90%) 1260 m,10.0 and more,11.0
31.08.2020 12:30,20.0,751.4,762.8,56,Wind blowing from the north-west,7,,,,Broken clouds (60-90%) 1140 m,10.0 and more,11.0
31.08.2020 12:00,20.0,750.6,762.0,56,Wind blowing from the west-northwest,6,,,,Scattered clouds (40-50%) 1140 m,10.0 and more,11.0
31.08.2020 11:30,20.0,750.6,762.0,56,Wind blowing from the west-northwest,9,,,,Few clouds (10-30%) 1170 m,10.0 and more,11.0
31.08.2020 11:00,21.0,750.7,762.0,53,Wind blowing from the north-west,9,,,,Few clouds (10-30%) 1170 m,10.0 and more,11.0
31.08.2020 10:30,20.0,749.8,761.2,56,Wind blowing from the west-northwest,10,,,,Few clouds (10-30%) 1080 m,10.0 and more,11.0
31.08.2020 10:00,19.0,750.6,762.0,60,Wind blowing from the west-northwest,10,,,,Few clouds (10-30%) 960 m,10.0 and more,11.0
31.08.2020 09:30,19.0,749.8,761.2,60,Wind blowing from the west-northwest,9,,,,No Significant Clouds,10.0 and more,11.0
31.08.2020 09:00,19.0,749.8,761.2,56,Wind blowing from the west-northwest,8,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 08:30,18.0,749.8,761.2,56,Wind blowing from the west,8,,,,No Significant Clouds,10.0 and more,9.0
31.08.2020 08:00,18.0,749.8,761.2,56,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,9.0
31.08.2020 07:30,18.0,749.8,761.2,60,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 07:00,17.0,749.0,760.5,64,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 06:30,17.0,749.0,760.5,64,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 06:00,16.0,749.0,760.5,68,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 05:30,16.0,748.2,759.7,63,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,9.0
31.08.2020 05:00,16.0,748.2,759.7,68,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 04:30,16.0,748.2,759.7,68,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 04:00,16.0,748.2,759.7,68,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,10.0
31.08.2020 03:30,17.0,747.6,759.0,68,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,11.0
31.08.2020 03:00,17.0,747.6,759.0,68,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,11.0
31.08.2020 02:30,17.0,747.6,759.0,73,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,12.0
31.08.2020 02:00,18.0,747.6,759.0,68,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,12.0
31.08.2020 01:30,18.0,746.8,758.2,68,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,12.0
31.08.2020 01:00,18.0,746.3,757.7,68,Wind blowing from the west-northwest,7,,,,No Significant Clouds,10.0 and more,12.0
31.08.2020 00:30,19.0,746.8,758.2,64,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,12.0
31.08.2020 00:00,19.0,746.4,757.7,64,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,12.0
30.08.2020 23:30,19.0,746.4,757.7,64,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,12.0
30.08.2020 23:00,19.0,745.6,756.9,68,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,13.0
30.08.2020 22:30,20.0,745.6,756.9,69,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,14.0
30.08.2020 22:00,21.0,745.6,756.9,60,Wind blowing from the west,7,,,,No Significant Clouds,10.0 and more,13.0
30.08.2020 21:30,22.0,745.0,756.2,73,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 21:00,22.0,744.2,755.4,73,Wind blowing from the south,4,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 20:30,22.0,744.2,755.4,73,Wind blowing from the south-west,3,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 20:00,22.0,744.2,755.4,73,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 19:30,23.0,743.5,754.6,69,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 19:00,22.0,743.4,754.6,69,Wind blowing from the south-southwest,2,,,,No Significant Clouds,10.0 and more,16.0
30.08.2020 18:30,22.0,743.4,754.6,73,Wind blowing from the south-southwest,5,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 18:00,21.0,743.4,754.6,78,Wind blowing from the south-southwest,3,,,"Thunderstorm, rain",Few clouds (10-30%) 240 m,10.0 and more,17.0
30.08.2020 17:40,21.0,743.4,754.6,78,Wind blowing from the south-west,5,10,In the vicinity thunderstorm,"Thunderstorm, rain","Few clouds (10-30%) 240 m, few clouds (10-30%) 750 m, cumulonimbus clouds",10.0 and more,17.0
30.08.2020 17:30,24.0,744.3,755.4,65,Wind blowing from the south-west,12,21,"Light thunderstorm, rain","Thunderstorm, rain","Few clouds (10-30%) 480 m, scattered clouds (40-50%) 750 m, cumulonimbus clouds , broken clouds (60-90%) 1710 m",10.0 and more,17.0
