"# Weather station Ljubljana, Slovenia, WMO_ID=14015,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=14015&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Ljubljana,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,14.2,732.6,758.7,,92,Wind blowing from the north,0,,,, ,,,,,,,,,,,12.9,,,,,,
31.08.2020 22:00,14.1,732.7,758.8,-0.7,94,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,13.1,,,,,,
31.08.2020 21:00,14.1,733.2,759.4,,94,Wind blowing from the north-east,1,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,,,,8.0,13.1,,,Surface of ground wet (standing water in small or large pools on surface).,,,
31.08.2020 20:00,14.3,733.6,759.7,,91,Wind blowing from the east-southeast,1,,,100%.,"Rain, not freezing, continuous, heavy at time of observation. ",,,,,,,,,,8.0,12.9,,,Surface of ground wet (standing water in small or large pools on surface).,,,
31.08.2020 19:00,14.5,733.4,759.5,-0.7,91,Wind blowing from the east-southeast,2,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,19.2,,,,,,8.0,13.0,19,12,Surface of ground wet (standing water in small or large pools on surface).,,,
31.08.2020 18:00,15.2,733.3,759.4,,91,Wind blowing from the east,2,,,, ,,,,,,,,,,,13.8,,,,,,
31.08.2020 17:00,15.7,734.1,760.1,,93,Wind blowing from the east,2,,,, ,,,,,,,,,,,14.5,,,,,,
31.08.2020 16:00,16.5,734.1,760.0,-0.4,93,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,15.3,,,,,,
31.08.2020 15:00,17.5,,,,90,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,15.8,,,,,,
31.08.2020 14:00,18.5,734.5,760.3,,85,Wind blowing from the east,2,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,,,,8.0,15.9,,,Surface of ground wet (standing water in small or large pools on surface).,,,
31.08.2020 13:00,19.0,734.5,760.3,-1.0,86,Wind blowing from the east-northeast,2,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",,,,,,,,,,15.0,16.5,0.2,6,Surface of ground wet (standing water in small or large pools on surface).,,,
31.08.2020 12:00,19.1,735.4,761.2,,83,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,16.2,,,,,,
31.08.2020 11:00,18.2,735.4,761.2,,87,"Calm, no wind",0,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,Altocumulus translucidus at a single level.,,12.0,15.9,,,,,,
31.08.2020 10:00,17.8,735.5,761.4,1.2,85,Wind blowing from the north-northwest,2,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,200-300,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,12.0,15.3,,,,,,
31.08.2020 09:00,17.1,735.1,761.0,,89,Wind blowing from the north,1,,,"90  or more, but not 100%", ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,200-300,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",12.0,15.2,,,,,,
31.08.2020 08:00,16.0,734.4,760.4,,94,Wind blowing from the north-east,2,,,"90  or more, but not 100%",Mist. ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,100-200,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",4.0,15.1,,,,,,
31.08.2020 07:00,15.9,734.3,760.3,1.0,94,Wind blowing from the north,1,,,"90  or more, but not 100%",Mist. ,,,15.7,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",100-200,"No Altocumulus, Altostratus or Nimbostratus.",,2.0,15.0,3,12,Surface of ground moist.,13.0,,
31.08.2020 06:00,15.8,733.9,760.0,,95,Wind blowing from the north-northwest,1,,,"90  or more, but not 100%",Mist. ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",2.0,15.0,,,,,,
31.08.2020 05:00,16.5,733.4,759.3,,97,Wind blowing from the north,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ",,,,,,,,,,0.8,16.0,,,,,,
31.08.2020 04:00,16.6,733.3,759.2,0.3,96,Wind blowing from the north,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,0.5,16.0,,,,,,
31.08.2020 03:00,17.3,733.3,759.1,,98,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,16.9,,,,,,
31.08.2020 02:00,16.7,733.1,759.0,,97,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,16.2,,,,,,
31.08.2020 01:00,17.3,733.0,758.8,0.6,95,"Calm, no wind",0,,,, ,,,,,,,,,,,16.5,,,,,,
31.08.2020 00:00,18.2,732.8,758.5,,95,Wind blowing from the north,1,,,, ,,,,,,,,,,,17.4,,,,,,
30.08.2020 23:00,18.5,732.6,758.2,,94,"Calm, no wind",0,,,, ,,,,,,,,,,,17.5,,,,,,
30.08.2020 22:00,19.0,732.4,758.0,1.8,94,Wind blowing from the north,1,,,, ,,,,,,,,,,,18.0,,,,,,
30.08.2020 21:00,19.6,731.8,757.3,,93,Wind blowing from the east-southeast,1,,,20–30%., ,,,,,,,,,,25.0,18.5,,,Surface of ground wet (standing water in small or large pools on surface).,,,
30.08.2020 20:00,20.5,731.5,756.9,,88,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,18.5,,,,,,
30.08.2020 19:00,21.1,730.6,755.9,0.4,86,Wind blowing from the north,1,,,"90  or more, but not 100%","Rain, not freezing, continuous, slight at time of observation. ",,,,24.9,,,,,,15.0,18.7,8,12,Surface of ground wet (standing water in small or large pools on surface).,,,
30.08.2020 18:00,21.7,730.0,755.3,,82,Wind blowing from the east,1,,,, ,,,,,,,,,,,18.4,,,,,,
30.08.2020 17:00,22.0,730.1,755.4,,77,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,17.8,,,,,,
