"# Weather station Madrid / Cuatro Vientos (airport), Spain, METAR=LEVS,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LEVS&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Madrid / Cuatro Vientos (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
31.08.2020 23:30,18.0,704.4,763.5,34,variable wind direction,1,,,,No Significant Clouds,10.0 and more,2.0
31.08.2020 23:00,17.0,704.2,763.5,37,Wind blowing from the west,1,,,,No Significant Clouds,10.0 and more,2.0
31.08.2020 22:00,19.0,704.6,763.5,35,Wind blowing from the west-northwest,1,,,,No Significant Clouds,10.0 and more,3.0
31.08.2020 21:30,19.0,704.6,763.5,28,"Calm, no wind",0,,,,No Significant Clouds,10.0 and more,0.0
31.08.2020 21:00,21.0,705.0,763.5,25,variable wind direction,1,8,,,No Significant Clouds,10.0 and more,0.0
31.08.2020 20:00,22.0,704.5,762.8,25,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,1.0
31.08.2020 19:30,24.0,704.9,762.8,21,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,0.0
31.08.2020 19:00,25.0,705.1,762.8,21,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,1.0
31.08.2020 18:30,24.0,704.9,762.8,24,Wind blowing from the south,2,,,,Few clouds (10-30%) 1350 m,10.0 and more,2.0
31.08.2020 18:00,26.0,705.9,763.5,21,variable wind direction,2,,,,Few clouds (10-30%) 1200 m,10.0 and more,2.0
31.08.2020 17:30,26.0,705.9,763.5,21,Wind blowing from the west,2,,,,Few clouds (10-30%) 1200 m,10.0 and more,2.0
31.08.2020 17:00,25.0,705.7,763.5,21,variable wind direction,2,,,,Few clouds (10-30%) 1200 m,10.0 and more,1.0
31.08.2020 16:30,26.0,706.6,764.3,20,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,1.0
31.08.2020 16:00,26.0,706.6,764.3,21,variable wind direction,2,,,,No Significant Clouds,10.0 and more,2.0
31.08.2020 15:30,26.0,706.6,764.3,21,variable wind direction,2,,,,No Significant Clouds,10.0 and more,2.0
31.08.2020 15:00,26.0,707.3,765.0,20,Wind blowing from the south-west,3,,,,No Significant Clouds,10.0 and more,1.0
31.08.2020 14:30,25.0,707.1,765.0,21,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,1.0
31.08.2020 14:00,24.0,706.9,765.0,24,variable wind direction,2,,,,No Significant Clouds,10.0 and more,2.0
31.08.2020 13:30,24.0,707.6,765.8,22,variable wind direction,2,,,,No Significant Clouds,10.0 and more,1.0
31.08.2020 13:00,24.0,707.6,765.8,22,Wind blowing from the south-west,1,,,,No Significant Clouds,10.0 and more,1.0
31.08.2020 12:30,22.0,707.3,765.8,27,Wind blowing from the south-east,2,,,,Few clouds (10-30%) 1200 m,10.0 and more,2.0
31.08.2020 12:00,23.0,707.5,765.8,25,variable wind direction,2,,,,No Significant Clouds,10.0 and more,2.0
31.08.2020 11:30,22.0,708.0,766.6,29,variable wind direction,1,,,,No Significant Clouds,10.0 and more,3.0
31.08.2020 11:00,21.0,707.8,766.6,29,Wind blowing from the east-southeast,1,,,,No Significant Clouds,10.0 and more,2.0
31.08.2020 10:30,20.0,707.6,766.6,35,variable wind direction,2,,,,Few clouds (10-30%) 1050 m,10.0 and more,4.0
31.08.2020 10:00,19.0,707.4,766.6,40,Wind blowing from the north,2,,,,Few clouds (10-30%) 1050 m,10.0 and more,5.0
31.08.2020 09:30,18.0,707.2,766.6,46,variable wind direction,2,,,,Few clouds (10-30%) 1050 m,10.0 and more,6.0
31.08.2020 09:00,16.0,706.8,766.6,52,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,6.0
31.08.2020 08:30,15.0,705.9,765.8,59,variable wind direction,2,,,,No Significant Clouds,10.0 and more,7.0
31.08.2020 08:00,13.0,705.5,765.8,63,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,6.0
31.08.2020 07:30,13.0,705.5,765.8,59,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,5.0
31.08.2020 07:00,11.0,705.1,765.8,67,Wind blowing from the north,3,,,,Few clouds (10-30%) 750 m,10.0 and more,5.0
31.08.2020 06:30,11.0,705.1,765.8,67,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,5.0
31.08.2020 06:00,12.0,705.3,765.8,63,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,5.0
31.08.2020 05:30,12.0,704.6,765.0,63,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,5.0
31.08.2020 05:00,12.0,704.6,765.0,67,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,6.0
31.08.2020 04:30,13.0,705.5,765.8,63,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,6.0
31.08.2020 04:00,14.0,705.7,765.8,59,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,6.0
31.08.2020 03:30,14.0,705.7,765.8,59,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,6.0
31.08.2020 03:00,15.0,705.2,765.0,55,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,6.0
31.08.2020 02:30,15.0,705.9,765.8,55,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,6.0
