"# Weather station London / St. James's Park, UK, WMO_ID=3770,selection from 03.04.2020 till 01.09.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3770&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in London / St. James's Park,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 23:00,9.8,,,,83,,,,,, ,,,,,,,,,,,7.1,,,,,,
31.08.2020 22:00,10.3,,,,78,,,,,, ,,,,,,,,,,,6.6,,,,,,
31.08.2020 21:00,11.1,,,,76,,,,,, ,,,,,,,,,,,7.0,,,,,,
31.08.2020 20:00,11.6,,,,75,,,,,, ,,,,,,,,,,,7.2,,,,,,
31.08.2020 19:00,13.0,,,,69,,,,,, ,,,,,,,,,,,7.5,,,,,,
31.08.2020 18:00,15.8,,,,55,,,,,, ,,,,17.8,,,,,,,6.8,No precipitation,12,,,,
31.08.2020 17:00,16.7,,,,51,,,,,, ,,,,,,,,,,,6.4,,,,,,
31.08.2020 16:00,17.1,,,,44,,,,,, ,,,,,,,,,,,4.7,,,,,,
31.08.2020 15:00,16.9,,,,47,,,,,, ,,,,,,,,,,,5.3,,,,,,
31.08.2020 14:00,16.9,,,,48,,,,,, ,,,,,,,,,,,5.6,,,,,,
31.08.2020 13:00,16.5,,,,49,,,,,, ,,,,,,,,,,,5.7,,,,,,
31.08.2020 12:00,16.2,,,,52,,,,,, ,,,,,,,,,,,6.4,No precipitation,6,,,,
