Date,Temp,Humidity
19.11.2020,4.86,92.96
18.11.2020,9.13,92.38
17.11.2020,10.72,97.54
16.11.2020,8.72,93.88
15.11.2020,7.3,91.46
14.11.2020,10.19,93.79
13.11.2020,7.52,92.29
12.11.2020,8.09,94.08
11.11.2020,10.11,90.04
10.11.2020,9.4,96.04
09.11.2020,11.28,95.33
08.11.2020,9.98,96.83
07.11.2020,6.86,96.17
06.11.2020,4.72,83.96
05.11.2020,4.91,90.17
04.11.2020,3.23,92.0
03.11.2020,4.12,92.79
02.11.2020,8.88,90.17
01.11.2020,11.65,94.46
31.10.2020,10.56,89.04
30.10.2020,12.18,97.79
29.10.2020,10.57,97.42
28.10.2020,6.4,92.58
27.10.2020,7.78,93.04
26.10.2020,7.47,94.5
25.10.2020,6.39,94.12
24.10.2020,9.09,94.67
23.10.2020,7.53,89.75
22.10.2020,7.5,89.96
21.10.2020,11.36,97.54
20.10.2020,12.8,85.79
19.10.2020,9.33,84.13
18.10.2020,6.95,90.29
17.10.2020,7.38,88.54
16.10.2020,6.48,92.0
15.10.2020,6.53,85.79
14.10.2020,8.79,87.12
13.10.2020,7.92,90.21
12.10.2020,8.17,95.79
11.10.2020,8.55,86.83
10.10.2020,7.66,95.0
09.10.2020,6.5,92.46
08.10.2020,10.44,92.46
07.10.2020,9.72,92.38
06.10.2020,9.8,96.21
05.10.2020,9.65,98.08
04.10.2020,8.25,95.12
03.10.2020,9.52,93.75
02.10.2020,8.45,96.67
01.10.2020,8.35,87.75
30.09.2020,10.62,94.21
29.09.2020,9.46,86.58
28.09.2020,9.94,98.29
27.09.2020,7.95,79.54
26.09.2020,6.51,77.83
25.09.2020,7.19,83.25
24.09.2020,6.76,91.54
23.09.2020,10.52,91.71
22.09.2020,13.04,96.04
21.09.2020,14.22,85.5
20.09.2020,12.94,83.79
19.09.2020,13.18,81.58
18.09.2020,12.24,76.25
17.09.2020,13.39,77.25
16.09.2020,14.91,88.33
15.09.2020,15.83,85.75
14.09.2020,14.75,82.83
13.09.2020,14.47,89.17
12.09.2020,13.04,87.42
11.09.2020,11.82,88.08
10.09.2020,9.74,85.96
09.09.2020,13.2,87.08
08.09.2020,14.65,99.83
07.09.2020,12.12,98.54
06.09.2020,11.75,90.71
05.09.2020,11.48,84.46
04.09.2020,11.77,89.33
03.09.2020,14.68,90.62
02.09.2020,12.99,88.5
01.09.2020,10.64,82.25
31.08.2020,10.07,82.38
30.08.2020,8.86,79.62
29.08.2020,10.1,78.38
28.08.2020,11.61,90.79
27.08.2020,12.1,94.96
26.08.2020,13.56,85.21
25.08.2020,14.2,93.92
24.08.2020,14.21,90.42
23.08.2020,13.49,90.88
22.08.2020,13.47,94.08
21.08.2020,14.71,91.08
20.08.2020,15.58,79.21
19.08.2020,16.93,91.62
18.08.2020,16.37,90.29
17.08.2020,14.93,96.54
16.08.2020,16.2,94.92
15.08.2020,15.55,92.79
14.08.2020,17.48,92.5
13.08.2020,19.12,88.62
12.08.2020,21.2,82.12
11.08.2020,20.39,84.58
10.08.2020,17.18,93.08
09.08.2020,15.3,90.08
08.08.2020,18.68,86.08
07.08.2020,19.33,81.42
06.08.2020,16.78,94.88
05.08.2020,15.53,95.46
04.08.2020,12.21,93.79
03.08.2020,11.87,78.04
02.08.2020,13.72,81.67
01.08.2020,14.35,87.54
31.07.2020,18.53,72.83
30.07.2020,17.0,69.88
29.07.2020,12.82,84.46
28.07.2020,12.2,78.29
27.07.2020,14.14,91.96
26.07.2020,13.62,89.96
25.07.2020,14.78,93.25
24.07.2020,15.14,93.71
23.07.2020,14.29,93.08
22.07.2020,13.32,81.96
21.07.2020,11.5,76.21
20.07.2020,10.84,75.25
19.07.2020,12.29,79.67
18.07.2020,13.52,98.17
17.07.2020,14.94,90.88
16.07.2020,15.39,87.42
15.07.2020,12.87,92.83
14.07.2020,12.62,88.25
13.07.2020,13.55,94.58
12.07.2020,11.88,75.33
11.07.2020,11.55,75.5
10.07.2020,10.77,83.04
09.07.2020,13.72,95.79
08.07.2020,13.83,98.46
07.07.2020,11.61,94.71
06.07.2020,11.83,80.5
05.07.2020,12.73,79.92
04.07.2020,13.84,98.92
03.07.2020,12.22,95.46
02.07.2020,12.75,87.12
01.07.2020,12.78,92.71
30.06.2020,12.04,93.38
29.06.2020,10.77,84.5
28.06.2020,11.45,86.46
27.06.2020,12.56,93.75
26.06.2020,15.39,90.71
25.06.2020,20.96,71.71
24.06.2020,19.95,68.83
23.06.2020,17.12,72.67
22.06.2020,13.5,79.62
21.06.2020,12.63,87.54
20.06.2020,13.99,81.29
19.06.2020,11.67,93.08
18.06.2020,12.25,98.25
17.06.2020,14.31,88.33
16.06.2020,13.63,92.21
15.06.2020,14.12,85.62
14.06.2020,14.07,83.46
13.06.2020,14.1,82.29
12.06.2020,13.05,89.17
11.06.2020,11.16,87.83
10.06.2020,10.47,91.04
09.06.2020,10.18,76.88
08.06.2020,11.14,76.54
07.06.2020,10.45,84.83
06.06.2020,7.81,92.33
05.06.2020,9.18,78.96
04.06.2020,8.56,92.29
03.06.2020,11.13,89.46
02.06.2020,16.28,61.96
01.06.2020,15.47,55.79
31.05.2020,16.63,52.42
30.05.2020,16.04,50.21
