Date,Temp,Humidity
19.11.2020,4.59,86.83
18.11.2020,9.09,89.21
17.11.2020,10.68,97.71
16.11.2020,8.52,92.42
15.11.2020,7.04,91.92
14.11.2020,8.56,94.83
13.11.2020,6.28,94.75
12.11.2020,7.8,90.79
11.11.2020,9.22,91.42
10.11.2020,8.99,97.88
09.11.2020,10.05,99.75
08.11.2020,8.67,99.83
07.11.2020,5.71,96.75
06.11.2020,5.6,86.54
05.11.2020,6.67,85.17
04.11.2020,4.5,92.79
03.11.2020,3.73,91.54
02.11.2020,8.38,90.54
01.11.2020,10.67,93.0
31.10.2020,9.6,90.46
30.10.2020,10.67,97.29
29.10.2020,10.06,95.67
28.10.2020,6.26,91.25
27.10.2020,6.97,93.17
26.10.2020,7.35,89.78
25.10.2020,5.75,93.38
24.10.2020,8.21,94.38
23.10.2020,5.78,89.62
22.10.2020,6.47,88.33
21.10.2020,10.77,96.17
20.10.2020,11.42,87.79
19.10.2020,8.09,88.7
18.10.2020,7.05,91.17
17.10.2020,6.63,89.21
16.10.2020,6.64,91.5
15.10.2020,6.95,84.67
14.10.2020,8.95,87.33
13.10.2020,7.22,90.25
12.10.2020,7.6,93.04
11.10.2020,8.17,86.62
10.10.2020,8.18,87.54
09.10.2020,6.76,85.5
08.10.2020,9.58,91.25
07.10.2020,8.98,87.09
06.10.2020,9.48,92.0
05.10.2020,10.02,92.83
04.10.2020,8.92,92.17
03.10.2020,8.91,93.92
02.10.2020,8.74,88.38
01.10.2020,8.01,82.62
30.09.2020,9.6,95.54
29.09.2020,9.75,87.83
28.09.2020,10.38,94.75
27.09.2020,8.35,80.29
26.09.2020,7.18,78.29
25.09.2020,7.67,79.54
24.09.2020,6.28,90.5
23.09.2020,9.35,90.21
22.09.2020,12.63,95.54
21.09.2020,14.43,83.71
20.09.2020,11.67,83.54
19.09.2020,11.81,82.42
18.09.2020,10.96,81.96
17.09.2020,12.16,81.54
16.09.2020,14.32,90.92
15.09.2020,17.26,75.42
14.09.2020,16.74,80.0
13.09.2020,14.42,89.96
12.09.2020,12.12,82.46
11.09.2020,11.28,90.21
10.09.2020,10.42,78.79
09.09.2020,13.63,83.83
08.09.2020,15.51,97.5
07.09.2020,12.53,95.92
06.09.2020,11.69,87.46
05.09.2020,10.8,83.29
04.09.2020,11.63,81.5
03.09.2020,13.93,90.58
02.09.2020,12.03,94.17
01.09.2020,11.7,80.88
31.08.2020,10.27,78.38
30.08.2020,9.0,74.33
29.08.2020,9.72,81.04
28.08.2020,10.78,89.71
27.08.2020,10.93,97.71
26.08.2020,12.75,88.46
25.08.2020,13.33,95.62
24.08.2020,13.68,82.33
23.08.2020,12.95,89.46
22.08.2020,12.78,94.67
21.08.2020,13.87,91.54
20.08.2020,15.05,78.62
19.08.2020,15.65,96.96
18.08.2020,15.49,89.5
17.08.2020,14.5,97.75
16.08.2020,14.88,98.17
15.08.2020,15.84,86.5
14.08.2020,17.62,89.71
13.08.2020,19.23,87.08
12.08.2020,20.69,83.42
11.08.2020,20.52,86.54
10.08.2020,17.87,89.54
09.08.2020,14.39,89.67
08.08.2020,17.54,85.71
07.08.2020,18.33,90.38
06.08.2020,16.44,92.12
05.08.2020,15.38,94.17
04.08.2020,12.12,93.54
03.08.2020,11.76,79.42
02.08.2020,12.78,83.42
01.08.2020,13.88,84.88
31.07.2020,18.67,68.62
30.07.2020,17.07,70.75
29.07.2020,12.13,82.83
28.07.2020,11.45,78.67
27.07.2020,13.14,91.33
26.07.2020,12.88,88.79
25.07.2020,14.17,91.33
24.07.2020,14.98,88.17
23.07.2020,13.67,90.17
22.07.2020,12.83,75.67
21.07.2020,12.43,66.92
20.07.2020,11.05,72.67
19.07.2020,11.75,72.58
18.07.2020,13.33,95.54
17.07.2020,14.06,91.75
16.07.2020,15.15,86.21
15.07.2020,12.25,91.21
14.07.2020,11.65,88.12
13.07.2020,13.36,94.04
12.07.2020,12.43,71.08
11.07.2020,10.98,75.04
10.07.2020,10.57,78.5
09.07.2020,12.37,96.83
08.07.2020,13.43,95.38
07.07.2020,10.92,95.5
06.07.2020,11.17,80.96
05.07.2020,11.61,82.17
04.07.2020,13.32,98.67
03.07.2020,11.88,95.96
02.07.2020,12.46,86.08
01.07.2020,12.04,93.29
30.06.2020,12.19,88.21
29.06.2020,9.82,94.83
28.06.2020,10.27,89.25
27.06.2020,12.08,94.04
26.06.2020,17.1,82.25
25.06.2020,21.83,66.0
24.06.2020,19.95,68.38
23.06.2020,16.46,79.62
22.06.2020,13.0,79.33
21.06.2020,11.43,87.46
20.06.2020,13.05,80.71
19.06.2020,10.82,94.33
18.06.2020,12.15,97.29
17.06.2020,14.89,84.96
16.06.2020,14.25,85.88
15.06.2020,14.42,86.92
14.06.2020,14.18,85.42
13.06.2020,14.82,78.88
12.06.2020,12.11,93.38
11.06.2020,10.15,90.62
10.06.2020,10.11,90.08
09.06.2020,11.29,71.71
08.06.2020,11.41,78.04
07.06.2020,10.89,80.62
06.06.2020,8.25,85.62
