Date,Temp,Humidity
10.11.2020,11.2,94.17
09.11.2020,11.63,99.67
08.11.2020,8.8,99.5
07.11.2020,5.42,96.33
06.11.2020,6.33,94.67
05.11.2020,6.53,90.42
04.11.2020,5.45,86.5
03.11.2020,6.4,79.71
02.11.2020,12.03,77.29
01.11.2020,12.71,82.67
31.10.2020,12.06,83.67
30.10.2020,13.3,86.75
29.10.2020,10.21,89.67
28.10.2020,7.9,83.5
27.10.2020,7.9,90.71
26.10.2020,7.79,88.0
25.10.2020,8.26,84.17
24.10.2020,9.9,88.92
23.10.2020,8.05,88.42
22.10.2020,9.6,81.33
21.10.2020,13.14,94.29
20.10.2020,13.31,85.79
19.10.2020,10.07,80.57
18.10.2020,9.25,87.0
17.10.2020,9.22,89.04
16.10.2020,8.67,87.58
15.10.2020,8.59,82.46
14.10.2020,9.71,89.71
13.10.2020,8.16,90.58
12.10.2020,8.65,89.17
11.10.2020,9.33,78.25
10.10.2020,8.68,85.67
09.10.2020,7.78,85.58
08.10.2020,10.85,88.5
07.10.2020,11.38,79.25
06.10.2020,11.03,88.33
05.10.2020,11.58,90.88
04.10.2020,10.57,88.42
03.10.2020,12.43,96.33
02.10.2020,11.0,87.71
01.10.2020,9.62,84.54
30.09.2020,11.38,90.83
29.09.2020,13.03,74.46
28.09.2020,10.93,81.75
27.09.2020,9.54,74.75
26.09.2020,8.98,67.33
25.09.2020,9.96,69.12
24.09.2020,9.28,80.08
23.09.2020,13.07,87.12
22.09.2020,16.64,73.79
21.09.2020,14.36,79.0
20.09.2020,13.83,78.71
19.09.2020,14.18,80.67
18.09.2020,12.78,77.54
17.09.2020,13.34,75.62
16.09.2020,14.89,85.58
15.09.2020,19.67,70.54
14.09.2020,17.96,71.75
13.09.2020,17.5,73.58
12.09.2020,15.09,69.96
11.09.2020,13.88,72.83
10.09.2020,12.07,73.38
09.09.2020,16.4,72.12
08.09.2020,19.46,81.21
07.09.2020,14.07,86.79
06.09.2020,13.55,80.39
05.09.2020,12.67,75.79
04.09.2020,13.96,73.0
03.09.2020,16.74,79.79
02.09.2020,13.95,81.08
01.09.2020,13.53,67.92
31.08.2020,11.79,70.79
30.08.2020,11.77,72.79
29.08.2020,11.15,80.12
28.08.2020,11.83,93.38
27.08.2020,12.98,89.71
26.08.2020,16.06,76.12
25.08.2020,15.84,88.96
24.08.2020,15.88,70.04
23.08.2020,15.76,80.12
22.08.2020,16.02,79.67
21.08.2020,17.92,71.25
20.08.2020,18.77,65.17
19.08.2020,17.3,94.88
18.08.2020,17.57,83.29
17.08.2020,17.12,84.96
16.08.2020,15.63,97.42
15.08.2020,16.8,81.33
14.08.2020,18.55,78.88
13.08.2020,18.61,84.46
12.08.2020,24.41,66.12
11.08.2020,22.49,74.17
10.08.2020,21.01,73.21
09.08.2020,17.12,84.42
08.08.2020,20.45,71.25
07.08.2020,22.7,67.92
06.08.2020,19.82,80.79
05.08.2020,18.85,77.17
04.08.2020,14.53,72.62
03.08.2020,14.67,66.42
02.08.2020,15.54,67.88
01.08.2020,17.34,71.67
31.07.2020,23.51,58.08
30.07.2020,19.66,61.96
29.07.2020,15.55,66.71
28.07.2020,14.05,69.12
27.07.2020,15.47,84.5
26.07.2020,15.97,75.21
25.07.2020,16.49,87.62
24.07.2020,18.11,72.38
23.07.2020,16.33,76.33
22.07.2020,16.46,63.04
21.07.2020,14.53,65.67
20.07.2020,13.44,66.67
19.07.2020,15.05,66.54
18.07.2020,16.76,80.62
17.07.2020,19.23,70.67
16.07.2020,17.07,78.62
15.07.2020,13.8,85.54
14.07.2020,14.52,71.67
13.07.2020,16.3,72.12
12.07.2020,15.26,62.25
11.07.2020,13.79,67.79
10.07.2020,13.03,78.42
09.07.2020,12.45,96.67
08.07.2020,12.83,95.88
07.07.2020,12.43,85.88
06.07.2020,13.99,66.88
05.07.2020,15.46,67.54
04.07.2020,16.99,83.92
03.07.2020,13.95,84.21
02.07.2020,13.66,87.62
01.07.2020,15.84,78.12
30.06.2020,15.27,72.62
29.06.2020,12.72,76.75
28.06.2020,13.87,70.71
27.06.2020,16.07,80.25
26.06.2020,21.6,65.54
25.06.2020,22.56,60.75
24.06.2020,22.65,62.5
23.06.2020,19.73,64.83
22.06.2020,16.18,65.38
21.06.2020,15.29,71.79
20.06.2020,15.47,77.08
19.06.2020,13.47,85.54
18.06.2020,13.0,94.42
17.06.2020,15.6,88.88
16.06.2020,16.1,85.33
15.06.2020,15.28,88.08
14.06.2020,15.43,87.0
13.06.2020,17.22,76.54
12.06.2020,12.82,97.71
11.06.2020,11.57,91.83
10.06.2020,10.94,87.62
09.06.2020,12.19,69.33
08.06.2020,10.45,72.08
07.06.2020,10.62,84.33
06.06.2020,10.33,74.08
05.06.2020,9.99,68.33
04.06.2020,10.5,77.04
03.06.2020,11.46,84.38
02.06.2020,16.94,53.08
01.06.2020,16.08,58.96
31.05.2020,16.11,60.42
30.05.2020,15.22,63.12
29.05.2020,16.41,48.29
28.05.2020,16.18,58.67
27.05.2020,16.1,60.67
26.05.2020,16.57,58.29
25.05.2020,15.93,53.46
24.05.2020,13.94,72.42
23.05.2020,12.91,59.79
22.05.2020,15.3,57.83
21.05.2020,17.81,54.21
20.05.2020,19.24,62.96
19.05.2020,16.52,73.33
18.05.2020,14.27,68.67
17.05.2020,13.36,60.79
16.05.2020,10.61,65.12
15.05.2020,9.95,65.62
14.05.2020,8.45,58.21
13.05.2020,6.19,63.75
12.05.2020,7.34,67.0
